16b2f788dcc057be62f0df18ec398435f736dd86d3a3c3c342c549598e996bde,d2c099e2bc1e95151b76160c6bd588876b270950a1cfefc024bca4ffc1782185,c133c8d48e8dcb5ecea67eb57baffd7ab9d851b8af07c0e63b868d5516bc280e,ec63a5e4a5cec811a4d70110b95867d584e628c5e58f4580355e6bcf9f418304,d239c1a1d19cebaca3f0893c8c59d9914b7301f45217e1e6b1d774d721f9daea,126eb92b11fd82d8afb9ba3f90334348507d743f0169805189ce7804be92172b,4d102aba06e2aecc415d0ee043857a5df8006d1c2f405dbcce187f52100dbfb3
"0","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 1 封入特典","101","2020-08-04 12:00:00","10101"
"0","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 2 封入特典","101","2020-09-03 19:00:00","10102"
"0","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 3 封入特典","101","2020-10-01 17:00:00","10103"
"0","1","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 4 封入特典","101","2020-11-05 12:00:00","10104"
"0","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","102","2022-03-21 00:00:00","10201"
"0","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","102","2022-04-18 00:00:00","10202"
"0","1","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","102","2022-05-16 00:00:00","10203"
"0","1","2022/05/19 23:59:59","週刊ファミ通6月3日号（5月20日発売） 封入特典","201","2021-05-19 00:00:00","20101"
"0","1","2030/07/30 23:59:59","公式アートワークス Vol.3 発売記念アイテム","202","2021-07-30 00:00:00","20201"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20301"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20302"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20303"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20304"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20305"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20306"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20307"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20308"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20309"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20310"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20311"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20312"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20313"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20314"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20315"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20316"
"1","3","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ","203","2023-01-15 15:00:00","20317"
"0","1","2025/02/13 23:59:59","キャラクターソングアルバムVol.5 購入特典","204","2024-02-14 00:00:00","20401"
"0","1","2025/02/13 23:59:59","サウンドトラックVol.6 購入特典","205","2024-02-14 00:00:00","20501"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","20601"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","20602"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品","206","2024-11-29 12:00:00","20603"
"0","1","2026/02/11 23:59:59","キャラクターソングアルバムVol.6 購入特典","207","2025-02-10 12:00:00","20701"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","20801"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","20802"
"0","0","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品 第2弾","208","2025-08-12 12:00:00","20803"
"0","1","2030/12/31 23:59:59","Shadowverse EVOLVE 特典シリアルコードA","209","2026-01-29 12:00:00","20901"
