bb96619fa4a23457d127ba0db4e7e822dc85e00845446b41974ee85421fa0551,27daf6ea2315cbe61539a6b0f0f52cb8647dda428f0abae356c468bcaf335488,9fbfc1143f7fb3620c789b5c87c74328bd690763ac694e4d4eccb0784d3bf12f,b076df65f288b0d789706e8b3cca2cb28c90a947002e759d80a9b85b6b08f154,cf4a1fa4c589cbd483a81723b24836dbe14fe416d3c4504f46d8d69a7a2d595b
"111011101","1","0","3","1"
"111021101","1","0","3","1"
"133011101","1","0","3","1"
"133011201","1","0","5","1"
"133020101","1","0","3","1"
"133020201","1","1","3","1"
"133030101","1","0","3","1"
"133030201","1","0","3","2"
"133030301","1","0","3","3"
"133030401","1","1","3","1"
"133030501","1","1","3","2"
"133030601","1","1","3","3"
"133040101","1","0","3","1"
"133040201","1","1","3","1"
"133040301","1","2","3","1"
"133040401","1","3","3","1"
"133051101","1","0","3","1"
"133051201","1","0","5","1"
"134010101","2","0","3","1"
"134010201","2","0","3","3"
"134021101","1","0","3","1"
"134021201","1","0","5","1"
"140010101","2","0","4","1"
"140010201","2","1","1","1"
"140010301","2","0","1","1"
"140020101","1","0","1","3"
