9e1a5c92b056ed2c27c7cae48a73895888cf8a4a5a588b1be87b27cfd218dd34,b85f804659c979b4240d481224a7c810097bee42de123f45d6d73754e5bc52fe,1f2ad7b42929e74f244cfcd3a23bb949555ab3cb0abbe7c89448512561c8b081,56e390a5f8499977005af6e44ad026f7e1d5e4c9be2c900aeec5ed94a44b602b,d7e293a58f596cbd9cb2ebb94623064f560a3d48ca16f26ffbc893aeed235abf
"105801","50001","1","1","美食殿"
"100101","50002","2","2","トゥインクル\nウィッシュ"
"102801","50003","7","3","サレンディア救護院"
"104701","50004","11","4","王宮騎士団\n（NIGHTMARE）"
"106801","50005","15","5","ラビリンス"
"102901","50006","3","6","カルミナ"
"104401","50007","5","7","悪魔偽王国軍\n（ディアボロス）"
"103301","50008","4","8","牧場\n（エリザベスパーク）"
"103201","50009","13","9","メルクリウス財団"
"105601","50010","9","10","トワイライト\nキャラバン"
"102001","50011","6","11","リトルリリカル"
"101001","50012","8","12","自警団\n（カォン）"
"101501","50013","10","13","フォレスティエ"
"101801","50014","14","14","ルーセント学院"
