89129697ea003e05afed9056ab30ebd9f5902743ed4bf7af070f0e367370e513,637ee2dfd15f10735c8159c0a18c1d7725d7c79e310147844656206ee118abc9,2530e4f47662c09b12e92af77685312af751fec5e720dda92b22c5e74a608729,060fce30f97aadbecfd828345c59db362c0dacfb914601d33e7c53fbf12f2140,de1103fdef6be6cc167645e47fc8decd40e6a17d44ac2642ebe45a9e00ccd317,14778831b8a30b972d9658c5eb36117bc3dc9b06d65cfd3e346b724fe6013a11,e18ba48a30055f94dbfd0a5a828a5a7cfb7bdbfd8c7de36b8080cf70ef8de89c
"1","0","10008111","1","10008101","0",""
"2","0","10008115","1","10008112","0",""
"3","0","10008103","3","10008101","0",""
"4","0","10008115","3","10008105","0",""
"5","0","150","4","10008112","0",""
"6","0","10028111","1","10028101","0",""
"7","0","10028115","1","10028112","0",""
"8","0","10028103","3","10028101","0",""
"9","0","10028115","3","10028105","0",""
"10","0","150","4","10028112","0",""
"11","20012107","20012104","11","20012104","0",""
"12","20012109","20012108","11","20012108","0",""
"13","20012114","20012110","11","20012110","0",""
"14","20012115","20012115","11","20012115","0",""
"15","0","120","4","20012110","0",""
"16","0","20008111","1","20008101","0",""
"17","0","20008115","1","20008112","0",""
"18","0","20008103","3","20008101","0",""
"19","0","20008115","3","20008105","0",""
"20","0","150","4","20008112","0",""
