91f1354dcd6535eb4a1c5dbaf0c44d0532975ac3fe39b11666c67b8a92e256e4,2917c3abfc54160b91136fba42ed038c7150978064de4e29e68a7abbb55513d7,bcb2a951702577a24d17128183c1ec2a6fc837e4b1d4c3e06d524edf788d2827,92f403f034ba609ad0d67f264613f561d116d3188f22192652544fe48a99e4e9,b3de1a2ec66325b46894cbcc6af71b2f4eb8f56d343af7b1d3ea0daece7fdedd
"1","1","135","300","1"
"1","1","425","-100","2"
"1","2","-100","125","3"
"1","2","375","-415","4"
"1","3","25","-50","5"
"1","3","-25","-300","6"
"1","4","-195","-335","7"
"1","4","105","-415","8"
"1","5","135","-160","9"
"1","6","345","-40","10"
"1","7","-230","90","11"
"1","8","230","-420","12"
"1","9","30","250","13"
"1","10","280","-245","14"
"1","11","-150","-110","15"
