b5114c40b7d60738d64ea6c66929bb029a4ef49385d5fcf47554620792f3d061,8e52b6d4be0619bf3dd197a0825cfe13a5de8ff177aff65826fa4b1d73978166,354ee4ae39c6e00cd4aff618135a413cc49dbedc0cf2d59d40a55e97740a721b,5bb49eea01cd7d3fb6fffebbf2aa1626c11c9d65c6bcb7f2201f4586742449d3,8065a20cae218bf4f7c179a133ac6d19a20f14999da20b519afedf8b31dbe65c,f25990a0f8090fbe5c646ee8f5bc00cca990afff9890500f84d114ba5f876b77,800d91296cf47d0c2d12d3f194dd16f8764f20cbbb63801b216772055ca68eaf,aef5e787f0019aa80d8a8f0ac169b982481159f1b98040c70de1020038e52a90,40691b85b336202cf57457d8751f6a8ba0a189123b5e4115192c4151ad8062ba,663fb5a284049baefd242ccb50e9e4ec79d30cdbb76ae436dcaf4ee6eea5f111,9ee63e37ed70350eac82d56f72a0797aeb1c625193adbfdb7d3bde3f7b7f146b
"31","2","2","8","1","282001001","25021","25012","8","91002","10"
"31","2","2","8","2","282001002","25021","25012","8","91002","10"
"32","2","2","8","3","282001003","25021","25012","8","91002","10"
"32","2","2","8","4","282001004","25021","25012","8","91002","10"
"33","2","2","8","5","282001005","25021","25012","8","91002","10"
"33","2","2","8","6","282001006","25021","25012","9","91002","10"
"34","2","2","8","7","282001007","25021","25012","9","91002","10"
"35","2","2","8","8","282001008","25021","25012","9","91002","10"
"35","2","2","8","9","282001009","25021","25012","9","91002","10"
"37","2","2","8","10","282001010","25021","25012","10","91002","30"
"41","2","2","8","11","282001011","25021","25012","10","91002","10"
"43","2","2","8","12","282001012","25021","25012","11","91002","10"
"46","2","2","8","13","282001013","25021","25012","11","91002","10"
"48","2","2","8","14","282001014","25021","25012","12","91002","10"
"50","2","2","8","15","282001015","25021","25012","12","91002","10"
"53","2","2","8","16","282001016","25021","25012","13","91002","10"
"55","2","2","8","17","282001017","25021","25012","14","91002","10"
"58","2","2","8","18","282001018","25021","25012","14","91002","10"
"60","2","2","8","19","282001019","25021","25012","15","91002","10"
"62","2","2","8","20","282001020","25021","25012","15","91002","30"
"68","2","2","8","21","282001021","25021","25012","16","91002","10"
"70","2","2","8","22","282001022","25021","25012","16","91002","10"
"72","2","2","8","23","282001023","25021","25012","16","91002","10"
"75","2","2","8","24","282001024","25021","25012","17","91002","10"
"77","2","2","8","25","282001025","25021","25012","18","91002","10"
"79","2","2","8","26","282001026","25021","25012","18","91002","10"
"82","2","2","8","27","282001027","25021","25012","19","91002","10"
"84","2","2","8","28","282001028","25021","25012","19","91002","10"
"86","2","2","8","29","282001029","25021","25012","19","91002","10"
"89","2","2","8","30","282001030","25021","25012","20","91002","30"
"94","2","2","8","31","282001031","25021","25012","20","91002","10"
"96","2","2","8","32","282001032","25021","25012","21","91002","10"
"99","2","2","8","33","282001033","25021","25012","21","91002","10"
"101","2","2","8","34","282001034","25021","25012","22","91002","10"
"103","2","2","8","35","282001035","25021","25012","22","91002","10"
"106","2","2","8","36","282001036","25021","25012","23","91002","10"
"108","2","2","8","37","282001037","25021","25012","23","91002","10"
"111","2","2","8","38","282001038","25021","25012","24","91002","10"
"113","2","2","8","39","282001039","25021","25012","25","91002","10"
"115","2","2","8","40","282001040","25021","25012","25","91002","30"
"121","2","2","8","41","282001041","25021","25012","26","91002","10"
"123","2","2","8","42","282001042","25021","25012","27","91002","10"
"125","2","2","8","43","282001043","25021","25012","28","91002","10"
"128","2","2","8","44","282001044","25021","25012","28","91002","10"
"130","2","2","8","45","282001045","25021","25012","29","91002","10"
"132","2","2","8","46","282001046","25021","25012","30","91002","10"
"135","2","2","8","47","282001047","25021","25012","30","91002","10"
"137","2","2","8","48","282001048","25021","25012","31","91002","10"
"139","2","2","8","49","282001049","25021","25012","31","91002","10"
"142","2","2","8","50","282001050","25021","25012","31","91002","30"
