1f7a7add4a3ba574fd3069d31a175a4448d0b0a435d600926e4fdf1322047d80,4747839662adfed9025b200b7a2a00508f0ca81593e1e5969504e5c0b99f3878,b222ea8a1ab413888a9c10e7c96dcc7fdc7cae72d3802f7d9256e882e759e552,c96d8e6069cd88817c01cc7849acfc8616379f1031482bac5cbeb466f7cc439a,ee78d92f76fca978ec2bc396f07e6d991f3c1b6bfc016fff6fa98328a1e3cae2,feceff3164b0460289ca223e0d5b351b4fe2216968cdf948335f1b8325fe1b24,048a0e2cbee3973f71fb037eca37b781b3fef0730bff7707318fd90296e130c7,c272dd7db9a7a1e155016d93f2c3ffde8db1f26cdc1432e8e86f7e3892cd46ed
"1","10101020","1","3050100","24","1","0","0"
"2","0","1","4010200","24","2","0","0"
"3","10401020","1","3030200","24","3","0","0"
"4","10401020","1","3050200","24","4","0","0"
"5","10401020","1","3040200","24","5","0","0"
"6","10401020","1","3020200","24","6","0","0"
"7","0","1","4010300","24","7","0","0"
"8","10101020","1","3030100","24","101","0","0"
"9","0","1","3010201","24","102","0","0"
"10","0","1","3020201","24","103","0","0"
"11","0","1","3010301","24","104","0","0"
"12","0","1","3030301","24","105","0","0"
"13","0","1","3040301","24","106","0","0"
"14","0","1","3050301","24","107","0","0"
"15","0","1","3020301","24","108","0","0"
"16","10401050","1","3030300","24","109","0","0"
"17","10401050","1","3040300","24","110","0","0"
"18","10401050","1","3050300","24","111","0","0"
"19","10401050","1","3020300","24","112","0","0"
"20","10101020","1","3010100","24","201","0","0"
"21","10101020","1","3020100","24","202","0","0"
"22","10101020","1","3030100","24","203","0","0"
"23","10101020","1","3040100","24","204","0","0"
"24","10101020","1","3050100","24","205","0","0"
"25","10101020","1","3010200","24","206","0","0"
"26","10101020","1","3020200","24","207","0","0"
"27","10101020","1","3030200","24","208","0","0"
"28","10101020","1","3040200","24","209","0","0"
"29","10101020","1","3050200","24","210","0","0"
"30","0","1","1010301","24","401","0","112"
"31","0","1","1020301","24","402","0","203"
"32","0","1","1030301","24","403","0","306"
"33","0","1","1040301","24","404","0","401"
"34","0","1","1050301","24","405","0","508"
"35","20101050","1","1020301","24","406","0","209"
"36","20101050","1","1030301","24","407","0","306"
"37","20101050","1","1040301","24","408","0","407"
"38","20101050","1","1050301","24","409","0","501"
"39","0","1","0","15","600","11001337","0"
"40","0","150","0","8","600","91002","0"
"41","0","1","0","15","700","11001338","0"
"42","0","150","0","8","799","91002","0"
"43","0","1","0","15","800","11001339","0"
"44","0","1","0","24","999","0","0"
