f6c26d31ca5afbdefc057577e15a8c145a55acbf897d9e3a18b7d92cd8d307a9,012602ef585d28a818599bea90dc2f3deb1f421e7ec49b2efb448a685d7e68b1,ff6ed6ad94d3ca13d623dca23a31b758693fd4b5570894827b4bf726600ea9f8,2908cd22b054dd163b7e440a42378cdfc94362d501b190db3f677ad45eb3f661,ae5ecb7472c70203c87d9aee586247182812eedbe39bad5b6d5e59e6f909c796,cf553b2927363a0bbe15e6365a948a96d897c9c8d9d95784974842bc511492e8,7d41dc6611e47dca88d8cc3ceea0585eb7b01992d2919d10953b3d50a95dacba,216e025b189f65f0fce2e880b3844dfe713f9d324197868d4ddd428865fbc335,211d39ebc79ee63906487cf890eedeb4ca441739cbec6819b0144c9af700df61
"2","1","","","2","23001","21600","1","1"
"3","1","","","2","23001","19800","2","1"
"3","1","","","2","23001","18000","3","1"
"3","1","","","2","23001","16200","4","1"
"4","1","","","2","23001","14400","5","1"
"4","1","","","2","23001","12960","6","1"
"5","1","","","2","23001","11520","7","1"
"6","1","","","2","23001","10080","8","1"
"7","1","","","2","23001","8640","9","1"
"8","1","","","2","23001","7200","10","1"
"10","1","","","2","23001","5760","11","1"
"12","1","","","2","23001","5040","12","1"
"14","1","","","2","23001","4320","13","1"
"16","2","","","2","23001","7200","14","1"
"18","2","","","2","23001","5400","15","1"
"18","2","","","2","23001","5040","16","1"
"18","2","","","2","23001","4800","17","1"
"20","2","","","2","23001","4500","18","1"
"20","2","","","2","23001","4320","19","1"
"24","3","","","2","23001","6000","20","1"
"48","3","","","2","23001","5700","21","1"
"48","3","","","2","23001","5400","22","1"
"51","3","","","2","23001","5220","23","1"
"54","3","","","2","23001","4980","24","1"
"54","3","","","2","23001","4800","25","1"
"60","3","","","2","23001","4500","26","1"
"60","3","","","2","23001","4320","27","1"
"63","3","","","2","23001","4200","28","1"
"64","4","","","2","23001","5400","29","1"
"68","4","","","2","23001","5220","30","1"
"72","4","","","2","23001","5040","31","1"
"72","4","","","2","23001","4920","32","1"
"72","4","","","2","23001","4800","33","1"
"80","20","","","6","93001","21600","1","2"
"96","24","","","6","93001","21600","2","2"
"112","28","","","6","93001","21600","3","2"
"120","30","","","6","93001","21600","4","2"
"128","32","","","6","93001","21600","5","2"
"136","34","","","6","93001","21600","6","2"
"144","36","","","6","93001","21600","7","2"
"152","38","","","6","93001","21600","8","2"
"160","40","","","6","93001","21600","9","2"
"168","42","","","6","93001","21600","10","2"
"176","44","","","6","93001","21600","11","2"
"184","46","","","6","93001","21600","12","2"
"192","48","","","6","93001","21600","13","2"
"200","50","","","6","93001","21600","14","2"
"208","52","","","6","93001","21600","15","2"
"216","54","","","6","93001","21600","16","2"
"224","56","","","6","93001","21600","17","2"
"232","58","","","6","93001","21600","18","2"
"240","60","","","6","93001","21600","19","2"
"248","62","","","6","93001","21600","20","2"
"256","64","","","6","93001","21600","21","2"
"264","66","","","6","93001","21600","22","2"
"272","68","","","6","93001","21600","23","2"
"280","70","","","6","93001","21600","24","2"
"288","72","","","6","93001","21600","25","2"
"296","74","","","6","93001","21600","26","2"
"304","76","","","6","93001","21600","27","2"
"312","78","","","6","93001","21600","28","2"
"320","80","","","6","93001","21600","29","2"
"328","82","","","6","93001","21600","30","2"
"336","84","","","6","93001","21600","31","2"
"340","85","","","6","93001","21600","32","2"
"344","86","","","6","93001","21600","33","2"
"3","1","","","2","20001","14400","1","3"
"5","1","","","2","20001","9600","2","3"
"7","1","","","2","20001","7200","3","3"
"10","1","","","2","20001","5400","4","3"
"15","1","","","2","20001","3600","5","3"
"6","1","","","2","20002","9600","6","3"
"8","1","","","2","20002","7200","7","3"
"12","1","","","2","20002","4800","8","3"
"16","1","","","2","20002","3600","9","3"
"20","1","","","2","20002","2700","10","3"
"6","1","","","2","20003","10800","11","3"
"8","1","","","2","20003","9000","12","3"
"12","1","","","2","20003","7200","13","3"
"16","1","","","2","20003","5400","14","3"
"20","1","","","2","20003","3600","15","3"
"30","1","","","2","20003","2880","16","3"
"7","1","","","2","20004","12600","17","3"
"8","1","","","2","20004","11400","18","3"
"9","1","","","2","20004","10200","19","3"
"10","1","","","2","20004","9300","20","3"
"10","1","","","2","20004","8700","21","3"
"13","1","","","2","20004","6600","22","3"
"14","1","","","2","20004","6300","23","3"
"15","1","","","2","20004","6000","24","3"
"15","1","","","2","20004","5700","25","3"
"16","1","","","2","20004","5400","26","3"
"17","1","","","2","20004","5100","27","3"
"18","1","","","2","20004","4860","28","3"
"19","1","","","2","20004","4620","29","3"
"20","1","","","2","20004","4440","30","3"
"21","1","","","2","20004","4260","31","3"
"22","1","","","2","20004","4080","32","3"
"22","1","","","2","20004","3960","33","3"
"12000","3000","","","12","94002","21600","1","4"
"18000","4500","","","12","94002","21600","2","4"
"24000","6000","","","12","94002","21600","3","4"
"30000","7500","","","12","94002","21600","4","4"
"42000","10500","","","12","94002","21600","5","4"
"54000","13500","","","12","94002","21600","6","4"
"66000","16500","","","12","94002","21600","7","4"
"84000","21000","","","12","94002","21600","8","4"
"102000","25500","","","12","94002","21600","9","4"
"120000","30000","","","12","94002","21600","10","4"
"144000","36000","","","12","94002","21600","11","4"
"168000","42000","","","12","94002","21600","12","4"
"192000","48000","","","12","94002","21600","13","4"
"222000","55500","","","12","94002","21600","14","4"
"252000","63000","","","12","94002","21600","15","4"
"282000","70500","","","12","94002","21600","16","4"
"318000","79500","","","12","94002","21600","17","4"
"354000","88500","","","12","94002","21600","18","4"
"390000","97500","","","12","94002","21600","19","4"
"432000","108000","","","12","94002","21600","20","4"
"474000","118500","","","12","94002","21600","21","4"
"516000","129000","","","12","94002","21600","22","4"
"562000","140500","","","12","94002","21600","23","4"
"600000","150000","","","12","94002","21600","24","4"
"642000","160500","","","12","94002","21600","25","4"
"684000","171000","","","12","94002","21600","26","4"
"726000","181500","","","12","94002","21600","27","4"
"768000","192000","","","12","94002","21600","28","4"
"810000","202500","","","12","94002","21600","29","4"
"852000","213000","","","12","94002","21600","30","4"
"894000","223500","","","12","94002","21600","31","4"
"920000","230000","","","12","94002","21600","32","4"
"940000","235000","","","12","94002","21600","33","4"
"48","12","","","6","93001","21600","1","5"
"48","12","","","6","93001","21600","1","6"
"48","12","","","6","93001","21600","1","7"
"48","12","","","6","93001","21600","1","8"
"48","12","","","6","93001","21600","1","11"
"48","12","","","6","93001","21600","1","12"
"48","12","","","6","93001","21600","1","19"
"0","1","14999999999","4999999999","0","0","0","0","23"
"48","12","","","6","93001","21600","1","25"
"48","12","","","6","93001","21600","1","28"
"48","12","","","6","93001","21600","1","30"
