48cff7056d6a094698d3a59d44624fc5db9f1f2492f6471116a3c43fa87932b4,74c1181f70f67699d79a89810c76c08b7fea3a58c4cbf04714a18daf38e363e9,1d5ae365f1dfd86e5b2e744d82d20d543917e05d0adaa26c0b61a98aa6b524b5,2173fd839e0476371af3670eab05c700b915bc44652f766dd98e4e6a383e7a00,0fdfe9be2140fc0ee91c2480f21b576332751eb268c5aa5d0b926407805f29f1,9b2c47b7a2296b9f956ca58e4d80788ad731192eb57211cdf19a484824003b16,d5a6aa45ecc5802d90f3e352f4880c09d4de984224d19ecb28a1873cbb69aa9c,d00744e825f2e2d04454a094dddcd3b7459e03897c47240aa1cbcc3f9d6e5a2f,a0cf2fa38b9d7d891f819c57e32892981a254bf3f2d91cae6d477f067a545fbb,eeece9323e6e3be0d05d75d3ff3012acd2596d43645c030e98feab625d485d5d,0ee314c5128f468d79e32d7994db98ded1c81df7144ff0c917ac5b860f882aa8
"1001","1","100","1","167","drama_idle","129811","1","-224","1.65","1"
"1002","0","100","1","-49","drama_idle","129911","1","-224","1.65","1"
"1003","","1","129811","","","drama_idle","1","","0.2","3"
"1004","0","0","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","1","1","0.2","3"
"1005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_000","1","","","21"
"1006","0","6","129911","1","0","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","1","0","0","11"
"1007","","","0","","","","1","","","91"
"1008","","1","129911","","","drama_idle_arm_crossed","1","","0.2","3"
"1009","0","0","129811","drama_talk_doya_loop_smile","","drama_talk_doya_in_smile","1","1","0.2","3"
"1010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_001","1","","","21"
"1011","0","6","129811","1","0.3","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","1","0","0","11"
"1012","","","0","","","","1","","","91"
"1013","","1","129811","","","drama_idle_arm_crossed","1","","0.2","3"
"1014","0","0","129911","drama_talk_smile_loop","","drama_talk_smile_in","1","1","0.2","3"
"1015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_1_002","1","","","21"
"1016","0","5","129911","1","0.5","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","1","0","0","11"
"1017","","","0","","","","1","","","91"
"1018","","1","129911","","","drama_idle","1","","0.2","3"
"1019","","1","129811","","","drama_idle","1","","0.2","3"
