ac8c6ac6c6396d5c5981234372ae9f17977c591f7beba9456355b994db532607,0bdd99f8f0f409e319c981bc7f83dadfd08ce8d3ec4c944ebe09541f28537764,dbc4859f517e2bc9acd12714cb7e1430dd14494b3e56eca2c3023753ca7da505,4e8bb47fe88cf2ed2afead4c0e472d166dcb0c5c723de850ed1434fdbd6e8fae,94e8483acd0220310203d4c4dd11c9ec684e49f576e2ce56c16bbbf8119045bc,27e9f0133ef383fa11069cbbcd0e09c8d3d45c94513d5ed027f88d1dcea14df6,c1dce6f6e1a46e99a17c341a68576e84c03a6bf4e14cdf32591ac66083278212,ba596dde2bc82c2b3f70e59c7893ce4e8b026dffa38164f91fb817d0b1aeb3d3,8c9bd88b05f3471b6fb331c6a10f2eef6c02e9c5e02f3d7f282c93497eda7bb0,8face83f0f67e84a62ab46f781ae2ef3bcebd0917a16bddcb199b49a19c88c7b,29389683bc967c32da336ab1081c811dd0c6105a0f9773dfb1c56681457d581e,2050762b8a922b00b73189f887142f8c71f2708a51dc58291339ab06ca463fee,7cb6a9fc15df9e2a5b9e3137321d5b4bfcf48a9d2458fea7fc8b4895bcb2781f,64d71c43c0cd5635ca899053bbda2106c8d548b427f36fb31d53be1d38dc1296,082b4114aaac0ea172c11471c2b50244783ca9a139167590181a47bea6abaacd,125785b7824cf9264c5f9531941e2f7de8d4c593e4a261f3de287cf497c95578,b84af870634f0b3a918d2a7bcdaab01d9a87b07c10946c3547ef376d578383a8,e9fc86191f560e6f5161690aa979158dbe9f15a611e1f61fdd33d2875ecee9da,6bf2ff2cf14b003af6c4acce07f925159a5c6495947938030785ee95ff7ee013,3cc70adb881aa6764718926f2673ad10d8c1a5913d84115c7049acd5f7427d4f,4ba93197bffd2d118d2f3c8dbee0d5195073e1931693263b6802e592f0579e72,e1c73e9155caf6527c4d262802a185c1469289a9da92587daa1233b340c85c9c,ae0bb9130c763de377a01856c891844de125194174122a68455ee8997259bd62,d4870b2ddfd645cce4c16d68b3a6a74f4ea1a89f5a0f2d5229981cd350c9972b,7bb59661645e0ff63a689bb31b56c87810549ebe6e632cf8b384c9647bace5c5,8297b26cb9ec4c786b0fc5a3c23ef23951bda8da9b440e470f2019446b3178da,5c4fabdf09ca7abb4cb05c77cce883f0d104cadccce0dbb7e8a3388539c4f1fb
"","0","","1","","192501","129001","","0","","135001","106901","","","3","","3","4","0","","","2","","2","1","","4"
"","0","","2","","192501","129001","","2","","135001","106901","","","2","","2","4","","","","","","","0","","2"
"","0","","3","","192501","129001","","0","0","135001","106901","3","","4","","3","4","0","","2","1","","2","1","","4"
"","0","","4","","192501","129001","","1","","135001","106901","","","2","","1","4","","","","","","","0","","2"
"","0","","5","","192501","129001","190901","1","","135001","106901","","","2","","1","4","","","","","","","0","","2"
"","0","","6","","190901","129001","192501","1","","135001","106901","","","2","","1","4","","","","","","","0","","2"
"","0","","7","","","129001","118301","1","","135001","106901","","","2","","1","4","","","","","","","0","118401","2"
"","0","","8","","","129001","118301","2","","135001","106901","","","2","","2","4","","","","","","","0","118401","2"
"120601","0","","9","","","129001","120401","0","","135001","106901","","","3","","3","4","0","","","2","","2","1","120501","4"
"","0","","10","","","129001","121701","2","","135001","106901","","","2","","2","4","","","","","","","0","121801","2"
"","0","","11","","","","124301","2","","","","","","2","","2","4","","","","","","","0","124401","2"
"","0","","12","","","","128101","2","","","","","","2","","2","4","","","","","","","0","128201","2"
