2d0442a0f846e7ad9279fa63225c9724677221582a293e1238f01b8a40158bbd,50f34be191dfbf53b4bd45981d9bf79ba10bcd3b2b23d2904e5a03065356b9ec,30d6ff83ea5c779f6245da29bc44ccfa12d702b5096b0ce0423b1e70588bb5c5,18a0b54b3d753a1d77f0e56e0b3f1a0dc1ad414038663a69d29960673faf5774,463a292ef96dc8251867f4d6492c42bd3b9009781476ec77737f02099cdec298
"100001011","10000101","94002","150000","12"
"100001012","10000101","22003","6","2"
"100001021","10000102","94002","500000","12"
"100001022","10000102","22003","6","2"
"100001031","10000103","94002","500000","12"
"100001032","10000103","140001","3","4"
"100001033","10000103","25001","3","2"
"100001041","10000104","94002","500000","12"
"100001042","10000104","22003","6","2"
"100001051","10000105","94002","500000","12"
"100001052","10000105","140001","4","4"
"100001053","10000105","25001","4","2"
"100001061","10000106","94002","500000","12"
"100001062","10000106","22003","6","2"
"100001071","10000107","94002","500000","12"
"100001072","10000107","140001","4","4"
"100001073","10000107","25001","4","2"
"100001081","10000108","94002","500000","12"
"100001082","10000108","22003","6","2"
"100001091","10000109","94002","500000","12"
"100001092","10000109","140001","4","4"
"100001093","10000109","25001","4","2"
"100505011","10050501","94002","120000","12"
"100505012","10050501","22003","3","2"
"100505021","10050502","94002","120000","12"
"100505022","10050502","22003","4","2"
"100505031","10050503","94002","120000","12"
"100505032","10050503","22003","4","2"
"100505111","10050511","94002","120000","12"
"100505112","10050511","22003","3","2"
"100505121","10050512","94002","160000","12"
"100505122","10050512","22003","4","2"
"100606011","10060601","94002","120000","12"
"100606012","10060601","22003","3","2"
"100606021","10060602","94002","120000","12"
"100606022","10060602","22003","4","2"
"100606031","10060603","94002","120000","12"
"100606032","10060603","22003","4","2"
"100606111","10060611","94002","120000","12"
"100606112","10060611","22003","3","2"
"100606121","10060612","94002","160000","12"
"100606122","10060612","22003","4","2"
"100707011","10070701","94002","120000","12"
"100707012","10070701","22003","3","2"
"100707021","10070702","94002","120000","12"
"100707022","10070702","22003","4","2"
"100707031","10070703","94002","120000","12"
"100707032","10070703","22003","4","2"
"100707111","10070711","94002","120000","12"
"100707112","10070711","22003","3","2"
"100707121","10070712","94002","160000","12"
"100707122","10070712","22003","4","2"
"100808011","10080801","94002","120000","12"
"100808012","10080801","22003","3","2"
"100808021","10080802","94002","120000","12"
"100808022","10080802","22003","4","2"
"100808031","10080803","94002","120000","12"
"100808032","10080803","22003","4","2"
"100808111","10080811","94002","120000","12"
"100808112","10080811","22003","3","2"
"100808121","10080812","94002","160000","12"
"100808122","10080812","22003","4","2"
