bf1fbb650bb7c16c652b7a8e1841eedba5677a1ac979921846a3a7e56e1c4880,1dba3f62bc462f39b495c62af68fbd79006dd0846bcc247f3c487a2d31f747d5,b3b6c049ff6ddeb16ace2782e77d2a4636cd3da82c1754a2709f2beef9f202b5,d98dab767ded8b90482d2559e4f5fcb99e4b54d68a165d13ae3ad343dbfd4a19,c85574edfd9b04089cb46768cd554830d81978fbf1cca9171843462571e4eff1
"1","9000277","10213","5213062","10213001"
"2","9000278","10213","5213064","10213002"
"3","9000279","10213","5213066","10213003"
"4","9000280","10213","5213068","10213004"
"5","9000281","10213","5213070","10213005"
"6","9000282","10213","5213072","10213006"
"7","9000283","10213","5213074","10213007"
"8","9000284","10213","5213076","10213008"
"9","9000285","10213","5213078","10213009"
"10","9000286","10213","5213080","10213010"
"11","9000287","10213","5213082","10213011"
"12","9000288","10213","5213084","10213012"
"13","9000289","10213","5213086","10213013"
"14","9000290","10213","5213088","10213014"
"15","9000291","10213","5213090","10213015"
"16","9000292","10213","5213092","10213016"
"17","9000293","10213","5213094","10213017"
"18","9000294","10213","5213096","10213018"
"19","9000295","10213","5213098","10213019"
"20","9000296","10213","5213100","10213020"
"21","9000297","10213","5213102","10213021"
