d4638c59d3d6083440b7af418a2e18b1a5f0c60cef7dd3aa13dc1a10b37132ee,481478f3e31948d6f2e8f3f25e8af95b13e0e8efcdc651f876bfba66f53e4057,338fecdc4b8e68d89e2431bc6191941c4515696b03456dd5a38aec036f1d9fe1,09a041c89230e438ae9953b2c0a0eb8ab3c1998996018f3245571adc2a129a43,63cf5a06dc100f55840cf540b917d736bc8e2e8f39e942eaab55a41fd975d3cb,ee087a1cc5439e62a97921e84957b6269dc021b565b074d1137010d5d0d77506,beeb9126e2ee0f773175674aba9a82731bb5ddcaa286e20f13182e698c4274d3,a296aaef3724785261f39a70505315c28ab4827aef73806f0931b68f94f98aba,bb95be496a1519bfff22bb5b974d7267cd66b8d118732d1d17e8e3bc7aab7d38,47bc91d1353515c88563cd57d44ea3d66fc50af702739e92d447956389e21697,42fe8553844eb60a3c17ff5ae8dcb6aae95a71aabf3679a23491674510beadc9,2a40ce941a7bf52845af125730ab2245172a6c4ddc3b6f1a96a7bc812420a0ec
"20000","0","2030/08/01 14:59:59","0","6","2","0","ランダムなEXPポーションが獲得できる。","2015/12/17 15:00:00","ランダムEXPポーションBOX","0","1"
"20001","60","2030/08/01 14:59:59","0","1","1","80","キャラのLv強化に使用すると、キャラEXPが60加算される。","2015/12/17 15:00:00","ミニEXPポーション","0","999999"
"20002","300","2030/08/01 14:59:59","0","1","2","400","キャラのLv強化に使用すると、キャラEXPが300加算される。","2015/12/17 15:00:00","EXPポーション","0","999999"
"20003","1500","2030/08/01 14:59:59","0","1","3","2000","キャラのLv強化に使用すると、キャラEXPが1500加算される。","2015/12/17 15:00:00","EXPハイポーション","0","999999"
"20004","7500","2030/08/01 14:59:59","0","1","4","10000","キャラのLv強化に使用すると、キャラEXPが7500加算される。","2015/12/17 15:00:00","EXPメガポーション","0","999999"
"20005","37500","2030/08/01 14:59:59","0","1","5","50000","キャラのLv強化に使用すると、キャラEXPが37500加算される。","2015/12/17 15:00:00","EXPギガポーション","0","999999"
"21001","1","2030/08/01 14:59:59","0","21","1","0","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2020/11/30 12:00:00","ユカリ（クリスマス）専用スフィア / Lv180","0","999"
"21002","2","2030/08/01 14:59:59","0","21","1","0","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2020/12/31 12:00:00","ムイミ（ニューイヤー）専用スフィア / Lv180","0","999"
"21003","3","2030/08/01 14:59:59","0","21","1","0","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2021/01/31 12:00:00","ユイ（儀装束）専用スフィア / Lv180","0","999"
"21004","5","2030/08/01 14:59:59","0","21","1","0","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2021/02/28 12:00:00","リマ（シンデレラ）専用スフィア / Lv180","0","999"
"21005","6","2030/08/01 14:59:59","0","21","1","0","タマキ（作業服）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2021/05/31 12:00:00","タマキ（作業服）専用スフィア / Lv180","0","999"
"21006","7","2030/08/01 14:59:59","0","21","1","0","ツムギ（サマー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2021/07/31 12:00:00","ツムギ（サマー）専用スフィア / Lv180","0","999"
"21007","8","2030/08/01 14:59:59","0","21","1","0","ニノン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","2021/09/30 12:00:00","ニノン（ハロウィン）専用スフィア / Lv180","0","999"
"21008","9","2030/08/01 14:59:59","0","21","1","0","マヒル（クリスマス）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2021/11/30 12:00:00","マヒル（クリスマス）専用スフィア / Lv215","0","999"
"21009","10","2030/08/01 14:59:59","0","21","1","0","ルカ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2021/12/31 12:00:00","ルカ（ニューイヤー）専用スフィア / Lv215","0","999"
"21010","12","2030/08/01 14:59:59","0","21","1","0","ラビリスタ（オーバーロード）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2022/02/07 12:00:00","ラビリスタ（オーバーロード）専用スフィア / Lv215","0","999"
"21011","13","2030/08/01 14:59:59","0","21","1","0","アオイ（キャンプ）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2022/05/31 12:00:00","アオイ（キャンプ）専用スフィア / Lv215","0","999"
"21012","14","2030/08/01 14:59:59","0","21","1","0","ヒヨリ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2022/06/30 12:00:00","ヒヨリ（サマー）専用スフィア / Lv215","0","999"
"21013","15","2030/08/01 14:59:59","0","21","1","0","ミソギ（サマー）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2022/07/31 12:00:00","ミソギ（サマー）専用スフィア / Lv215","0","999"
"21014","16","2030/08/01 14:59:59","0","21","1","0","リン（ハロウィン）専用のグロウスフィア。キャラのステータスをLv215/RANK23まで強化できる。","2022/09/30 12:00:00","リン（ハロウィン）専用スフィア / Lv215","0","999"
