0a36f90ded7632744aa7131a48150108c4c9dc4d90f073d23b9193a7f1712cc7,b7760cba4d796657478ec2f27e929e556e0c324230d051dd0d8de110cf6c61ce,64fdfde0ae523f14d6f53f658163c8d4e4e4033e81065727bcd572800cb0515c,e61af82a8180f83f86895069c5777697b8241c1f1fbd49779ece8a5223fac99f,f7807758b61453d10dc559ea81173624f6ae5770743783b4a4afa3a4933304ad
"1","0","3030100","0","1"
"1","0","3050100","0","2"
"1","0","3040100","0","3"
"1","0","3020100","0","4"
"1","0","2040100","0","5"
"2","0","2040100","0","5"
"1","0","2020100","0","6"
"2","0","2020100","0","6"
"1","0","1030100","314","7"
"1","0","4030100","0","8"
"1","0","1050100","502","9"
"1","0","4020100","0","10"
"1","0","2030100","0","11"
"2","0","2030100","0","11"
"1","10301010","3040100","0","12"
"1","0","1020100","202","13"
"1","20201010","1040102","406","14"
"1","0","1010200","105","15"
"2","0","2010200","0","15"
"3","0","2010200","0","15"
"1","0","3050200","0","16"
"1","0","3040200","0","17"
"1","0","3020200","0","18"
"1","0","2040200","0","19"
"2","0","2040200","0","19"
"1","0","2020200","0","20"
"2","0","2020200","0","20"
"1","0","1030200","315","21"
"1","0","1020200","205","22"
"1","0","1050200","509","23"
"1","0","4020200","0","24"
"1","0","2030200","0","25"
"2","0","2030200","0","25"
"1","0","4030200","0","26"
"1","10101020","3020200","0","27"
"1","20201020","1040200","408","28"
"1","10101020","3040200","0","29"
"1","10101020","3010200","0","30"
"1","0","1010300","102","31"
"2","0","2010300","0","31"
"3","0","2010300","0","31"
"1","0","3050300","0","32"
"1","0","3040300","0","33"
"1","0","3020300","0","34"
"1","0","2040300","0","35"
"2","0","2040300","0","35"
"1","0","2020300","0","36"
"2","0","2020300","0","36"
"1","0","1030300","306","37"
"1","0","1020300","206","38"
"1","0","1050300","502","39"
"1","0","4020300","0","40"
"1","0","2030300","0","41"
"2","0","2030300","0","41"
"1","0","4030300","0","42"
"1","10101030","3020300","0","43"
"1","20201030","1040300","406","44"
"1","10101050","3010300","0","45"
"1","10101050","3040300","0","46"
"1","10101050","3030300","0","47"
"1","10101050","3010300","0","48"
"1","10101050","3020300","0","49"
"1","30102050","1010300","112","50"
