20b2903208955d861b749bbd777cd749f5f39d52abcf3551974bda2b214ee3d9,b273e1e7c980336ca4ad35a879f010af95b85f96d85506855333cb837090a919,d346afa8e91799d103ce4a8e0d4400d3f37bdd5b785126e6a8f94465832fcec7
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
"32043","1","23"
"32017","1","24"
"32010","1","25"
"32036","1","26"
"32004","1","27"
"32020","1","28"
"32059","1","29"
"32076","2","29"
"32014","1","30"
"32038","1","31"
"32003","1","32"
"32089","2","32"
"32071","1","33"
"32029","1","34"
"32044","1","35"
"32056","1","36"
"32012","1","37"
"32047","1","38"
"32054","1","39"
"32006","1","40"
"32022","1","41"
"32124","1","42"
"32125","1","43"
"32126","1","44"
"32032","1","45"
