1785cce28011b12b1da0ffff67131bcdced90597d5012b9dbb2d9565f3c20561,847063be1958de7680f52f7313ed7d67ed25fade33b1c48164b9596371b686f6,81532d4e482530be47bb33e6b9135aa34cfc21cd5e957502a2439392dc1bf140,38bf1bd87d6871c0469884ebe2372bda044c63643d6c49a7823c9fd57fb38698,60f2299646551ac8dfc6662dee5ff517b69bb2a736d3e5a838b81aa6973eee5b,1404182e41c141d353ba6ac648268a6240edf5ac4cbaf2f2c2e2dc8a451f0bba,493a99fd3eee38b4e3ab10ee4dae8c6cf349840cc0a85e018b9f16ff4cd8c8dc,df320c919cae480a8e04118124c8ec3f9c0872155bc66a18fd63f3a845a8be35,8a22bf86c106faa8139564f7941c6b987d55d9cb27d7e1c558b40553d4044883,6c830141c3648b5ea8d1feea0aefe9dffd2c5a678a91f2c2f4edef1ef3277e9d,51f961f5fa80070c8f129362dfc663619abaf97a8471d854b817c45aceb69a0f
"-209.3","1.35","1","-421","110","1","110931","0","11010001","101","nyx_idle_normal"
"-182.5","1.35","1","121.8","110","1","104831","0","11010002","101","nyx_idle_normal"
"-182.5","1.35","1","227.7","110","1","104631","0","11010003","101","nyx_idle_normal"
"-182.5","1.35","1","340.3","110","1","103231","1","11010004","101","nyx_talk_normal"
"-182.5","1.35","1","449.6","110","1","103431","1","11010005","101","nyx_idle_normal"
"-209.3","1.35","5","-421","120","2","2","0","11010006","101","NoItem"
"1","1","31","0","0","1","1","","11010007","101",""
"1","0","31","0","-300","15","3","","11010008","101",""
"1.5","0","31","0","-300","15","4","","11010009","101",""
"","","25","","","bgm_M347","bgm_M347","","11010010","101",""
"","","93","","","2","","","11010011","101",""
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_01","","11010012","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_01","","11010013","101",""
"","","11","","10","110931","ちぇる～ん♪\n最初はとにかく\nインパクト！","","11010014","101",""
"","","93","","","0.4","","","11010015","101",""
"","","32","","","3","0","","11010016","101",""
"","","32","","","3","1","","11010017","101",""
"","","91","","","11010014","","","11010018","101",""
"","","11","","10","110931","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","11010019","101",""
"","","93","","","1","","","11010020","101",""
"","0.2","3","","1","103231","nyx_idle_joy1","","11010021","101",""
"","0.2","3","","1","104631","nyx_cmn_05","","11010022","101",""
"","","91","","","11010019","","","11010023","101",""
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_01","","11010024","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_01","","11010025","101",""
"","","11","","7","110931","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","11010026","101",""
"","","93","","","0.4","","","11010027","101",""
"","","32","","","3","0","","11010028","101",""
"","","32","","","3","1","","11010029","101",""
"","","93","","","0.6","","","11010030","101",""
"","0.2","3","","1","103431","nyx_talk_bitter","","11010031","101",""
"","0.2","3","","1","104631","nyx_cmn_04","","11010032","101",""
"","","93","","","2","","","11010033","101",""
