35735a7a7293b69f40a5c4958fa3ec9ce572d6a87048c840f79668d77c4d6537,da749b707436f5f90c8f341174e99b6df8430015bec7f19fd837296493da788d,25d1f4b89ba953cf99126821ce016450859cb7cde41bbaebbe81d4d8518fb7e7,dcf8c48273f2b399fd7e3d915649e8393e78ab45f8b2eee9d9a7e4c0a2862d54,f751ff0c2d7f3419c65438a40b2a3ce2d0fdc70539fddaf4925595d5c2ef6778
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"2","0","0","0","4"
"2","0","0","0","5"
"2","0","0","0","6"
"3","0","0","0","7"
"3","0","0","0","8"
"3","0","0","0","9"
"4","0","0","0","10"
"4","0","0","0","11"
"4","0","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","0","0","2","16"
"0","0","0","2","17"
"0","0","0","2","18"
"0","0","0","3","19"
"0","0","0","3","20"
"0","0","0","3","21"
"3","0","0","0","22"
"3","0","0","0","23"
"2","0","0","0","24"
"2","0","0","0","25"
"0","0","0","2","26"
"0","0","0","2","27"
"2","0","3","0","28"
"2","0","3","0","29"
"3","0","0","2","30"
"3","0","0","2","31"
"3","0","0","3","32"
"0","0","0","3","33"
"3","0","4","0","34"
"0","0","0","0","35"
"2","0","0","2","36"
"2","0","0","2","37"
"4","0","0","3","38"
