12102f0ba2ed721e30110505e9713bd365f409caeefeddc69dc8651d0abed914,7578d9de8da012067ed667c34456319838fee4bb5d6ef4fe971e8fbb4b173fd5,71ce338c83a77115ed5072239219693cbe68055b70f832195e1ea126eb071fc6,5cf29573b834348faff7d5ffc10ff66cce52db8594044524ab2275c021228401,c53370d766aa9d9479346af5e213b5fcb20e16191b035fbd3efa6bf408c76cec,d52f1ac013fadd18c5bf71265c412c4af9be21496b7a7454995a7368bc598f0e,59c445bc72b2cf746809a5ba408a87207db5fc4d47d6341c534daad54c3b3370
"105","1","2","105","105","1","3"
"105","2","2","120","120","1","3"
"100","3","2","100","120","1","3"
"105","4","2","120","120","1","3"
"105","5","2","105","120","1","3"
"100","6","2","100","105","1","3"
"120","7","2","100","105","1","3"
"100","8","2","100","105","1","3"
"105","9","2","120","120","1","3"
"120","10","2","100","105","1","3"
"100","11","2","105","100","1","3"
"105","12","2","120","120","1","3"
"105","13","2","105","105","1","3"
"105","14","2","120","105","1","3"
"120","15","2","120","120","1","3"
"100","16","2","100","100","1","3"
"120","17","2","105","120","1","3"
"120","18","2","120","105","1","3"
"105","19","2","105","100","1","3"
"100","20","2","105","105","1","3"
"100","21","2","105","100","1","3"
"120","22","2","120","120","1","3"
"105","23","2","100","100","1","3"
"120","24","2","120","120","1","3"
"105","25","2","105","120","1","3"
"100","26","2","100","100","1","3"
"100","27","2","100","100","1","3"
"100","28","2","100","100","1","3"
"120","29","2","120","120","1","3"
"105","30","2","120","105","1","3"
