ad4ad5979dc66ba8ab07c21fc4e1e03ab3c7440d51d4f40877b3dd4ec62a9acc,a5d9bf8503890beb94c2ce424fcbdb463bf706c4e05b573950da55ba6bb51090,9235a2094944b4ce51dbd28ab1d58f22c09473b106518b7ac9deb0f9b7a9f547,da55d3c8b64dd6dafd73bfc81a9dc4e9b8f5d42afa61f688d5f187b61e8cbdb5,50ae0621f77be18c9a754041d7bee4018a6ff8597ad819cc91469f0ae8181431,a9490d2ab382191c3129287165cf2e0a8edaabeba9994fc2fd71fefb7afacd01,53bbc7fdd0779b4d6062fd671b53e6c58da9e5d4b803e485c2c9e47aa271d971,0535845c7f43c58624593431ebda11f0b3eae3b05e9b4457c65ce0c95369557a,10a633b689931367202d641905bea1fa188280bdd3dd7c0cccdcc29dbea71793,f6217b4ec29591aff6b98e839c3f0ecf441e17af4f0aaae13c25b545f5553f34,87d73d49e199a8c6d1214751071af3cfa82d9d18e4710c5b0de6ecb89843f562
"","","31","0","1","1","1","1021301","1","1021301001","0"
"","","31","0","1","2","1","1021301","2","1021301002","0"
"","","31","0","1","5","1","1021301","5","1021301003","0"
"","","31","0","0","10","1","1021301","10","1021301004","0"
"","","31","0","0","20","1","1021301","20","1021301005","0"
"","","31","0","0","21","1","1021301","21","1021301006","0"
"","","31","0","0","22","1","1021301","22","1021301007","0"
"","","31","0","0","100","1","1021301","101","1021301008","0"
"","","31","0","0","200","1","1021301","201","1021301009","0"
"","","31","0","0","300","1","1021301","301","1021301010","0"
"0","empty","5","27","1","1","-14","1021301","1","1021301011","0"
"0","empty","5","28","1","2","-14","1021301","2","1021301012","0"
"0","empty","5","26","1","3","-14","1021301","2","1021301013","0"
"0","empty","5","25","1","4","-14","1021301","11","1021301014","0"
"0","empty","5","24","1","5","-14","1021301","12","1021301015","0"
"0","empty","5","13","1","6","-24","1021301","11","1021301016","-10"
"0","empty","5","12","1","7","-24","1021301","12","1021301017","-10"
"0","empty","5","29","1","8","-14","1021301","0","1021301018","0"
"0","empty","5","10","1","9","-19","1021301","0","1021301019","-5"
"0","","6","0.63","0","0.23","1","1021301","6","1021301020","0.56"
"0","","6","0.63","0","0.23","1","1021301","7","1021301021","0.56"
"0","","6","0.63","0","0.23","1","1021301","9","1021301022","0.56"
"","","141","","","","","1021301","1","1021301023",""
"","","91","","","","","1021301","0","1021301024",""
"","","93","","","0","","1021301","0.033","1021301025",""
"","","23","0","","se_obtent_10213_drama_cook_lyrael","","1021301","se_10067600","1021301026",""
"0","","3","0","0","raira_cook","","1021301","1","1021301027",""
"0","","3","0","0","raira_cook","","1021301","2","1021301028",""
"0","","3","0","0","raira_end","","1021301","3","1021301029",""
"0","","3","0","0","raira_cook","","1021301","4","1021301030",""
"0","","3","0","0","raira_white","","1021301","5","1021301031",""
"0","","3","0","0","raira_cook","","1021301","6","1021301032",""
"0","","3","0","0","raira_white","","1021301","7","1021301033",""
"0","","3","0","0","raira_cook","","1021301","8","1021301034",""
"0","","3","0","0","raira_cook_w","","1021301","9","1021301035",""
"","","93","","","0","","1021301","3","1021301036",""
"","","21","0","","vo_obtent_1021301_01","","1021301","vo_obtent_1021301","1021301037","0"
"","","93","","","0","","1021301","2.366","1021301038",""
"","","101","","","","","1021301","1021301040","1021301039",""
"","","24","","","0","","1021301","se_obtent_10213_drama_cook_lyrael","1021301040",""
"","","22","","","0","","1021301","0","1021301041",""
"0","","6","1","0","1","0","1021301","1","1021301042","1"
"0","","6","1","0","1","0","1021301","2","1021301043","1"
"0","","6","1","0","1","0","1021301","3","1021301044","1"
"0","","6","1","0","1","0","1021301","4","1021301045","1"
"0","","6","1","0","1","0","1021301","5","1021301046","1"
"0","","6","1","0","1","0","1021301","6","1021301047","1"
"0","","6","1","0","1","0","1021301","7","1021301048","1"
"0","","6","1","0","1","0","1021301","8","1021301049","1"
"0","","6","1","0","1","0","1021301","9","1021301050","1"
"","","37","","","eat","","1021301","1","1021301051",""
"","","32","","","0","","1021301","2","1021301052",""
"","","32","","","0","","1021301","5","1021301053",""
"","","32","","","1","","1021301","10","1021301054",""
"","","32","","","1","","1021301","100","1021301055",""
"","","23","0","","se_obtent_10213_drama_eat","","1021301","se_10067600","1021301056",""
"","","93","","","0","","1021301","0","1021301057",""
"","","21","0","","vo_obtent_1021301_02","","1021301","vo_obtent_1021301","1021301058","0"
"","","93","","","0","","1021301","2.8","1021301059",""
"","","21","0","","vo_obtent_1021301_03","","1021301","vo_obtent_1021301","1021301060","0"
"","","93","","","0","","1021301","2.6","1021301061",""
"","","26","","","","","1021301","2","1021301062",""
"","","21","0","","vo_obtent_1021301_04","","1021301","vo_obtent_1021301","1021301063","0"
"","","93","","","0","","1021301","2.5","1021301064",""
"","","101","","","","","1021301","1021301066","1021301065",""
"","","32","","","0","","1021301","10","1021301066",""
"","","32","","","0","","1021301","100","1021301067",""
"","","32","","","1","","1021301","20","1021301068",""
"","","32","","","1","","1021301","200","1021301069",""
"","","32","","","1","","1021301","300","1021301070",""
"","","24","","","0","","1021301","se_obtent_10213_drama_eat","1021301071",""
"","","22","","","0","","1021301","0","1021301072",""
"","","21","0","","vo_obtent_1021301_05","","1021301","vo_obtent_1021301","1021301073","0"
"","","25","","","bgm_MC319A","","1021301","bgm_MC319A","1021301074",""
"","","23","0","","se_obtent_10213_drama_break_1","","1021301","se_10067600","1021301075",""
"","","93","","","0","","1021301","3.5","1021301076",""
"","","101","","","","","1021301","1021301078","1021301077",""
"","","37","","","break_2","","1021301","20","1021301078",""
"","","37","","","break_2","","1021301","200","1021301079",""
"","","37","","","break_2","","1021301","300","1021301080",""
"","","24","","","0","","1021301","se_obtent_10213_drama_break_1","1021301081",""
"","","22","","","0","","1021301","0","1021301082",""
"","","21","0","","vo_obtent_1021301_06","","1021301","vo_obtent_1021301","1021301083","0"
"","","23","0","","se_obtent_10213_drama_break_2","","1021301","se_10067600","1021301084",""
"","","93","","","0","","1021301","4","1021301085",""
"","","101","","","","","1021301","1021301087","1021301086",""
"","","37","","","break_3","","1021301","20","1021301087",""
"","","37","","","break_3","","1021301","200","1021301088",""
"","","37","","","break_3","","1021301","300","1021301089",""
"","","24","","","0","","1021301","se_obtent_10213_drama_break_2","1021301090",""
"","","22","","","0","","1021301","0","1021301091",""
"","","21","0","","vo_obtent_1021301_07","","1021301","vo_obtent_1021301","1021301092","0"
"","","23","0","","se_obtent_10213_drama_break_3","","1021301","se_10067600","1021301093",""
"","","93","","","0","","1021301","5","1021301094",""
"","","101","","","","","1021301","1021301096","1021301095",""
"","","37","","","break_4","","1021301","300","1021301096",""
"","","32","","","1","","1021301","21","1021301097",""
"","","93","","","0","","1021301","0.2","1021301098",""
"","","141","","","","","1021301","0","1021301099",""
"","","93","","","0","","1021301","0.1","1021301100",""
"","","92","","","","","1021301","","1021301101",""
"","","101","","","","","1021301","1021301103","1021301102",""
"","","24","","","0","","1021301","se_obtent_10213_drama_break_3","1021301103",""
"","","22","","","0","","1021301","0","1021301104",""
"","","32","","","1","","1021301","22","1021301105",""
"","","93","","","0","","1021301","0.4","1021301106",""
"","","31","0","1","1","1","1021302","1","1021302001","0"
