8313eddd0daa0340b7d7d7afed017995a1f8a8b112f2fb0fb581f5a66c703949,c377b01d1752fe429478f1817a46800a7cb8285dab74309d2839cc08ef7645a8,13c98019478d8d586df693fc8c130e3bad6b0a8cac71db078a43204b6f045496
"14","1","4"
"20","2","15"
"25","3","21"
"30","4","26"
"35","5","31"
"40","6","36"
"45","7","41"
"50","8","46"
"55","9","51"
"60","10","56"
"65","11","61"
"70","12","66"
"75","13","71"
"80","14","76"
"85","15","81"
"90","16","86"
"95","17","91"
"100","18","96"
"105","19","101"
"110","20","106"
"115","21","111"
"120","22","116"
"125","23","121"
"130","24","126"
"135","25","131"
"140","26","136"
"145","27","141"
"150","28","146"
"155","29","151"
"160","30","156"
"165","31","161"
"170","32","166"
"175","33","171"
"180","34","176"
"185","35","181"
"190","36","186"
"195","37","191"
"200","38","196"
"205","39","201"
"210","40","206"
"215","41","211"
"220","42","216"
"225","43","221"
"230","44","226"
"235","45","231"
"240","46","236"
"245","47","241"
"250","48","246"
"255","49","251"
"260","50","256"
"265","51","261"
"270","52","266"
"275","53","271"
"280","54","276"
"285","55","281"
"290","56","286"
"295","57","291"
"300","58","296"
"305","59","301"
"310","60","306"
"315","61","311"
"320","62","316"
"325","63","321"
"330","64","326"
"335","65","331"
"340","66","336"
"345","67","341"
"350","68","346"
"355","69","351"
"360","70","356"
"365","71","361"
"370","72","366"
"375","73","371"
"380","74","376"
"385","75","381"
"388","76","386"
"-1","77","389"
