ab0c30d463408ad793bb7469c9851be2223bb6b3750db7fbd2251fd1fd070c35,c12b149da7f290df43bbc383f62e14859ce233ae92797c8ba01eb8f97c414254,b8859b0d8bbaee6e36593d3ef83e855109cda8a438065de756529a2f4b1b124c,848c866e59bf829a9175bab3da246326c0667d400ea393e642de43441eb02001
"1","180701","4","1001"
"2","180701","4","1002"
"3","180701","4","1003"
"4","180701","4","1004"
"5","180701","4","1005"
"6","180701","2","1014"
"7","180701","2","1015"
"8","180701","2","1016"
"9","180701","2","1017"
"10","180701","2","1010"
"11","180701","2","1011"
"12","180701","2","1012"
"13","180701","2","1013"
"14","180801","6","1001"
"15","180801","6","1002"
"16","180801","6","1003"
"17","180801","6","1004"
"18","180801","6","1005"
"19","180801","3","1014"
"20","180801","3","1015"
"21","180801","3","1016"
"22","180801","4","1017"
"23","180801","3","1010"
"24","180801","3","1011"
"25","180801","3","1012"
"26","180801","3","1013"
"27","180801","3","1009"
"28","180901","4","1001"
"29","180901","4","1002"
"30","180901","4","1003"
"31","180901","4","1004"
"32","180901","4","1005"
"33","180901","2","1014"
"34","180901","2","1015"
"35","180901","2","1016"
"36","180901","4","1017"
"37","180901","2","1010"
"38","180901","2","1011"
"39","180901","2","1012"
"40","180901","2","1013"
"41","181001","4","1001"
"42","181001","4","1002"
"43","181001","4","1003"
"44","181001","4","1004"
"45","181001","4","1005"
"46","181001","2","1009"
"47","181001","2","1010"
"48","181001","2","1011"
"49","181001","2","1012"
"50","181001","2","1013"
"51","181001","2","1014"
"52","181001","2","1015"
"53","181001","2","1016"
"54","181001","2","1017"
"55","181101","4","1001"
"56","181101","4","1002"
"57","181101","4","1003"
"58","181101","4","1004"
"59","181101","4","1005"
"60","181101","2","1009"
"61","181101","2","1010"
"62","181101","2","1012"
"63","181101","2","1013"
"64","181101","2","1014"
"65","181101","2","1015"
"66","181101","2","1016"
"67","181101","2","1017"
