abd09e14071413f3694ad4e4b6f4faa70462c194792bbd55bc9b4b1ab1463013,a9f29e8ebe1d0652d0cd769e84ed5908fdc37e1709da918070d41574c4f7ff30,8fc31dc9b6cc21b21567f2262b2b061047dd2cc9f32aead6fb80ce20a2d16118,06ef08a3adf62a0b61cf3ebf33d6bde83c4d50f73c4fc37cf967defd418807a8,eb8535a49115a89ced019a64c56ef4f365015d089a4a097ae3cc0ce55d083ee6,8e86bbe831f621ff77634d0eb669e5e6e70c726f7158cfec429e815b92271f98,b03491d16bb336c3a39895d9a57d6d1f39e44213a9a73b089384a6a47e3f6723,c837478ce477c5f4a83c950799ae02efbe1800475e6a0edb5751da8e6561d15e,e95f5a73b26560bb05dd121982ebd61919b6ecbb85dc41f80d7842affc6535db,cf286fbde43584df779f1e936f1bffa2655f6784614b367f80066953a274f96d,2291fbfa1f34a750713e6e985047613cc4d67b1426cb424fbc57f37dfd5ff860,db71e46afe34da54b46c0f2fc911e027b49bdfd0cd0b6051e76d66c4c309810f,05b0139f0ba2f22ea38f35d5ea109a0ac710a4d06a6fd51f705e42ea15219ab9,513b692b687811805837eb9c431c2eebc4eae8fc217e2d3749f9a1d4e3084e45,afc74b4ca3e30857d7ba6f1679a77bf12c1decf48f37ffc67d605619811e2ccf
"EASY","1","bgm_M57","100113","1","100113","1","701000101","110001","0","90","0","90110001","bgm_M57","0"
"NORMAL","1","bgm_M57","100113","1","100113","2","701000102","110001","0","90","0","90110002","bgm_M57","0"
"HARD","1","bgm_M57","100113","1","100113","3","701000103","110001","0","90","0","90110003","bgm_M57","0"
"VERY HARD","1","bgm_M57","100113","1","100113","4","701000104","110001","0","90","0","90110004","bgm_M57","0"
"EXTREME","1","bgm_M57","100113","1","100113","5","701000105","110001","0","90","0","90110005","bgm_M57","0"
"EASY","1","bgm_M169","103013","2","103013","1","701000201","120001","0","90","0","90120001","bgm_M169","0"
"NORMAL","1","bgm_M169","103013","2","103013","2","701000202","120001","0","90","0","90120002","bgm_M169","0"
"HARD","1","bgm_M169","103013","2","103013","3","701000203","120001","0","90","0","90120003","bgm_M169","0"
"VERY HARD","1","bgm_M169","103013","2","103013","4","701000204","120001","0","90","0","90120004","bgm_M169","0"
"EXTREME","1","bgm_M169","103013","2","103013","5","701000205","120001","0","90","0","90120005","bgm_M169","0"
"EASY","1","bgm_M64","100113","3","100113","1","701000301","130001","0","90","0","90130001","bgm_M64","0"
"NORMAL","1","bgm_M64","100113","3","100113","2","701000302","130001","0","90","0","90130002","bgm_M64","0"
"HARD","1","bgm_M64","100113","3","100113","3","701000303","130001","0","90","0","90130003","bgm_M64","0"
"VERY HARD","1","bgm_M64","100113","3","100113","4","701000304","130001","0","90","0","90130004","bgm_M64","0"
"EXTREME","1","bgm_M64","100113","3","100113","5","701000305","130001","0","90","0","90130005","bgm_M64","0"
"EASY","1","bgm_M07","100113","4","100113","1","701000401","140001","0","90","0","90140001","bgm_M07","0"
"NORMAL","1","bgm_M07","100113","4","100113","2","701000402","140001","0","90","0","90140002","bgm_M07","0"
"HARD","1","bgm_M07","100113","4","100113","3","701000403","140001","0","90","0","90140003","bgm_M07","0"
"VERY HARD","1","bgm_M07","100113","4","100113","4","701000404","140001","0","90","0","90140004","bgm_M07","0"
"EXTREME","1","bgm_M07","100113","4","100113","5","701000405","140001","0","90","0","90140005","bgm_M07","0"
"EASY","1","bgm_M170","103013","5","103013","1","701000501","150001","0","90","0","90150001","bgm_M170","0"
"NORMAL","1","bgm_M170","103013","5","103013","2","701000502","150001","0","90","0","90150002","bgm_M170","0"
"HARD","1","bgm_M170","103013","5","103013","3","701000503","150001","0","90","0","90150003","bgm_M170","0"
"VERY HARD","1","bgm_M170","103013","5","103013","4","701000504","150001","0","90","0","90150004","bgm_M170","0"
"EXTREME","1","bgm_M170","103013","5","103013","5","701000505","150001","0","90","0","90150005","bgm_M170","0"
