a7e6d6ec61721d9763b76905bb637ec0868513bde3047acd1d865a2d9cc23438,db0a1e1545b89dffb28ceab0e4216a2dbb61fd6e16e2d424f731826b4693a74e,4ed7578474b3c8fced48e41b2d3f1275f678cb3670cdc2206f2e836b0881f8ea,cb53a5a6dd2af8f18f1f28842872da95eb92c6612509308845b445c3562aff9f,19af3018cf87d6dc23f3896263faa880658bef408190f180d3b2475d756814df,0d0916ff4c95527a03342330567e0c2ee7424cbdc5f9b43c6985d4f419500e75,09544949f9f881809a7524ccc84e7123ce3cdeaa3595d8e6a74eb2412bf66d52,b2b7de4ebe75cc5416a545bbdffcb06d5c55a610fc9229ca9b4ef0bd9800f081,893c13daee316b5fad466a1fd4666229d554683a496ebc10c727214cd3a67afa,18dc81b15a4fe57161a1ac161c30a3f75b36c682c09d261ef20f5291ccf57216,56c62f04b5ee200c046e8912fa555d020ce50d585a478925baf3c17bb6d9245b,6085ebdcf5eaa4d87f525f36bf7545958e270ab25c3f2831a477f908f52b6fdb,eeae09b73cabd99843f75d5452a07546311703a483fb352a187f2b71d5ce60c4,a31125731eb994759433cff4d030ece249d1b745c88df60a95171cc612d01756,0a565783ff209562a31cb8c718105c2f82f7c9344018369c5b73820f091adb54,042280c1bbbd013f133dc52980a2515519319dee4e3beef7441c32557855a7fe,bdefa626fac9f9bb039b21cd0bef6ed5e5da28e6934878f4faf2e6f6a8c8b69e,59682fd8c2f26d34d5e82f8ce62595f4239eff920f37a29c2c97588cc16fa65b,3a14665394ee4e9330a37122aeea65611290926f15f1cc503b5d62ec62612cd4
"","-60","1","0","0","610132501","0","3","1","12","5","5.5","289","0","3","1","0","610132007","10132"
"","-60","1","0","0","610132502","70","0","1","0","5","1.5","289","0","1","2","0","610132008","10132"
"","-60","1","0","0","0","0","0","1","0","5","1.5","289","0","1","3","0","610132009","10132"
"","-50","1","0","0","0","55","3","1.85","0","5","5.5","292","0","1","1","0","610134007","10134"
"","-50","1","0","0","610134502","0","0","1.85","30","5","1.5","292","0","3","2","0","610134008","10134"
"","-50","1","0","0","0","0","0","1.85","0","5","1.5","292","0","1","3","0","610134009","10134"
"","0","1","0","0","610136501","0","3","1.1","0","5","5.5","295","0","2","1","600","610136007","10136"
"","-50","1","0","0","0","84","0","1.5","0","5","1.5","295","0","1","2","0","610136008","10136"
"","-50","1","0","0","0","0","0","1.5","0","5","1.5","295","0","1","3","0","610136009","10136"
"","0","1","0","0","0","75","0","0.85","0","5","5.5","295","0","1","1","0","610137007","10137"
"","0","1","0","0","0","50","0","0.85","0","5","1.5","295","0","1","2","0","610137008","10137"
"","0","1","0","0","0","0","0","0.85","0","5","1.5","295","0","1","3","0","610137009","10137"
"","0","1","0","0","0","77","3","1.4","0","5","5.5","298","0","1","1","0","610140007","10140"
"","0","1","0","0","0","52","0","1.4","0","5","1.5","298","0","1","2","0","610140008","10140"
"","0","1","0","0","0","0","0","1.4","0","5","1.5","298","0","1","3","0","610140009","10140"
"","-33","1","0","0","0","76","3","1.45","0","5","5.5","301","0","1","1","0","610142007","10142"
"","-40","1","0","0","610142502","0","3","1.23","0","5","1.5","301","0","2","2","600","610142008","10142"
"","-33","1","0","0","0","0","0","1.45","0","5","1.5","301","0","1","3","0","610142009","10142"
"","-33","1","0","0","0","65","3","1","0","5","5.5","304","0","1","1","0","610144007","10144"
"","-40","1","0","0","610144502","0","3","0.85","0","5","1.5","304","0","2","2","600","610144008","10144"
"","-33","1","0","0","0","0","0","1","0","5","1.5","304","0","1","3","0","610144009","10144"
"","-45","1","0","0","610146501","0","3","0.87","0","5","5.5","307","0","2","1","600","610146007","10146"
"","-45","1","0","0","0","58","0","1.18","0","5","1.5","307","0","1","2","0","610146008","10146"
"","-45","1","0","0","0","0","0","1.18","0","5","1.5","307","0","1","3","0","610146009","10146"
"","-50","1","0","0","610148501","0","3","1.4","0","5","5.5","310","0","2","1","600","610148007","10148"
"","-50","1","0","0","0","68","0","1.7","0","5","1.5","310","0","1","2","0","610148008","10148"
"","-50","1","0","0","0","0","0","1.7","0","5","1.5","310","0","1","3","0","610148009","10148"
"","-33","1","0","0","0","71","3","1.35","0","5","5.5","313","0","1","1","0","610150007","10150"
"","-33","1","0","0","0","50","3","1.35","0","5","1.5","313","0","1","2","0","610150008","10150"
"","-33","1","0","0","0","0","0","1.35","0","5","1.5","313","0","1","3","0","610150009","10150"
"","20","1","0","0","610152501","0","4.8","0.7","0","5","5.5","316","0","2","1","600","610152007","10152"
"","30","1","0","0","0","81","0","0.96","0","5","1.5","316","0","1","2","0","610152008","10152"
"","30","1","0","0","0","0","0","0.96","0","5","1.5","316","0","1","3","0","610152009","10152"
"","-33","1","0","0","0","68","3","1.25","0","5","5.5","319","0","1","1","0","610154007","10154"
"","-10","1","0","0","610154502","0","3","1","0","5","1.5","319","0","2","2","600","610154008","10154"
"","-33","1","0","0","0","0","0","1.25","0","5","1.5","319","0","1","3","0","610154009","10154"
"","5","1","0","0","610156501","0","3","0.85","0","5","5.5","322","0","2","1","600","610156007","10156"
"","-10","1","0","0","0","75","3","1.11","0","5","1.5","322","0","1","2","600","610156008","10156"
"","-10","1","0","0","0","0","0","1.11","0","5","1.5","322","0","1","3","0","610156009","10156"
"","-40","1","0","0","610158501","0","3","1.5","0","5","5.5","325","0","2","1","600","610158007","10158"
"","-33","1","0","0","0","65","0","1.75","0","5","1.5","325","0","1","2","0","610158008","10158"
"","-33","1","0","0","0","0","0","1.75","0","5","1.5","325","0","1","3","0","610158009","10158"
"","-35","1","0","0","610160501","0","4.8","1.4","20","5","5.5","328","0","3","1","600","610160007","10160"
"","-35","1","0","0","0","70","0","1.4","0","5","1.5","328","0","1","2","0","610160008","10160"
"","-35","1","0","0","0","0","0","1.4","0","5","1.5","328","0","1","3","0","610160009","10160"
