b570630ef6d10cf2d3c6fb9cb914b0f2c3e1b89dce0c9e13cc59ff98b21c2bfc,9a15154129822554f3dda3eba72ff2f88a6f8badf65e5f9050694cbece05c7a3,2f76242176548c4b0d3712b5c86734a82668b2b751f30f465fb239eca7b2714f,e02d316bb8402c4b311d5da12b1902bdb3936716a0dd7d84b2b7d17487c430d0,a61cc0823b94ac293c0b043b64654f725cd9540bb4a5bf778a5f6fb0fee118fe,81a6b6e3bb0fd462d645f4d02da887435455ba568d3ff58d412a4a61a3425783
"99001001","1001","11001001","1","15","1"
"99001001","0","91002","10","8","2"
"99001002","1001","11001002","1","15","3"
"99001002","0","91002","10","8","4"
"99001003","1002","11001003","1","15","5"
"99001003","0","91002","20","8","6"
"99001004","1003","11001004","1","15","7"
"99001004","0","91002","30","8","8"
"99001005","1001","11001005","1","15","9"
"99001005","0","91002","10","8","10"
"99001006","1001","11001006","1","15","11"
"99001006","0","91002","10","8","12"
"99001007","1002","11001007","1","15","13"
"99001007","0","91002","20","8","14"
"99001008","1003","11001008","1","15","15"
"99001008","0","91002","30","8","16"
"99001009","1001","11001009","1","15","17"
"99001009","0","91002","10","8","18"
"99001010","1001","11001010","1","15","19"
"99001010","0","91002","10","8","20"
"99001011","1002","11001011","1","15","21"
"99001011","0","91002","20","8","22"
"99001012","1003","11001012","1","15","23"
"99001012","0","91002","30","8","24"
"99001017","1001","11001017","1","15","33"
"99001017","0","91002","30","8","34"
"99001018","1001","11001018","1","15","35"
"99001018","0","91002","30","8","36"
"99001019","1002","11001019","1","15","37"
"99001019","0","91002","30","8","38"
"99001020","1003","11001020","1","15","39"
"99001020","0","91002","30","8","40"
"99001021","1001","11001021","0","15","41"
"99001022","1002","11001022","0","15","42"
"99001023","1001","11001023","1","15","43"
"99001023","0","91002","30","8","44"
"99001024","1001","11001024","1","15","45"
"99001024","0","91002","30","8","46"
"99001025","1002","11001025","1","15","47"
"99001025","0","91002","30","8","48"
"99001026","1003","11001026","1","15","49"
"99001026","0","91002","30","8","50"
"99001027","1001","11001027","1","15","51"
"99001027","0","91002","30","8","52"
"99001028","1001","11001028","1","15","53"
"99001028","0","91002","30","8","54"
"99001029","1002","11001029","1","15","55"
"99001029","0","91002","30","8","56"
"99001030","1003","11001030","1","15","57"
"99001030","0","91002","30","8","58"
"99001031","1001","11001031","1","15","59"
"99001031","0","91002","30","8","60"
"99001032","1001","11001032","1","15","61"
"99001032","0","91002","30","8","62"
"99001033","1002","11001033","1","15","63"
"99001033","0","91002","30","8","64"
"99001034","1003","11001034","1","15","65"
"99001034","0","91002","30","8","66"
"99001039","1001","11001039","0","15","75"
"99001040","1002","11001040","0","15","76"
"99001041","1003","11001041","0","15","77"
"99001042","1001","11001042","1","15","78"
"99001042","0","91002","30","8","79"
"99001043","1001","11001043","1","15","80"
"99001043","0","91002","30","8","81"
"99001044","1002","11001044","1","15","82"
"99001044","0","91002","30","8","83"
"99001045","1003","11001045","1","15","84"
"99001045","0","91002","30","8","85"
"99001046","1001","11001046","1","15","86"
"99001046","1001","11001050","1","15","87"
"99001046","0","91002","30","8","88"
"99001047","1001","11001047","1","15","89"
"99001047","0","91002","30","8","90"
"99001048","1002","11001048","1","15","91"
"99001048","0","91002","30","8","92"
"99001049","1003","11001049","1","15","93"
"99001049","0","91002","30","8","94"
"99001051","1001","11001051","1","15","95"
"99001051","0","91002","30","8","96"
"99001052","1001","11001052","1","15","97"
"99001052","0","91002","30","8","98"
"99001053","1002","11001053","1","15","99"
