e9b06440975037b1befb41960ed96bee1907f399a3b7fcddbd5c11c54456de22,caebea06b1fa0bb0693dda7e8a06eab5e2bc88214a1760cea069f0fa73541dd2,cc306116d71dc3c36b7808539be1da3155849619b320a971c22aeb53adcfce94
"1","10101","1"
"1","10102","2"
"1","10103","3"
"1","10104","4"
"2","10201","1"
"2","10202","2"
"2","10203","3"
"2","10204","4"
"3","10301","1"
"3","10302","2"
"3","10303","3"
"3","10304","4"
"4","10401","1"
"4","10402","2"
"4","10403","3"
"4","10404","4"
"5","10501","1"
"5","10502","2"
"5","10503","3"
"5","10504","4"
"6","10601","1"
"6","10602","2"
"6","10603","3"
"6","10604","4"
"7","10701","1"
"7","10702","2"
"7","10703","3"
"7","10704","4"
"8","10801","1"
"8","10802","2"
"8","10803","3"
"8","10804","4"
"0","99999","0"
