3ef0078e35db619932fda7c182b8866886904d061b0c4256ac3582e356480cea,b8cbdd4ddc51f2f296745fba1385effb69b4bb821ca81c270eb4cd3d7d22a852,03bc54dad5de2f8fed096e16865009104ac666bc08aa69d76b193aad25e41204,1b4ce46867239458206fed0084690890230a3aef90f1880fe7ba416c201d318f,409be8fa9b6381317fbd73006c94c36e0392b71cc29dcb8805878be2cca12fb8,a9fae7d06cc059e6f7a29ca0910bef29ef714f9a74f4e19ccc74750d74690b03,84ecc8afacfc0eae45044b23298d04934c6087e181543ebb5a5d290843f85bb5
"1","1","0","1","0","1","1"
"4","2","0","1","0","2","1"
"5","1","12","1","0","3","1"
"2","2","0","1","0","4","1"
"8","1","0","2","0","5","1"
"1","1","0","1","0","1","2"
"1","2","0","1","0","2","2"
"6","1","0","1","0","3","2"
"1","2","0","1","0","4","2"
"1","3","0","1","0","5","2"
"3","1","11","3","0","6","2"
"1","2","0","1","0","7","2"
"3","1","0","1","0","8","2"
"1","1","0","2","0","9","2"
"1","1","0","1","0","1","3"
"10","2","0","1","0","2","3"
"11","1","0","1","0","3","3"
"5","2","0","1","0","4","3"
"6","3","0","1","0","5","3"
"3","3","0","1","0","6","3"
"3","4","9","2","0","7","3"
"7","4","0","1","0","8","3"
"1","4","0","1","0","9","3"
"9","1","8","3","0","10","3"
"4","2","0","1","0","11","3"
"1","1","0","1","0","12","3"
"3","4","0","1","0","13","3"
"3","3","11","2","0","14","3"
"4","1","10","1","0","1","4"
"12","1","12","1","0","2","4"
"1","2","10","1","0","3","4"
"11","1","4","1","0","4","4"
"1","2","0","1","0","5","4"
"4","1","13","1","0","6","4"
"2","2","6","1","0","7","4"
"8","1","0","1","0","8","4"
"8","2","10","1","0","9","4"
"1","1","10","1","0","1","5"
"11","2","5","1","0","2","5"
"1","1","7","1","0","3","5"
"5","2","12","1","0","4","5"
"1","1","11","1","0","5","5"
"3","2","4","1","0","6","5"
"5","2","12","1","0","7","5"
"2","1","6","1","0","8","5"
"11","2","4","1","0","9","5"
"8","1","8","1","0","10","5"
"4","1","10","1","0","11","5"
"5","2","10","1","0","12","5"
"8","1","7","1","0","1","6"
"4","2","10","1","0","2","6"
"1","1","11","1","0","3","6"
"8","2","8","1","0","4","6"
"11","1","6","1","0","5","6"
"2","1","7","2","0","6","6"
"5","1","4","1","0","7","6"
"4","2","10","1","0","8","6"
"10","1","13","2","0","9","6"
"8","1","7","1","0","1","7"
"12","2","10","1","0","2","7"
"4","2","12","1","0","3","7"
"11","1","7","1","0","4","7"
"1","1","10","1","0","5","7"
"5","2","12","1","0","6","7"
"5","2","11","1","0","7","7"
"8","2","10","1","0","8","7"
"2","1","8","1","0","9","7"
"8","1","7","1","0","10","7"
"4","2","9","1","0","11","7"
"1","1","10","2","0","1","8"
"12","2","10","1","0","2","8"
"12","1","5","1","0","3","8"
"5","1","12","1","0","4","8"
"1","2","10","1","0","5","8"
"5","1","12","1","0","6","8"
"5","1","12","1","0","7","8"
"1","2","10","1","0","8","8"
"8","2","9","1","0","9","8"
"4","1","9","2","0","10","8"
"4","1","8","1","0","1","9"
"5","1","10","1","0","2","9"
"4","2","7","1","0","3","9"
"6","2","8","1","0","4","9"
"1","1","10","1","0","5","9"
"11","1","11","1","0","6","9"
"1","1","6","1","0","7","9"
"5","2","8","1","0","8","9"
"8","2","7","1","0","9","9"
"4","1","6","1","0","10","9"
"11","2","10","1","0","1","10"
"1","1","7","1","0","2","10"
"8","1","8","2","0","3","10"
"5","2","9","1","0","4","10"
"10","1","8","1","0","5","10"
"1","1","7","2","0","6","10"
"2","1","6","2","0","7","10"
"11","1","10","1","0","8","10"
"8","2","10","1","0","9","10"
"9","1","8","1","0","1","11"
"5","2","0","1","0","2","11"
"6","2","12","1","0","3","11"
"1","1","5","1","0","4","11"
"5","2","10","1","0","5","11"
"6","2","12","1","0","6","11"
"1","1","4","1","0","7","11"
"11","1","0","1","0","8","11"
"6","1","0","1","0","9","11"
"1","2","10","1","0","10","11"
"6","1","11","1","0","11","11"
"1","2","12","1","0","12","11"
"5","2","6","1","0","13","11"
"10","1","7","1","0","14","11"
"4","2","7","1","0","15","11"
"11","2","4","1","0","1","12"
"1","1","5","1","0","2","12"
"6","2","10","1","0","3","12"
"5","2","10","1","0","4","12"
"11","1","0","1","0","5","12"
"6","2","0","1","0","6","12"
"12","2","17","1","0","7","12"
"5","1","1","1","0","8","12"
"1","1","2","1","0","9","12"
"6","2","10","1","0","10","12"
"4","2","10","1","0","11","12"
"1","1","0","1","0","12","12"
"5","1","13","1","0","13","12"
"11","2","8","1","0","14","12"
"8","1","10","1","0","15","12"
"11","1","10","1","0","1","13"
"11","3","8","1","0","2","13"
"6","2","0","1","0","3","13"
"11","1","10","1","0","4","13"
"11","2","7","1","0","5","13"
"2","3","6","1","0","6","13"
"1","3","0","1","1500","7","13"
"11","1","5","3","0","8","13"
"5","3","10","1","0","9","13"
"1","2","4","1","0","10","13"
"1","1","4","1","0","11","13"
"6","3","6","1","0","12","13"
"4","1","6","1","0","13","13"
"9","1","10","3","0","14","13"
"8","3","10","1","0","15","13"
"4","1","6","1","0","16","13"
"1","3","0","1","0","17","13"
"8","2","8","1","0","18","13"
"11","1","0","1","0","1","14"
"2","1","13","2","0","2","14"
"11","3","10","1","0","3","14"
"1","1","10","1","0","4","14"
"4","1","10","2","0","5","14"
"11","2","0","1","0","6","14"
"1","2","0","1","0","7","14"
"1","1","10","1","0","8","14"
"12","3","12","1","0","9","14"
"12","3","12","1","0","10","14"
"5","3","0","1","0","11","14"
"5","1","12","1","0","12","14"
"10","1","6","2","0","13","14"
"11","1","10","1","0","14","14"
"10","1","6","3","0","15","14"
"11","1","10","1","0","16","14"
"2","1","6","3","0","17","14"
"10","1","6","2","0","18","14"
"11","1","4","1","0","19","14"
"8","2","10","1","0","20","14"
"8","1","4","3","0","21","14"
"12","2","10","1","0","1","15"
"12","1","12","1","0","2","15"
"11","3","12","1","0","3","15"
"11","1","6","1","0","4","15"
"12","2","12","1","0","5","15"
"5","2","0","1","0","6","15"
"11","1","12","1","0","7","15"
"1","1","0","1","0","8","15"
"5","1","0","1","0","9","15"
"12","1","12","2","0","10","15"
"11","3","0","1","0","11","15"
"12","3","11","1","0","12","15"
"1","2","9","1","0","13","15"
"1","1","12","1","0","14","15"
"12","1","0","1","0","15","15"
"12","1","9","1","0","16","15"
"11","2","4","1","0","17","15"
"11","1","4","3","0","18","15"
"5","2","12","1","0","19","15"
"12","2","0","1","0","20","15"
"12","2","7","1","0","21","15"
"12","1","12","3","0","22","15"
"1","1","7","3","0","23","15"
"4","3","0","1","0","24","15"
"4","1","10","3","0","25","15"
"8","2","0","1","0","26","15"
"11","1","0","1","0","27","15"
"11","2","0","1","0","28","15"
"6","1","0","1","0","1","16"
"11","2","10","1","0","2","16"
"12","3","0","1","0","3","16"
"4","2","0","1","0","4","16"
"6","1","12","1","0","5","16"
"6","1","0","1","0","6","16"
"4","2","4","1","0","7","16"
"5","3","4","1","0","8","16"
"1","3","0","1","0","9","16"
"12","1","17","1","0","10","16"
"11","2","0","1","0","11","16"
"1","3","10","1","0","12","16"
"11","2","11","1","0","13","16"
"11","3","0","1","0","14","16"
"12","1","12","1","0","15","16"
"11","1","10","1","0","16","16"
"11","1","10","1","0","17","16"
"6","1","6","1","0","18","16"
"11","2","6","1","0","19","16"
"1","3","8","1","0","20","16"
"5","3","8","1","0","21","16"
"4","1","9","1","0","22","16"
"11","1","10","1","0","23","16"
"11","1","4","1","0","1","17"
"4","1","10","3","0","2","17"
"11","1","4","1","0","3","17"
"1","1","0","1","0","4","17"
"1","1","10","2","0","5","17"
"11","2","4","1","0","6","17"
"1","1","10","2","0","7","17"
"11","2","4","1","0","8","17"
"1","3","0","1","0","9","17"
"8","1","10","2","0","10","17"
"12","1","12","1","0","11","17"
"11","3","4","1","0","12","17"
"1","1","4","3","0","13","17"
"11","1","10","1","0","14","17"
"1","1","0","2","0","15","17"
"11","1","4","2","0","16","17"
"8","1","7","2","0","17","17"
"11","1","0","1","0","18","17"
"2","1","6","3","0","19","17"
"10","1","10","1","0","20","17"
"11","2","10","1","0","21","17"
"8","3","7","1","0","22","17"
"11","1","4","1","0","1","18"
"5","1","13","2","0","2","18"
"4","1","10","1","0","3","18"
"4","2","10","1","0","4","18"
"11","3","10","1","0","5","18"
"5","1","7","3","0","6","18"
"11","1","10","1","0","7","18"
"4","3","10","1","0","8","18"
"11","2","10","1","0","9","18"
"5","1","6","3","0","10","18"
"11","1","10","1","0","11","18"
"11","2","10","1","0","12","18"
"4","3","10","1","0","13","18"
"5","1","8","2","0","14","18"
"6","1","6","2","0","15","18"
"10","3","0","1","0","16","18"
"10","2","0","1","0","17","18"
"10","1","0","1","0","18","18"
"10","1","7","2","0","19","18"
"8","1","10","1","0","20","18"
"11","1","10","1","0","21","18"
"2","1","9","2","0","22","18"
"13","1","0","2","0","1","19"
"4","1","8","2","0","2","19"
"8","1","0","2","0","3","19"
"14","1","10","2","0","1","20"
"8","1","0","2","0","2","20"
"15","1","13","2","0","1","21"
"15","1","0","2","0","1","22"
"13","1","0","2","0","2","22"
"42","1","0","2","0","1","23"
"72","1","0","2","0","2","23"
"43","1","0","2","0","1","24"
"44","1","0","2","0","1","25"
"45","1","0","2","0","1","26"
"46","1","0","2","0","1","27"
"47","1","0","2","0","1","28"
"14","1","0","2","0","1","29"
"15","1","0","1","0","1","30"
"8","2","0","1","0","2","30"
"10","1","13","1","0","3","30"
"10","2","13","1","0","4","30"
"12","2","9","1","0","5","30"
"72","1","6","1","0","6","30"
"2","1","8","2","0","7","30"
"13","1","0","2","0","8","30"
"4","1","8","1","0","1","31"
"1","2","0","1","0","2","31"
"10","1","6","1","0","3","31"
"4","2","0","1","0","4","31"
"9","1","7","1","0","5","31"
"1","2","0","1","0","6","31"
"10","1","6","1","0","1","32"
"10","2","13","1","0","2","32"
"1","3","0","1","0","3","32"
"2","2","11","1","0","4","32"
"2","1","8","1","0","5","32"
"1","3","0","1","0","6","32"
"72","3","7","1","0","7","32"
"6","3","0","1","0","1","33"
"10","1","13","3","0","2","33"
"3","3","3","1","0","3","33"
"72","1","0","3","0","4","33"
"12","3","2","1","0","5","33"
"4","1","6","2","0","1","34"
"5","1","7","1","0","2","34"
"1","2","0","1","0","3","34"
"12","2","8","1","0","4","34"
"1","1","0","1","0","5","34"
"15","1","0","2","0","6","34"
"8","1","0","2","0","1","35"
"72","1","10","2","0","2","35"
"13","1","0","2","0","3","35"
"4","1","0","2","0","1","36"
"6","1","6","1","0","2","36"
"1","1","0","1","0","3","36"
"72","2","10","1","0","4","36"
"9","2","0","1","0","5","36"
"2","2","7","2","0","6","36"
"8","1","7","2","0","1","37"
"4","1","0","1","0","2","37"
"5","2","0","1","0","3","37"
"13","1","6","2","0","4","37"
"13","1","10","2","0","1","38"
"5","1","8","1","0","2","38"
"6","2","7","1","0","3","38"
"1","1","0","1","0","4","38"
"9","2","7","1","0","5","38"
"15","2","13","1","0","6","38"
"8","1","0","2","0","7","38"
"4","1","6","2","0","1","39"
"6","1","13","1","0","2","39"
"72","2","10","1","0","3","39"
"13","1","6","2","0","4","39"
