ac3698614a03cb6b9e35932b1d9680692b208a80bc23503f5700c8e88edab7a3,bf8d9d9d6f19e8e24cb5e1e954136ec381c467d6054ea5df2f386acd9c35c685,16d011ab6f3fc6c700cfc5df96ba0e06c3bb211614880c1331d5d6c98f462d0c,2859fa27c14621f9cb053c519e441638430edb50d9624df119349bf907bfafbb,d80ce64ee7f7c384e85ce38ac7020ebbdad31ec18c09dfeb14ff1f1b35cc88e8,9974960510c73ea62a247f1bbe39fec833988beaa8f875bcf8a14f4526f96889,b7c96ed088a371522e14de850031c31e05e9eb2cc5679c100ea1af63ca5db7aa
"81001105","0","306700","0","1","1","1001101"
"81001106","0","306700","0","1","1","1001102"
"81001205","0","306800","0","1","1","1001201"
"81001206","0","306800","0","1","1","1001202"
"81001305","0","307000","0","1","1","1001301"
"81001306","0","307000","0","1","1","1001302"
"81001405","0","307500","0","1","1","1001401"
"81001406","0","307500","0","1","1","1001402"
"81001505","0","307300","0","1","1","1001501"
"81001506","0","307300","0","1","1","1001502"
"81001605","0","307700","0","1","1","1001601"
"81001606","0","307700","0","1","1","1001602"
"81001705","0","307400","0","1","1","1001701"
"81001706","0","307400","0","1","1","1001702"
"81001805","0","307900","0","1","1","1001801"
"81001806","0","307900","0","1","1","1001802"
"81001905","0","307800","0","1","1","1001901"
"81001906","0","307800","0","1","1","1001902"
"81002005","0","308100","0","1","1","1002001"
"81002006","0","308100","0","1","1","1002002"
"81002101","0","308000","0","1","1","1002101"
"81002102","0","308000","0","1","1","1002102"
"81002205","0","308300","0","1","1","1002201"
"81002206","0","308300","0","1","1","1002202"
"81002301","0","308200","0","1","1","1002301"
"81002302","0","308200","0","1","1","1002302"
"81002405","0","304705","0","1","1","1002401"
"81002406","0","304705","0","1","1","1002402"
"81002501","0","308400","0","1","1","1002501"
"81002502","0","308400","0","1","1","1002502"
"81002605","0","305004","0","1","1","1002601"
"81002606","0","305004","0","1","1","1002602"
"81002701","0","308600","0","1","1","1002701"
"81002702","0","308600","0","1","1","1002702"
"81002805","0","305205","0","1","1","1002801"
"81002806","0","305205","0","1","1","1002802"
"81002901","0","309300","0","1","1","1002901"
"81002902","0","309300","0","1","1","1002902"
"81003005","0","305500","0","1","1","1003001"
"81003006","0","305500","0","1","1","1003002"
"81003101","0","310000","0","1","1","1003101"
"81003102","0","310000","0","1","1","1003102"
"81003205","0","306000","0","1","1","1003201"
"81003206","0","306000","0","1","1","1003202"
"81000605","0","310300","0","1","1","1003301"
"81003301","0","310300","0","1","1","1003302"
"81001105","0","306700","0","1","1","1003401"
"81001106","0","306700","0","1","1","1003402"
"100021","0","310500","0","2.5","2.5","1003501"
"100531","0","310500","0","2.5","2.5","1003502"
"81003601","0","310600","0","0.4","0.4","1003601"
"81003602","0","310600","0","0.4","0.4","1003602"
"81001205","0","306800","0","1","1","1003701"
