560b79e6041e7a00dd9ee8ee0261523c8dd2f0be780f1a3304205601a6ad7cf8,db3d9f54343aab7870a323c253c44018be8a4a8496f77170773ea03e377c25a2,9b23454e7671c4f67f4f4bc01ccbf82e426e627bd737555cb94835b3058a67ea,df4b0deebb6008fd47ced02276d8c1d98ffcdf4418479326903a6470b9cc91ab,bb28bc369cc72341a505ffbad2228b81bb804d1f58f000bad3659165978b69fb,df4d46850a1d9ac83a6b3e20ade7af1b1da6d523e6a09c1fa1a225ca1c27afb5,331eded035b42231c15c19ffa1b44293073ccc5641059e3bebc39f4bd39945a2,1e44e9b105a702827d9b9976dcbf9f82754555cc956f243bb7b069385db425bf,1a2384735716c8b2bc64a28b7fbd30fd9b6c5c5428ff3dc62e4828fdd4d9bf5b,f5eb7739b69257346bbe8db1efa8a1dbfd21f6a251ff8fed282456012545644f,3d0a1a547ac05caefeb5125f08a198e7c74baf84b12927f967574eb2e8fda3b1,cacb2d88a1daf529a7c4eb236f3a07b7a425d52409a3ed05d31df603d61c5c7a,d6ad55681d9aaf05115545b74a9d54a126779d2d083e79d93774cde286d920bc,feeaa95171c886329842325cea5036106e8d6567627cf5f7ed9172c5f51a7830
"いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","2002","2023/06/30 12:00:00","2","126401","1.47","1","クローチェ","2023/09/22 14:59:59","0","-470","1","1","10001"
"素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","2002","2023/06/30 12:00:00","1","126401","2.15","1","クローチェ","2023/09/22 14:59:59","0","-470","2","2","10002"
"ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","2002","2023/06/30 12:00:00","2","126501","0","1","ライラエル","2023/09/22 14:59:59","0","-470","2","1","10003"
"こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","2002","2023/06/30 12:00:00","1","126501","0","1","ライラエル","2023/09/22 14:59:59","0","-470","1","2","10004"
"いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","2002","2023/09/15 15:00:00","2","127702","0","2","リンド","2023/12/22 14:59:59","0","-470","2","1","10005"
"ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","2002","2023/09/15 15:00:00","2","127702","0","2","リンド","2023/12/22 14:59:59","0","-470","2","2","10006"
"ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","2002","2023/09/15 15:00:00","1","127802","0","2","ヴルム","2023/12/22 14:59:59","0","-470","1","1","10007"
"なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","2002","2023/09/15 15:00:00","1","127802","6.5","2","ヴルム","2023/12/22 14:59:59","0","-470","2","2","10008"
"──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","2002","2023/12/15 15:00:00","1","129602","0","3","アネモネ","2024/03/22 14:59:59","0","-470","2","1","10009"
"──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","2002","2023/12/15 15:00:00","1","129602","0","3","アネモネ","2024/03/22 14:59:59","0","-470","2","2","10010"
"ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","2002","2023/12/15 15:00:00","1","129701","0","3","ネフィ=ネラ","2024/03/22 14:59:59","0","-470","1","1","10011"
"ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","2002","2023/12/15 15:00:00","1","129701","6.2","3","ネフィ=ネラ","2024/03/22 14:59:59","0","-470","2","2","10012"
"い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","2002","2024/03/15 15:00:00","5","130301","3.1","4","カノン","2024/06/22 14:59:59","0","-470","3","1","10013"
"あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","2002","2024/03/15 15:00:00","2","130301","6.15","4","カノン","2024/06/22 14:59:59","0","-470","3","2","10014"
"いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","2002","2024/03/15 15:00:00","2","130401","0","4","ナーナ","2024/06/22 14:59:59","0","-470","2","1","10015"
"甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","2002","2024/03/15 15:00:00","1","130401","3.35","4","ナーナ","2024/06/22 14:59:59","0","-470","2","2","10016"
"ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","2002","2024/06/15 15:00:00","1","130502","0","5","ホウオウ","2024/09/22 14:59:59","0","-470","1","1","10017"
"ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","2002","2024/06/15 15:00:00","1","130502","3.18","5","ホウオウ","2024/09/22 14:59:59","0","-470","2","2","10018"
"うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","2002","2024/06/15 15:00:00","4","130503","0","5","ホウオウ","2024/09/22 14:59:59","0","-470","4","3","10019"
"おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","2002","2024/06/15 15:00:00","2","123301","4.9","5","ネア","2024/09/22 14:59:59","0","-470","1","1","10020"
"ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","2002","2024/06/15 15:00:00","2","123301","4.8","5","ネア","2024/09/22 14:59:59","0","-470","1","2","10021"
"ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","2002","2024/09/15 15:00:00","1","133301","4.922","6","カリザ","2024/12/22 14:59:59","0","-470","3","1","10022"
"い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","2002","2024/09/15 15:00:00","5","133301","9.638","6","カリザ","2024/12/22 14:59:59","0","-470","3","2","10023"
"ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","2002","2024/09/15 15:00:00","2","133401","2.88","6","ミーア","2024/12/22 14:59:59","0","-470","1","1","10024"
"私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","2002","2024/09/15 15:00:00","1","133401","4.818","6","ミーア","2024/12/22 14:59:59","0","-470","5","2","10025"
"へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","2002","2024/12/15 15:00:00","1","133002","1.78","7","グレイス","2025/03/22 14:59:59","0","-470","2","1","10026"
"商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","2002","2024/12/15 15:00:00","7","133002","6.15","7","グレイス","2025/03/22 14:59:59","0","-470","1","2","10027"
"ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","2002","2024/12/15 15:00:00","2","133102","4.28","7","ヴァイオレット","2025/03/22 14:59:59","0","-470","6","1","10028"
"じめじめした商品は\nございませんので\n安心してお買い求め下さい","2002","2024/12/15 15:00:00","1","133102","0","7","ヴァイオレット","2025/03/22 14:59:59","0","-470","1","2","10029"
"いらっしゃいましぇでしゅ\n何をお求めでしゅか？\nたこ焼きもありましゅよ！","2002","2025/03/15 15:00:00","1","136902","5.53","8","ルルィ","2025/06/23 14:59:59","0","-470","2","1","10030"
"そのコイン…ピカピカで、\n集めたくなっちゃいましゅ\nタコ釣られされちゃう～…","2002","2025/03/15 15:00:00","7","136902","6.05","8","ルルィ","2025/06/23 14:59:59","0","-470","9","2","10031"
"姫のご友人ならば\n礼儀を尽くすのが爺の務め\nさ、望みの物を言いたまえ","2002","2025/03/15 15:00:00","1","137001","0","8","デュラン","2025/06/23 14:59:59","0","-470","2","1","10032"
"キャラバンコインではなく\n首で支払って貰えんかのぅ\n…冗談であるぞ？","2002","2025/03/15 15:00:00","1","137001","0","8","デュラン","2025/06/23 14:59:59","0","-470","2","2","10033"
