830139820ab8364503f92c749f30f08d89abfc74073a8ca9a28f9274bae44ba7,19af4b523cf394046ba44268c522675e4fc979f55cb61a38c22c5c1d080b14ca,5aa7c5ac7180a99ffc7fd5ff8295bdefec66fdaca8aa6b3640f7b4d81fd6b549
"1","100101","1"
"1","100201","1"
"1","100301","1"
"1","100401","1"
"1","102101","1"
"1","102201","1"
"1","102501","1"
"1","103401","1"
"1","104001","1"
"1","105001","1"
"1","105201","1"
"1","105801","1"
"1","105901","1"
"1","106001","1"
"1","100601","2"
"1","100701","2"
"1","100801","2"
"1","101301","2"
"1","101601","2"
"1","101701","2"
"1","102001","2"
"1","102301","2"
"1","102701","2"
"1","103101","2"
"1","103301","2"
"1","103801","2"
"1","104201","2"
"1","104501","2"
"1","104601","2"
"1","104801","2"
"1","105101","2"
"1","102601","2"
"1","101501","2"
"1","105401","2"
"1","100501","2"
"1","100901","3"
"1","101001","3"
"1","101101","3"
"1","101201","3"
"1","101801","3"
"1","102801","3"
"1","102901","3"
"1","103001","3"
"1","103201","3"
"1","104301","3"
"1","104901","3"
"1","105301","3"
"1","105701","3"
"1","104701","3"
"1","106301","3"
"1","103601","3"
"1","104401","3"
"1","103701","3"
"1","105601","3"
"1","107101","3"
