8661b2e5605f2120f9488da477c062613c08130157f9fae1b49e369ebb96f92a,213caef6dccaadb449e30889d4b5f774c0f5fa81687ed8b250e97ab3ddb5c1bd,36198957b9359c097f7752159273f3f242be470eb469e5fa5625d5b136521c56,11c37e273747ab82165bfd8c7d7a0308e9a58d71f3e8cd3b280ff3411f1fd8ce,97324dea169d2a0cea3af0a9f0d3c0c0fb29235d163cc48fc8d2ec9168244aa4,776d369162170028db2d1d0691f203db64b3e885411ef7bf51d05dc4a87d8440,b72f2ed213f4d4f74c4512073dcbcaef61fb210c53ae32ca9ff618b446f19a6b,c4570ec7d51fedb45b8c8384e65fe089402d2802da07c70b1b3e4396a0ca41c8,5ae307585ad498c34bf45224ebe73a27aafd0c8fcfb69720c6cd792a539428f7,f746db6911f5e454d10a964ae9339ff201de886d3f19a286abf472b93ccf931c,6a6fbfee023a867f22e1e8882bdef20d9cd7bba72179f8771e877049fa018434,4d8e451686115e7dfccf1e6a1af11c02994aa41d38dd25c07f419fe7989d993f,2a34980e764f951458c34620eeb0fbd43ddda54ef989130080cf043c1587acc1
"0","57","0","0","1","0","1","0","0","10010001","0","0","10010484"
"0","59","0","10010674","2","0","1","0","0","10010099","1","0","10010100"
"0","58","0","10010099","11","0","1","0","0","10010100","10001","0","10010101"
"0","57","0","10010100","12","0","1","0","0","10010101","0","0","10010102"
"0","56","0","10010101","2","0","1","0","0","10010102","1","0","10010103"
"0","55","0","10010102","2","0","1","0","0","10010103","2","0","10010104"
"0","54","0","10010103","4","0","1","0","0","10010104","0","0","10010105"
"0","53","0","10010104","3","0","1","0","0","10010105","1","0","10010106"
"0","52","0","10010105","12","0","1","0","0","10010106","0","0","10010107"
"0","51","0","10010106","5","0","1","0","0","10010107","0","0","10010559"
"0","48","0","10010560","2","0","1","0","0","10010110","2","0","10010111"
"0","47","0","10010110","6","0","1","0","0","10010111","0","0","10010561"
"0","45","0","10010561","2","0","1","0","0","10010113","3","0","10010114"
"0","44","0","10010113","11","0","1","0","0","10010114","10001","0","10010562"
"0","42","0","10010562","4","0","1","0","0","10010116","0","0","10010117"
"0","41","0","10010116","6","0","1","0","0","10010117","0","0","10010118"
"0","40","0","10010117","3","0","1","0","0","10010118","3","0","10010563"
"0","49","0","10010559","11","0","1","0","0","10010119","10001","0","10010120"
"0","48","0","10010119","4","0","1","0","0","10010120","0","0","10010121"
"0","47","0","10010120","2","0","1","0","0","10010121","3","0","10010565"
"0","45","0","10010565","2","0","1","0","0","10010123","2","0","10010566"
"0","43","0","10010566","7","0","1","0","0","10010125","10003","0","10010126"
"0","42","0","10010125","4","0","1","0","0","10010126","0","0","10010127"
