005244cf7a98f4739c0d6568c862dea794977c4ca99a3e255a78c29e7a033e04,b272d366dd1b662bdf061405305e7b7b4a1a6c631f3ebc4fdcb8138801b5e6d2,a58ed72664f3d9123700b084abcdc7f9d3b4363e1e15c4c6ca6860fea6c0be1d,7d2317d33e1790b29026b06f8a217ee757d2601d58801754c174c63479138521,b8c6d3a179cadad22ddcdad4ca04db113dd368e6295668a82d7c1d091b5c4e9d,ade4cbb5ae0b83c8113f31dd05caa326df0fa26ada6b10e975a5ebdee346a32c,be8457c8298a66eff9b702e027d4713e38c3dd86f35ebff28804966306cfd724,41d3b73a99cfca3efbd306b6df51136268e83afa1c9cb0faa0f1faccbd613155,9cc2b001bcf0a5e1f2ff9f1e59acaf7df7b2a4ea40f94c72560ed5244333335c,7b8744fd6aeb8f6c0c580dbc89c8a8c958c9312cb18b57470431f9df2ed25a85,3987a025c3cdc4e99472acf9c8e9a5d8a1c04c12a1c52cd25c4612a537a7be0e,96e1ab5bb6ec7579fc162f5b5a839d50eee6cc1b480143965c73606c0d2b6e5e
"1","0","0.05","23","0","0.025","0","0","27","0","31","288"
"2","0","0.05","22","0","0.025","0","0","26","0","30","279"
"3","0","0.05","21","0","0.025","0","0","25","0","29","270"
"4","0","0.05","20","0","0.025","0","0","24","0","28","261"
"5","0","0.05","19","0","0.025","0","0","23","0","27","252"
"6","0","0.05","18","0","0.025","0","0","22","0","26","243"
"7","0","0.05","17","0","0.025","0","0","21","0","25","234"
"8","0","0.05","16","0","0.025","0","0","20","0","24","225"
"9","0","0.05","15","0","0.025","0","0","19","0","23","216"
"10","0","0.05","14","0","0.025","0","0","18","0","22","207"
"11","0","0.05","13","0","0.025","0","0","17","0","21","198"
"12","0","0.05","12","0","0.025","0","0","16","0","20","189"
"13","0","0.05","11","0","0.025","0","0","15","0","19","180"
"14","0","0.05","10","0","0.025","0","0","14","0","18","171"
"15","0","0.05","9","0","0.025","0","0","13","0","17","161"
"16","0","0.05","8","0","0.025","0","0","12","0","16","152"
"17","0","0.05","7","0","0.025","0","0","11","0","15","143"
"18","0","0.05","6","0","0.025","0","0","10","0","14","134"
"19","0","0.05","5","0","0.025","0","0","9","0","13","125"
"20","0","0.05","4","0","0.025","0","0","8","0","12","116"
"21","0","0.05","3","0","0.025","0","0","7","0","11","107"
"22","0","0.05","2","0","0.025","0","0","6","0","10","101"
"23","0","0","0","0","0","0","0","0","0","0","1"
