4d034cd9ba8ecfb6c4ce497094374927800ce1867bc457686a6e556354f16cf3,cc04ca0ef05663ab90d2475324a4645c2ac7aeded869ebe3f518b5f967d9963d,2705dc14f727915fce84e681db597133672cd92b6b5af85a43e2e5457fc1c820,db34e75101dc524f37b573b4710682e0d9880d61bd1b63a2287acc3c25f56d42,1c6f29dd4bd87fada2abb5c5bda2d877954c62948e4153184a0d0515fa685990,a111650db159bc3ee22fa3da49bbd26ee6a8ccbd1983e8c58d120352b65ccbe5,7d17f91054e4fe8d2fa77ec6df3ea04166131ceb1dc6ba14991c2e1ce0b8b418,8950725e90016571f7f6a1529272e74eb2787787b1ab741199457651142ae15d,17d359f1b3e4726bae580bf146e03d02600ea9b402cb82f01284921289ba97ff,cdf4b0f71c6f7cc29f444f9fc519f30f94cb06f3f4b273b079a61ba2ae6ff037,3a26bb031f382ea686b2bd0aff757925cb687e6d0f899fe38a843f2e163644b8
"-280","110","110311","5152061","idle_normal","1.55","1","382","1","1","61001"
"-210","106","131911","5152061","idle_normal","1.55","0","145","1","1","61002"
"-225","107","102311","5152061","joy_idle_normal","1.55","0","-50","1","1","61003"
"-240","108","102111","5152061","wish_idle","1.55","0","-245","1","1","61004"
"-255","109","107711","5152061","idle_normal","1.55","0","-440","1","1","61005"
"-105","103","122811","5152061","doya_idle","1.45","0","40","1","1","61006"
"-120","104","122911","5152061","idle_normal","1.45","0","-160","1","1","61007"
"-135","105","122711","5152061","idle_normal","1.45","0","-355","1","1","61008"
"","","210","5152061","","","","","13","110311","61009"
"","","206","5152061","","","","","13","131911","61010"
"","","209","5152061","","","","","13","107711","61011"
"","","205","5152061","","","","","13","122711","61012"
"","","203","5152061","","","","","13","122811","61013"
"","","204","5152061","","","","","13","122911","61014"
"","","208","5152061","","","","","13","102111","61015"
"","","207","5152061","","","","","13","102311","61016"
"160","210","2","5152061","empty","0.75","0","-110","5","2","61017"
"-45","210","3","5152061","empty","1","0","352","5","3","61018"
"1","0","1","5152061","","1","","0","31","1","61019"
"1","0","2","5152061","","0","","0","31","2","61020"
"1","0","3","5152061","","1","","0","31","3","61021"
"1","0","11","5152061","","0","","0","31","11","61022"
"","","0","5152061","","","","","91","0","61023"
"","","telop_1","5152061","","","","","37","3","61024"
"","0","0","5152061","","","","","102","0","61025"
"","","0","5152061","","","","","93","1","61026"
"1","0","callout_in","5152061","","0.2","0","callout_loop","3","110311","61027"
"","","0","5152061","","","","","93","0.1","61028"
"","0","vo_rag_6001","5152061","","","","0","21","vo_rag","61029"
"","0","1001_in","5152061","","0","","","3","3","61030"
"","","1","5152061","","","","","93","1.9","61031"
"","0","1001_mid","5152061","","0","","","3","3","61032"
"","","","5152061","","","","","92","","61033"
"","0","1001_out","5152061","","0","","","3","3","61034"
"","","0","5152061","","","","","93","0.2","61035"
"","1","doya_idle_joy1R","5152061","","0.3","","","3","110311","61036"
"1","0","gutsB_in_joy","5152061","","0.2","0","gutsB_talk_joy","3","102311","61037"
"","1","wish_talk","5152061","","0.2","","","3","102111","61038"
"1","0","hello_2","5152061","","0.2","0","idle_normal_joy","3","131911","61039"
"","1","sad_talk_joy","5152061","","0.2","","","3","107711","61040"
"1","0","handsup_in","5152061","","0.2","0","handsup_loop","3","122811","61041"
"","1","leanforward_joy","5152061","","0.2","","","3","122911","61042"
"","1","talk_normal","5152061","","0.2","","","3","122711","61043"
"","0","vo_rag_6002","5152061","","","","0","21","vo_rag","61044"
"0","142","-110","5152061","","","","0","2","3","61045"
"","0","1002_in","5152061","","0","","","3","3","61046"
"","","1","5152061","","","","","93","1.9","61047"
"","0","1002_mid","5152061","","0","","","3","3","61048"
"","","","5152061","","","","","92","","61049"
"","0","1002_out","5152061","","0","","","3","3","61050"
"","1","gutsB_idle","5152061","","0.2","","","3","102311","61051"
"","1","wish_idle","5152061","","0.2","","","3","102111","61052"
"","1","idle_normal","5152061","","0.2","","","3","131911","61053"
"","1","sad_idle_normal","5152061","","0.2","","","3","107711","61054"
"","1","cool_idle","5152061","","0.2","","","3","122811","61055"
"","1","idle_normal_joy1R","5152061","","0.2","","","3","122911","61056"
"","1","wish_idle","5152061","","0.2","","","3","122711","61057"
"1","0","gutsB_in","5152061","","0.2","0","gutsB_talk","3","110311","61058"
"","0","vo_rag_6003","5152061","","","","0","21","vo_rag","61059"
"1","10","おっきいお友達も元気でとてもいいわ！\nさっそく体操はじめましょう！","5152061","0","0","15","1","11","110311","61060"
"","0","","5152061","","","","0","91","0","61061"
"","","bgm_MC175B","5152061","","","","","25","bgm_MC175B","61062"
"","","1","5152061","","","","","32","2","61063"
"1","0","kids_gungun_in","5152061","","0.2","0","kids_gungun_loop","3","110311","61064"
