6af7eef109a0eec1cf4ec3dd84d47b055f3540795397d7552334f3523c717f4b,6fa52ccdd5e2225626dc62981243ba5d4dea9506deb8fddbc16758daa82d40b2,5d92f45872b44f32e7ddf487ce341f2e0e5be401587bdce264cc8f46ccf11082
"1","1","101"
"1","2","103"
"1","3","105"
"2","4","101"
"2","5","102"
"2","6","103"
"2","7","105"
"3","8","101"
"3","9","102"
"3","10","103"
"4","11","101"
"4","12","103"
"4","13","104"
"4","14","105"
"5","15","103"
"5","16","104"
"5","17","105"
"6","18","102"
"6","19","104"
"6","20","106"
"7","21","101"
"7","22","102"
"7","23","106"
"8","24","102"
"8","25","103"
"8","26","106"
"9","27","103"
"9","28","104"
"9","29","105"
"10","30","101"
"10","31","103"
"10","32","105"
"11","33","107"
"11","34","108"
