580a08648a2f0404e8c07c7ddb8eaf87f4b38e571122190fa36574be7c9bc6a3,889c07305d7ba390d2615ea71ff274f3a02af8bb4c9e8e3737abcb5de8faf52d,4bae48e5ea4d02477832062661d0b4fbe5fb4e97983594c506b91cdb7ae804d8,c1fb8ddbecd5564493227242e06fd1ad7bcc3d3bc618f23db9e7ac9760dad9b5
"poison_damage_up","毒/猛毒ダメージアップ","バトル中、「毒」「猛毒」のダメージが大幅にアップする。","1"
"burn_damage_up","火傷ダメージアップ","バトル中、「火傷」のダメージが大幅にアップする。","2"
"curse_damage_up","呪い/呪詛ダメージアップ","バトル中、「呪い」「呪詛」のダメージが大幅にアップする。","3"
"paralysis_time_extension","麻痺効果時間増加","バトル中、「麻痺」の効果時間が増加する。","4"
"frozen_time_extension","凍結効果時間増加","バトル中、「凍結」の効果時間が増加する。","5"
"bind_time_extension","束縛効果時間増加","バトル中、「束縛」の効果時間が増加する。","6"
"stun_time_extension","スタン効果時間増加","バトル中、「スタン」の効果時間が増加する。","7"
"poison_time_extension","毒/猛毒効果時間増加","バトル中、「毒」「猛毒」の効果時間が増加する。","8"
"burn_time_extension","火傷効果時間増加","バトル中、「火傷」の効果時間が増加する。","9"
"curse_time_extension","呪い/呪詛効果時間増加","バトル中、「呪い」「呪詛」の効果時間が増加する。","10"
"temptation_time_extension","誘惑効果時間増加","バトル中、「誘惑」の効果時間が増加する。","11"
"confusion_time_extension","混乱効果時間増加","バトル中、「混乱」の効果時間が増加する。","12"
"attack_up","物理攻撃力アップ","バトル中、物理攻撃力が大幅にアップする。","13"
"magic_str_up","魔法攻撃力アップ","バトル中、魔法攻撃力が大幅にアップする。","14"
"defense_up","物理防御力アップ","バトル中、物理防御力が大幅にアップする。","15"
"magic_def_up","魔法防御力アップ","バトル中、魔法防御力が大幅にアップする。","16"
"physical_critical_up","物理クリティカルアップ","バトル中、物理クリティカルが大幅にアップする。","17"
"magic_critical_up","魔法クリティカルアップ","バトル中、魔法クリティカルが大幅にアップする。","18"
"energy_recovery_rate_up","ＴＰ上昇アップ","バトル中、ＴＰ上昇が大幅にアップする。","19"
"energy_recovery","バトル開始時ＴＰ特大回復","バトル開始時、ＴＰが特大回復する。","20"
"paralysis_hit_absolute","麻痺確定付与","バトル中、「麻痺」を必ず付与できる状態になる。","22"
"frozen_hit_absolute","凍結確定付与","バトル中、「凍結」を必ず付与できる状態になる。","23"
"bind_hit_absolute","束縛確定付与","バトル中、「束縛」を必ず付与できる状態になる。","24"
"stun_hit_absolute","スタン確定付与","バトル中、「スタン」を必ず付与できる状態になる。","25"
"poison_hit_absolute","毒/猛毒確定付与","バトル中、「毒」「猛毒」を必ず付与できる状態になる。","26"
"burn_hit_absolute","火傷確定付与","バトル中、「火傷」を必ず付与できる状態になる。","27"
"curse_hit_absolute","呪い/呪詛確定付与","バトル中、「呪い」「呪詛」を必ず付与できる状態になる。","28"
"temptation_hit_absolute","誘惑確定付与","バトル中、「誘惑」を必ず付与できる状態になる。","29"
"confusion_hit_absolute","混乱確定付与","バトル中、「混乱」を必ず付与できる状態になる。","30"
