ce4110c40ec992ea903699720fbb3f68ff6ace53330861cb0c814cb2e6582c16,91fb296a88c0608e359faba5bf1ccc30bf094c081dc902df6902ab340840a834,6ee3e14db3608785aeba8b0da076995f857b3965997462b0a04689569c8d401f,7d442e4db555a0b381386684215e0abb249ec836936265586305cc04083e49d7,8e2c7cd3f23c1170ef44d6e272cd889cc45dd022a5e0f91d5d32c438bdb8dad5,603e049994f82fdc23af56cb1d8a3efcd40c7a43d65f31771782378299e7515e,295415ac7c9ed4d1875b2c6c8eb9cda697b1a48b13bdb5119be6f28d2da9354a,f24fe00f6831e2926cf7fe364ac428e964fc46b9344c766422de22470aa5aba1,6922eb6fee2dfb090a36804d5812de3938837694f819d2cc333191a601c4c8c2,d6e40e089401581e2e9a046dc8a26f3122b2c128e970f0bb3add3d77eaad4ab6
"1","ライラエル","1001","0","1","10001","126501","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"2","モニカ","1002","0","2","10001","105301","最大1000マイルを入手する","",""
"3","クローチェ","1003","0","1","1","126401","料理を{0}つ入手する","",""
"4","マツリ","1004","0","3","1","100501","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"4","ナナカ","1005","0","2","2","101301","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"5","マコト","1006","0","2","4","104301","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"5","エリコ","1007","0","3","3","102701","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"6","アンナ","1008","0","1","7","100901","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"1","ミツキ","1009","0","1","10001","105101","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"2","イオ","1010","0","2","10001","101801","最大1000マイルを入手する","",""
"8","ネフィ＝ネラ","1011","0","2","0","129701","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる",""
"4","スズナ","1012","0","3","1","101601","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"4","ルカ","1013","0","2","2","105601","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"5","ミミ","1014","0","3","3","102001","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"6","アネモネ","1015","0","1","7","129601","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"10","ミソギ","1016","1","2","1","100401","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる",""
"13","リンド","1017","1","3","2","127701","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める",""
"10","ヴルム","1018","1","2","1","127801","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる",""
"1","ミフユ","1019","0","1","10001","104801","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"4","ジュン","1020","0","2","2","104701","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"6","ミサキ","1021","0","1","7","105001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"2","アキノ","1022","0","1","10002","103201","最大2000マイルを入手する","",""
"12","クルル","1023","0","1","1","130901","福引券を{0}枚入手する","",""
"3","スズメ","1024","0","1","1","102501","料理を{0}つ入手する","",""
"8","ユキ","1025","0","2","0","100801","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる",""
"5","ネア","1026","0","2","4","123301","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"1","タマキ","1027","0","1","10001","104601","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"4","ランファ","1028","0","2","2","118101","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"6","ユカリ","1029","0","1","7","103401","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"2","クレジッタ","1030","0","1","10002","118001","最大2000マイルを入手する","",""
"12","サレン","1031","0","1","1","102801","福引券を{0}枚入手する","",""
"3","ユイ","1032","0","1","1","100201","料理を{0}つ入手する","",""
"13","ハツネ","1033","1","3","1","101201","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める",""
"4","ミソラ","1034","0","3","1","118201","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"6","ムイミ","1035","0","1","7","106101","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"5","シノブ","1036","0","2","4","103101","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"1","マヒル","1037","0","1","10001","103301","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"2","キョウカ","1038","0","1","10002","103601","最大2000マイルを入手する","",""
"12","グレイス","1039","0","1","1","133001","福引券を{0}枚入手する","",""
"3","ヴァイオレット","1040","0","1","1","133101","料理を{0}つ入手する","",""
"8","ラビリスタ","1041","0","2","0","106801","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる",""
"4","クリスティーナ","1042","0","3","1","107101","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する"
"6","ネネカ","1043","0","1","7","107001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる",""
"5","カヤ","1044","0","2","4","106501","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる",""
"1","ユニ","1045","0","1","10001","111001","最大50％割引確定のショップを開く（1品100％割引あり）","",""
"2","カノン","1046","0","1","10002","134901","最大2000マイルを入手する","",""
"12","ツムギ","1047","0","1","1","105401","福引券を{0}枚入手する","",""
"3","ホウオウ","1048","0","1","1","134701","料理を{0}つ入手する","",""
