1b2259428ea35f005193b109df0eb5f926f5176b9fe53d6103bbb850137d26ea,e6c5cc380e4e7c70adfedf86f56beecd82d40bc2cb0b7c1ab430c5d06a8b439c,7f51e93c9840e757637ff1b5816884b2b581850e360368ae21bf36eef2e6c308,29f9286c51d3ee8181b3c9a2cf57aab0d8a27005bfc01be7097b945e8bff2592,7d8b88de8317cd1dc6a2716dfc3e813ad5704fde9ae48646c3886216d534dd2e,b7b10509a7ee7e13d5e5681c18ca166f3a0df45a8a92fc5c36ebf515e1a4d6ac
"15","1","1","99001001","1001","11001001"
"8","2","10","99001001","0","91002"
"15","3","1","99001002","1001","11001002"
"8","4","10","99001002","0","91002"
"15","5","1","99001003","1002","11001003"
"8","6","20","99001003","0","91002"
"15","7","1","99001004","1003","11001004"
"8","8","30","99001004","0","91002"
"15","9","1","99001005","1001","11001005"
"8","10","10","99001005","0","91002"
"15","11","1","99001006","1001","11001006"
"8","12","10","99001006","0","91002"
"15","13","1","99001007","1002","11001007"
"8","14","20","99001007","0","91002"
"15","15","1","99001008","1003","11001008"
"8","16","30","99001008","0","91002"
"15","17","1","99001009","1001","11001009"
"8","18","10","99001009","0","91002"
"15","19","1","99001010","1001","11001010"
"8","20","10","99001010","0","91002"
"15","21","1","99001011","1002","11001011"
"8","22","20","99001011","0","91002"
"15","23","1","99001012","1003","11001012"
"8","24","30","99001012","0","91002"
"15","33","1","99001017","1001","11001017"
"8","34","30","99001017","0","91002"
"15","35","1","99001018","1001","11001018"
"8","36","30","99001018","0","91002"
"15","37","1","99001019","1002","11001019"
"8","38","30","99001019","0","91002"
"15","39","1","99001020","1003","11001020"
"8","40","30","99001020","0","91002"
"15","41","0","99001021","1001","11001021"
"15","42","0","99001022","1002","11001022"
"15","43","1","99001023","1001","11001023"
"8","44","30","99001023","0","91002"
"15","45","1","99001024","1001","11001024"
"8","46","30","99001024","0","91002"
"15","47","1","99001025","1002","11001025"
"8","48","30","99001025","0","91002"
"15","49","1","99001026","1003","11001026"
"8","50","30","99001026","0","91002"
"15","51","1","99001027","1001","11001027"
"8","52","30","99001027","0","91002"
"15","53","1","99001028","1001","11001028"
"8","54","30","99001028","0","91002"
"15","55","1","99001029","1002","11001029"
"8","56","30","99001029","0","91002"
"15","57","1","99001030","1003","11001030"
"8","58","30","99001030","0","91002"
"15","59","1","99001031","1001","11001031"
"8","60","30","99001031","0","91002"
"15","61","1","99001032","1001","11001032"
"8","62","30","99001032","0","91002"
"15","63","1","99001033","1002","11001033"
"8","64","30","99001033","0","91002"
"15","65","1","99001034","1003","11001034"
"8","66","30","99001034","0","91002"
"15","75","0","99001039","1001","11001039"
"15","76","0","99001040","1002","11001040"
"15","77","0","99001041","1003","11001041"
"15","78","1","99001042","1001","11001042"
"8","79","30","99001042","0","91002"
"15","80","1","99001043","1001","11001043"
"8","81","30","99001043","0","91002"
"15","82","1","99001044","1002","11001044"
"8","83","30","99001044","0","91002"
"15","84","1","99001045","1003","11001045"
"8","85","30","99001045","0","91002"
"15","86","1","99001046","1001","11001046"
"15","87","1","99001046","1001","11001050"
"8","88","30","99001046","0","91002"
"15","89","1","99001047","1001","11001047"
"8","90","30","99001047","0","91002"
"15","91","1","99001048","1002","11001048"
"8","92","30","99001048","0","91002"
"15","93","1","99001049","1003","11001049"
"8","94","30","99001049","0","91002"
"15","95","1","99001051","1001","11001051"
"8","96","30","99001051","0","91002"
"15","97","1","99001052","1001","11001052"
"8","98","30","99001052","0","91002"
"15","99","1","99001053","1002","11001053"
"8","100","30","99001053","0","91002"
"15","101","1","99001054","1003","11001054"
"8","102","30","99001054","0","91002"
"15","103","1","99001055","1001","11001055"
"8","104","30","99001055","0","91002"
"15","105","1","99001056","1001","11001056"
"8","106","30","99001056","0","91002"
"15","107","1","99001057","1002","11001057"
"8","108","30","99001057","0","91002"
"15","109","1","99001058","1003","11001058"
"8","110","30","99001058","0","91002"
"15","111","1","99001059","1001","11001059"
"8","112","30","99001059","0","91002"
"15","113","1","99001060","1001","11001060"
"8","114","30","99001060","0","91002"
"15","115","1","99001061","1002","11001061"
"8","116","30","99001061","0","91002"
"15","117","1","99001062","1003","11001062"
"8","118","30","99001062","0","91002"
"15","119","1","99001063","1001","11001063"
"8","120","30","99001063","0","91002"
"15","121","1","99001064","1001","11001064"
"8","122","30","99001064","0","91002"
"15","123","1","99001065","1002","11001065"
"8","124","30","99001065","0","91002"
"15","125","1","99001066","1003","11001066"
"8","126","30","99001066","0","91002"
"15","127","1","99001067","1001","11001067"
"8","128","30","99001067","0","91002"
"15","129","1","99001068","1001","11001068"
"8","130","30","99001068","0","91002"
"15","131","1","99001069","1002","11001069"
"8","132","30","99001069","0","91002"
"15","133","1","99001070","1003","11001070"
"8","134","30","99001070","0","91002"
"15","135","0","99001071","1001","11001071"
"15","136","0","99001072","1002","11001072"
"15","137","0","99001073","1003","11001073"
"15","138","1","99001074","1001","11001074"
"8","139","30","99001074","0","91002"
"15","140","1","99001075","1001","11001075"
"8","141","30","99001075","0","91002"
"15","142","1","99001076","1002","11001076"
"8","143","30","99001076","0","91002"
"15","144","1","99001077","1003","11001077"
"8","145","30","99001077","0","91002"
"15","146","1","99001078","1001","11001078"
"8","147","30","99001078","0","91002"
"15","148","1","99001079","1001","11001079"
"8","149","30","99001079","0","91002"
"15","150","1","99001080","1002","11001080"
"8","151","30","99001080","0","91002"
"15","152","1","99001081","1003","11001081"
"8","153","30","99001081","0","91002"
"15","154","1","99001082","1001","11001082"
"8","155","30","99001082","0","91002"
"15","156","1","99001083","1001","11001083"
"8","157","30","99001083","0","91002"
"15","158","1","99001084","1002","11001084"
"8","159","30","99001084","0","91002"
"15","160","1","99001085","1003","11001085"
"8","161","30","99001085","0","91002"
"15","162","0","99001086","1001","11001086"
"15","163","0","99001087","1002","11001087"
"15","164","0","99001088","1002","11001088"
"15","165","0","99001089","1002","11001089"
"15","166","0","99001090","1003","11001090"
"15","167","1","99001091","1001","11001091"
"8","168","30","99001091","0","91002"
"15","169","1","99001092","1001","11001092"
"8","170","30","99001092","0","91002"
"15","171","1","99001093","1002","11001093"
"8","172","30","99001093","0","91002"
"15","173","1","99001094","1003","11001094"
"8","174","30","99001094","0","91002"
"15","175","1","99001095","1001","11001095"
"8","176","30","99001095","0","91002"
"15","177","1","99001096","1001","11001096"
"8","178","30","99001096","0","91002"
"15","179","1","99001097","1002","11001097"
"8","180","30","99001097","0","91002"
"15","181","1","99001098","1003","11001098"
"8","182","30","99001098","0","91002"
"15","183","1","99001099","1001","11001099"
"8","184","30","99001099","0","91002"
"15","185","1","99001100","1001","11001100"
"8","186","30","99001100","0","91002"
"15","187","1","99001101","1002","11001101"
"8","188","30","99001101","0","91002"
"15","189","1","99001102","1003","11001102"
"8","190","30","99001102","0","91002"
"15","191","1","99001103","1001","11001103"
"8","192","30","99001103","0","91002"
"15","193","1","99001104","1001","11001104"
"8","194","30","99001104","0","91002"
"15","195","1","99001105","1002","11001105"
"8","196","30","99001105","0","91002"
"15","197","1","99001106","1003","11001106"
"8","198","30","99001106","0","91002"
"15","199","1","99001107","1001","11001107"
"8","200","30","99001107","0","91002"
"15","201","1","99001108","1001","11001108"
"8","202","30","99001108","0","91002"
"15","203","1","99001109","1002","11001109"
"8","204","30","99001109","0","91002"
"15","205","1","99001110","1003","11001110"
"8","206","30","99001110","0","91002"
"15","207","1","99001111","1001","11001111"
"8","208","30","99001111","0","91002"
"15","209","1","99001112","1001","11001112"
"8","210","30","99001112","0","91002"
"15","211","1","99001113","1002","11001113"
"8","212","30","99001113","0","91002"
"15","213","1","99001114","1003","11001114"
"8","214","30","99001114","0","91002"
"15","215","1","99001115","1001","11001115"
"8","216","30","99001115","0","91002"
"15","217","1","99001116","1001","11001116"
"8","218","30","99001116","0","91002"
"15","219","1","99001117","1002","11001117"
"8","220","30","99001117","0","91002"
"15","221","1","99001118","1003","11001118"
"8","222","30","99001118","0","91002"
"15","223","1","99001119","1001","11001119"
"8","224","30","99001119","0","91002"
"15","225","1","99001120","1001","11001120"
"8","226","30","99001120","0","91002"
"15","227","1","99001121","1002","11001121"
"8","228","30","99001121","0","91002"
"15","229","1","99001122","1003","11001122"
"8","230","30","99001122","0","91002"
"15","231","1","99001123","1001","11001123"
"8","232","30","99001123","0","91002"
"15","233","1","99001124","1001","11001124"
"8","234","30","99001124","0","91002"
"15","235","1","99001125","1002","11001125"
"8","236","30","99001125","0","91002"
"15","237","1","99001126","1003","11001126"
"8","238","30","99001126","0","91002"
"15","239","1","99001127","1001","11001127"
"8","240","30","99001127","0","91002"
"15","241","1","99001128","1001","11001128"
"8","242","30","99001128","0","91002"
"15","243","1","99001129","1002","11001129"
"8","244","30","99001129","0","91002"
"15","245","1","99001130","1003","11001130"
"8","246","30","99001130","0","91002"
"15","247","1","99001131","1003","11001131"
"15","248","1","99001132","1001","11001132"
"8","249","30","99001132","0","91002"
"15","250","1","99001133","1001","11001133"
"8","251","30","99001133","0","91002"
"15","252","1","99001134","1002","11001134"
"8","253","30","99001134","0","91002"
"15","254","1","99001135","1003","11001135"
"8","255","30","99001135","0","91002"
"15","256","1","99001136","1001","11001136"
"8","257","30","99001136","0","91002"
"15","258","1","99001137","1001","11001137"
"8","259","30","99001137","0","91002"
"15","260","1","99001138","1002","11001138"
"8","261","30","99001138","0","91002"
"15","262","1","99001139","1003","11001139"
"8","263","30","99001139","0","91002"
"15","264","1","99001140","1003","11001140"
"15","265","1","99001142","1001","11001142"
"8","266","30","99001142","0","91002"
"15","267","1","99001143","1001","11001143"
"8","268","30","99001143","0","91002"
"15","269","1","99001144","1002","11001144"
"8","270","30","99001144","0","91002"
"15","271","1","99001145","1003","11001145"
"8","272","30","99001145","0","91002"
"15","273","0","99001146","1001","11001146"
"15","274","0","99001147","1002","11001147"
"15","275","1","99001148","1001","11001148"
"8","276","30","99001148","0","91002"
"15","277","1","99001149","1001","11001149"
"8","278","30","99001149","0","91002"
"15","279","1","99001150","1002","11001150"
"8","280","30","99001150","0","91002"
"15","281","1","99001151","1003","11001151"
"8","282","30","99001151","0","91002"
"15","283","1","99001152","1001","11001152"
"8","284","30","99001152","0","91002"
"15","285","1","99001153","1001","11001153"
"8","286","30","99001153","0","91002"
"15","287","1","99001154","1002","11001154"
"8","288","30","99001154","0","91002"
"15","289","1","99001155","1003","11001155"
"8","290","30","99001155","0","91002"
"15","291","1","99001156","1001","11001156"
"8","292","30","99001156","0","91002"
"15","293","1","99001157","1001","11001157"
"8","294","30","99001157","0","91002"
"15","295","1","99001158","1002","11001158"
"8","296","30","99001158","0","91002"
"15","297","1","99001159","1003","11001159"
"8","298","30","99001159","0","91002"
"15","299","1","99001160","1001","11001160"
"8","300","30","99001160","0","91002"
"15","301","1","99001161","1001","11001161"
"8","302","30","99001161","0","91002"
"15","303","1","99001162","1002","11001162"
"8","304","30","99001162","0","91002"
"15","305","1","99001163","1003","11001163"
"8","306","30","99001163","0","91002"
"15","307","1","99001164","1002","11001164"
"15","308","1","99001165","1003","11001165"
"15","309","1","99001166","1001","11001166"
"8","310","30","99001166","0","91002"
"15","311","1","99001167","1001","11001167"
"8","312","30","99001167","0","91002"
"15","313","1","99001168","1002","11001168"
"8","314","30","99001168","0","91002"
"15","315","1","99001169","1003","11001169"
"8","316","30","99001169","0","91002"
"15","317","1","99001170","1001","11001170"
"8","318","30","99001170","0","91002"
"15","319","1","99001171","1001","11001171"
"8","320","30","99001171","0","91002"
"15","321","1","99001172","1002","11001172"
"8","322","30","99001172","0","91002"
"15","323","1","99001173","1003","11001173"
"8","324","30","99001173","0","91002"
"15","325","1","99001174","1001","11001174"
"8","326","30","99001174","0","91002"
"15","327","1","99001175","1001","11001175"
"8","328","30","99001175","0","91002"
"15","329","1","99001176","1002","11001176"
"8","330","30","99001176","0","91002"
"15","331","1","99001177","1003","11001177"
"8","332","30","99001177","0","91002"
"15","333","1","99001178","1001","11001178"
"8","334","30","99001178","0","91002"
"15","335","1","99001179","1001","11001179"
"8","336","30","99001179","0","91002"
"15","337","1","99001180","1002","11001180"
"8","338","30","99001180","0","91002"
"15","339","1","99001181","1003","11001181"
"8","340","30","99001181","0","91002"
"15","341","1","99001182","1001","11001182"
"8","342","30","99001182","0","91002"
"15","343","1","99001183","1001","11001183"
"8","344","30","99001183","0","91002"
"15","345","1","99001184","1002","11001184"
"8","346","30","99001184","0","91002"
"15","347","1","99001185","1003","11001185"
"8","348","30","99001185","0","91002"
"15","349","1","99001186","1001","11001186"
"8","350","30","99001186","0","91002"
