5e60bd4adccd97215fe9a5dace68ce974d3282bea449e218a6e794690a8bcb1b,55f13ab864bf0e5c0d6a5f200dacf17cd4d838a0f11593031c38ccae361ee95c,e6fd6e3484f1e45229cc1358af715112b6d933f3dda19f7bfae9ffca2c55bda7,346e50bdc843788b04de3cdd3c7df77e16db5b367b4f0c859cdef3c580d21673
"20","1","20","2"
"30","1","30","3"
"50","2","80","3"
"80","3","160","3"
"60","1","60","4"
"100","2","160","4"
"180","3","340","4"
"360","4","700","4"
"500","5","1200","4"
"100","1","100","5"
"160","2","260","5"
"280","3","540","5"
"480","4","1020","5"
"780","5","1800","5"
"100","1","100","6"
"160","2","260","6"
"280","3","540","6"
"480","4","1020","6"
"780","5","1800","6"
"100","1","100","7"
"160","2","260","7"
"280","3","540","7"
"480","4","1020","7"
"780","5","1800","7"
"100","1","100","8"
"160","2","260","8"
"280","3","540","8"
"480","4","1020","8"
"780","5","1800","8"
"100","1","100","9"
"160","2","260","9"
"280","3","540","9"
"480","4","1020","9"
"780","5","1800","9"
"100","1","100","10"
"160","2","260","10"
"280","3","540","10"
"480","4","1020","10"
"780","5","1800","10"
