487935998cab930f777473556e1eaaae2bb96e66298dfdd61d4a2595b78ba429,6e2b394cf5667f07ea55fdb64deaf5fef8f6ac4b43b963a01658060700f3d64f,5821aa78b46dd38e4351e3b7ccf1606b5e38e4f86e2dd0e7d166637e1ae3624b,ad5682c5ffce0994c57e9a19f497698fb5f740d87aedc8a464c2be2d82a6dd33,70fdb8e5c870f44fdc18ca1dc88a9501a68bf82cbecd0338a4582756ff8db39a,c60bb1ce70910589857b69a72344b0e2cc8145f7589b7ae665f57622ce614549,eb35a44e214115159c3569a535153c71a83c2fcecaaa75c541be2aae50ad1ac1,829b5da55b37a2c5ccef294aabc15bb2ce1a062a03c9db79abf34e233b5eb0da
"104","200","3","1","4","5","2","111"
"14","2","3","1","4","5","2","211"
"103","2","3","1","4","5","2","311"
"102","2","3","1","4","5","2","411"
"104","200","3","1","4","5","2","511"
"1","250","3","1","4","5","2","611"
"101","3","3","1","4","5","2","711"
"100","3","3","1","4","5","2","811"
"104","200","3","1","4","5","2","911"
"1","250","3","1","4","5","2","1011"
"3","250","3","1","4","5","2","1111"
"5","250","3","1","4","5","2","1112"
"6","150","3","1","4","5","2","1211"
"7","150","3","1","4","5","2","1212"
"104","200","3","1","4","5","2","1311"
"103","2","3","1","4","5","2","1411"
"102","2","3","1","4","5","2","1511"
"1","250","3","1","4","5","2","1611"
"104","200","3","1","4","5","2","1711"
"2","500","3","1","4","5","2","1811"
"4","500","3","1","4","5","2","1812"
"101","3","3","1","4","5","2","1911"
"100","3","3","1","4","5","2","2011"
"104","200","3","1","4","5","2","2111"
"1","250","3","1","4","5","2","2211"
"100","3","3","1","4","5","2","2311"
"101","3","3","1","4","5","2","2411"
"104","200","3","1","4","5","2","2511"
"2","500","3","1","4","5","2","2611"
"4","500","3","1","4","5","2","2612"
"6","150","3","1","4","5","2","2711"
"7","150","3","1","4","5","2","2712"
"2","500","3","1","4","5","2","2811"
"4","500","3","1","4","5","2","2812"
"104","200","3","1","4","5","2","2911"
"3","250","3","1","4","5","2","3011"
"5","250","3","1","4","5","2","3012"
"100","3","3","1","4","5","2","3111"
"101","3","3","1","4","5","2","3211"
"104","200","3","1","4","5","2","3311"
"100","2","3","1","4","5","2","3411"
