89360c2528cdc32a7f81d5b4de6918d26597f583a0615e6aff5ea8cb77cbc0a9,9ba94ab4c78acc29df03df3ec942be5c148136d6830ad752a63017b41365ccbb,c673685e0d1af7af9b1eec3cf72179ebb41699373a34165c493a977adf4a2a31,e28e24bc20857e0a835b4b256a9b9147038f6643d3ffc950276fc1570b6d1fea,7c451143faec6f40eb011de66a8488221e5bfa7f3d8cb366b28ff1b7aa1f5483,836314d911e54f8ac0803c6b0eb06c9cfb9ba52bc1d28b06e5a0e87a7d01db45,2e2133ccdb4bb2881cf88c21162b8325596e6837029a1da0ee0f25c85fb47556
"1","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","107601","10004","71004025"
"2","BOSS討伐で解放！\n残り{0}体","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","108001","10005","71005025"
"3","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","108201","10007","71007031"
"4","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","108501","10009","71009031"
"5","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","108901","10010","71010031"
"6","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","109001","10011","71011031"
"7","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","109301","10013","71013031"
"8","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","109801","10017","71017031"
"9","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","110101","10019","71019031"
"10","ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","[3C404E]ボスNORMAL討伐で解放！","107601","20004","72004021"
