7caea36832b528fc925315a702931aa2aacd82924a37466c5d93fba43e977d30,d64e195c7c3f3dc6dc3303b84c0d590350956b27a3cbd306f081a3475c50e9bc,6f440b37639df37bb6f4d0ff21c2dcb9ee46fa6186d3a5e654d2c126832a2b35,2c1744a34a734cd8e9a7a03b35b0cae246d60c8b085276f22313d3b549763dff,a86311fc7e8d4d7d4a5349f642cad09fb98bd6dd55917e4778486fbe4ed2afc5,f01e643dd2ee30817e5b6584b6fb8a26fffdc055e02a4d26247f0969f4ec0dfa,d124cc11eaab21ff196192bde98f4391511763512fb6d4b6ee78d2453855e1d5,8be3cf55f3c949093e72d194ec5949759ac615e4f5f3ef3189c1f33ab15d7c01,3ee6c7b4d59fbc46172ac7efc00519ac745b38975d006ab4178e8f04ed4276bf,c897cbbc80e782d3ff41dacaab600071ec0ba579fb84fb440d70efc78e6f97c0,c78de076475eb364af31d09ebd1e917114bc02555326a01d4af3de415ab28374,432f27db48065dffccbe08a77ab849e71771456b899b5a5f74ce7c8c5dffc982
"全対象のキャラから1人選んで仲間にできる。","0","1","99999999","0","11000000","0","0","0","0","全対象のセレクトサイン","1"
"プリンセスフェスのキャラから1人選んで仲間にできる。","0","1","3600","0","11000999","0","0","999","0","プリンセスフェスのセレクトサイン","1"
"アタッカーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11001000","1","0","0","0","アタッカーロールのセレクトサイン","1"
"ブレイカーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11002000","2","0","0","0","ブレイカーロールのセレクトサイン","1"
"バッファーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11003000","3","0","0","0","バッファーロールのセレクトサイン","1"
"デバッファーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11004000","4","0","0","0","デバッファーロールのセレクトサイン","1"
"ブースターロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11005000","5","0","0","0","ブースターロールのセレクトサイン","1"
"ヒーラーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11006000","6","0","0","0","ヒーラーロールのセレクトサイン","1"
"タンクロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11007000","7","0","0","0","タンクロールのセレクトサイン","1"
"ジャマーロールのキャラから1人選んで仲間にできる。","0","1","2800","0","11008000","8","0","0","0","ジャマーロールのセレクトサイン","1"
"【美食殿】のキャラから3人選んで仲間にできる。","1","3","99999999","1","13000001","0","0","0","0","【美食殿】のセレクトサイン","1"
"【トゥインクルウィッシュ】のキャラから3人選んで仲間にできる。","1","3","99999999","2","13000002","0","0","0","0","【トゥインクルウィッシュ】のセレクトサイン","1"
"【ラビリンス】のキャラから3人選んで仲間にできる。","1","3","99999999","3","13000003","0","0","0","0","【ラビリンス】のセレクトサイン","1"
"【カルミナ】のキャラから3人選んで仲間にできる。","1","3","99999999","4","13000004","0","0","0","0","【カルミナ】のセレクトサイン","1"
"【悪魔偽王国軍（ディアボロス）】のキャラから3人選んで仲間にできる。","1","3","99999999","7","13000007","0","0","0","0","【悪魔偽王国軍（ディアボロス）】のセレクトサイン","1"
"【王宮騎士団（NIGHTMARE）】のキャラから3人選んで仲間にできる。","1","3","99999999","8","13000008","0","0","0","0","【王宮騎士団（NIGHTMARE）】のセレクトサイン","1"
"【サレンディア救護院】のキャラから3人選んで仲間にできる。","1","3","99999999","9","13000009","0","0","0","0","【サレンディア救護院】のセレクトサイン","1"
"【牧場（エリザベスパーク）】のキャラから3人選んで仲間にできる。","1","3","99999999","11","13000011","0","0","0","0","【牧場（エリザベスパーク）】のセレクトサイン","1"
"【メルクリウス財団】のキャラから3人選んで仲間にできる。","1","3","99999999","12","13000012","0","0","0","0","【メルクリウス財団】のセレクトサイン","1"
"【トワイライトキャラバン】のキャラから3人選んで仲間にできる。","1","3","99999999","13","13000013","0","0","0","0","【トワイライトキャラバン】のセレクトサイン","1"
"","0","1","99999999","0","21000000","0","0","0","0","バトル報酬ランダムサイン","2"
"全対象のキャラからランダムに1人仲間にできる。","0","1","99999999","0","31000000","0","0","0","0","全対象のランダムサイン","3"
