a882e6bd300e57888eea60567b403c7da361bc1ab33255a8514c19b8ecac8d5a,7ff7f402d3005a72bc95a0c025cca08902c155b79efed4c042351c16362191de,71fa878ccf13b403adae189defc0e5fc7e08aaf5513c0601971f01e231cb071c,edab95698e07c53d5cffd48fcd9072fe08b2ba6012c13b2cd49865ce16e05be8,e0c16c886c3d004cd2c0b2cc398cf73252207a5e05f4eb84c967b96467b09e56,f5645a93347374c3ea495b5e522078c1570c96bda42b6bd50f344b2fb84a0b37,8e988231d4c5aa4fbedc1917c29a464efc95de5f82b7c80c82f437af7b952175,665455c050f377bdcfe60a6942218f8e0415262204acdc273c0b136d5df28b18
"27","0","2019/02/15 23:00:00","3","1","2019/02/28 11:59:59","106101","0"
"28","0","2019/02/28 12:00:00","3","2","2019/03/19 14:59:59","101401","0"
"29","0","2019/03/19 15:00:00","1","3","2019/03/26 14:59:59","105501","0"
"29","0","2019/03/19 15:00:00","3","4","2019/03/26 14:59:59","106301","0"
"29","0","2019/03/19 15:00:00","2","5","2019/03/26 14:59:59","101501","0"
"30","0","2019/03/26 15:00:00","3","6","2019/03/31 11:59:59","103601","0"
"30","0","2019/03/26 15:00:00","3","7","2019/03/31 11:59:59","104901","0"
"30","0","2019/03/26 15:00:00","3","8","2019/03/31 11:59:59","104401","0"
"30","0","2019/03/26 15:00:00","2","9","2019/03/31 11:59:59","100701","0"
"30","0","2019/03/26 15:00:00","2","10","2019/03/31 11:59:59","104601","0"
"30","0","2019/03/26 15:00:00","2","11","2019/03/31 11:59:59","102701","0"
"30","0","2019/03/26 15:00:00","1","12","2019/03/31 11:59:59","100301","0"
"30","0","2019/03/26 15:00:00","1","13","2019/03/31 11:59:59","103401","0"
"30","0","2019/03/26 15:00:00","1","14","2019/03/31 11:59:59","100101","0"
"31","0","2019/03/31 12:00:00","3","15","2019/04/19 14:59:59","109201","0"
"32","0","2019/04/19 15:00:00","3","16","2019/04/30 11:59:59","109401","0"
"33","0","2019/04/30 12:00:00","3","17","2019/05/07 14:59:59","109501","0"
"33","0","2019/04/30 12:00:00","3","18","2019/05/07 14:59:59","107101","0"
"34","0","2019/05/07 15:00:00","3","19","2019/05/14 14:59:59","109501","0"
"35","0","2019/05/14 15:00:00","3","20","2019/05/17 14:59:59","103601","0"
"35","0","2019/05/14 15:00:00","2","21","2019/05/17 14:59:59","102001","0"
"35","0","2019/05/14 15:00:00","1","22","2019/05/17 14:59:59","100401","0"
"36","0","2019/05/17 15:00:00","3","23","2019/05/31 11:59:59","109601","0"
"37","0","2019/05/31 12:00:00","3","24","2019/06/15 11:59:59","109701","0"
"38","0","2019/06/15 12:00:00","3","25","2019/06/18 14:59:59","104401","0"
"38","0","2019/06/15 12:00:00","3","26","2019/06/18 14:59:59","101001","0"
"38","0","2019/06/15 12:00:00","2","27","2019/06/18 14:59:59","101701","0"
"39","0","2019/06/18 15:00:00","3","28","2019/06/30 11:59:59","109901","0"
"40","0","2019/06/30 12:00:00","3","29","2019/07/13 11:59:59","110001","0"
"41","0","2019/07/13 12:00:00","3","30","2019/07/18 14:59:59","107501","0"
"41","0","2019/07/13 12:00:00","3","31","2019/07/18 14:59:59","107801","0"
"42","0","2019/07/18 15:00:00","3","32","2019/07/31 11:59:59","110301","0"
"43","0","2019/07/31 12:00:00","3","33","2019/08/10 11:59:59","110401","0"
"44","0","2019/08/10 12:00:00","3","34","2019/08/15 14:59:59","107701","0"
"44","0","2019/08/10 12:00:00","3","35","2019/08/15 14:59:59","107901","0"
"45","0","2019/08/15 15:00:00","3","36","2019/08/26 11:59:59","110601","0"
"46","0","2019/08/26 12:00:00","3","37","2019/08/31 11:59:59","104401","0"
"46","0","2019/08/26 12:00:00","2","38","2019/08/31 11:59:59","100601","0"
"46","0","2019/08/26 12:00:00","2","39","2019/08/31 11:59:59","100701","0"
"46","0","2019/08/26 12:00:00","2","40","2019/08/31 11:59:59","103101","0"
"46","0","2019/08/26 12:00:00","1","41","2019/08/31 11:59:59","102201","0"
"47","0","2019/08/31 12:00:00","3","42","2019/09/03 20:59:59","107001","0"
"47","0","2019/08/31 12:00:00","3","43","2019/09/03 20:59:59","106101","0"
"47","0","2019/08/31 12:00:00","3","44","2019/09/03 20:59:59","107101","0"
"48","0","2019/09/03 21:00:00","3","45","2019/09/12 11:59:59","110701","0"
"49","0","2019/09/12 12:00:00","3","46","2019/09/16 14:59:59","105701","0"
"49","0","2019/09/12 12:00:00","3","47","2019/09/16 14:59:59","106301","0"
"50","0","2019/09/16 15:00:00","3","48","2019/09/29 11:59:59","110801","0"
"51","0","2019/09/29 12:00:00","3","49","2019/09/30 11:59:59","107001","0"
"51","0","2019/09/29 12:00:00","3","50","2019/09/30 11:59:59","106101","0"
"51","0","2019/09/29 12:00:00","3","51","2019/09/30 11:59:59","107101","0"
"52","1001","2019/09/30 12:00:00","3","52","2019/10/11 11:59:59","111101","0"
"53","0","2019/10/11 12:00:00","3","53","2019/10/16 14:59:59","108101","0"
"53","0","2019/10/11 12:00:00","3","54","2019/10/16 14:59:59","108301","0"
"54","1002","2019/10/16 15:00:00","3","55","2019/10/31 11:59:59","111301","0"
"55","1003","2019/10/31 12:00:00","3","56","2019/11/11 11:59:59","111401","0"
"56","0","2019/11/11 12:00:00","3","57","2019/11/15 14:59:59","105601","0"
"56","0","2019/11/11 12:00:00","2","58","2019/11/15 14:59:59","101301","0"
"56","0","2019/11/11 12:00:00","2","59","2019/11/15 14:59:59","102701","0"
"57","1004","2019/11/15 15:00:00","3","60","2019/11/30 11:59:59","106501","0"
"58","1005","2019/11/30 12:00:00","3","61","2019/12/11 11:59:59","111501","0"
"59","0","2019/12/11 12:00:00","3","62","2019/12/20 14:59:59","108401","0"
"59","0","2019/12/11 12:00:00","3","63","2019/12/20 14:59:59","108601","0"
"60","1006","2019/12/20 15:00:00","3","64","2019/12/31 11:59:59","111701","0"
"61","1007","2019/12/31 12:00:00","3","65","2020/01/03 18:59:59","112001","0"
"61","0","2019/12/31 12:00:00","3","66","2020/01/03 18:59:59","106101","0"
"61","0","2019/12/31 12:00:00","3","67","2020/01/03 18:59:59","107101","0"
"61","0","2019/12/31 12:00:00","3","68","2020/01/03 18:59:59","107001","0"
"62","1007","2020/01/03 19:00:00","3","69","2020/01/10 11:59:59","112001","0"
"63","0","2020/01/10 12:00:00","3","70","2020/01/16 14:59:59","108801","0"
"63","0","2020/01/10 12:00:00","3","71","2020/01/16 14:59:59","108701","0"
"64","1008","2020/01/16 15:00:00","3","72","2020/01/31 11:59:59","111901","0"
"65","1009","2020/01/31 12:00:00","3","73","2020/02/10 11:59:59","112201","0"
"66","0","2020/02/10 12:00:00","3","74","2020/02/15 14:59:59","109101","0"
"67","1010","2020/02/15 15:00:00","3","75","2020/02/25 11:59:59","180401","0"
"67","0","2020/02/15 15:00:00","3","76","2020/02/25 11:59:59","107001","0"
"67","0","2020/02/15 15:00:00","3","77","2020/02/25 11:59:59","106101","0"
"67","0","2020/02/15 15:00:00","3","78","2020/02/25 11:59:59","107101","0"
"68","0","2020/02/25 12:00:00","3","79","2020/02/29 11:59:59","110001","0"
"68","0","2020/02/25 12:00:00","3","80","2020/02/29 11:59:59","110301","0"
"69","1011","2020/02/29 12:00:00","3","81","2020/03/13 14:59:59","112401","0"
"70","1012","2020/03/13 15:00:00","3","82","2020/03/26 11:59:59","112501","0"
"71","0","2020/03/26 12:00:00","3","83","2020/03/31 11:59:59","110401","0"
"71","0","2020/03/26 12:00:00","3","84","2020/03/31 11:59:59","110601","0"
"72","1013","2020/03/31 12:00:00","3","85","2020/04/10 11:59:59","111001","0"
