9028c1b2caa70524059d55b11c2b2e4fe9286ec1d06d58b0062c59fa3c28f384,af4e74fd0eaed4003325e561d39143733f6eff0e28cff8329158e8b8741a421c,e19e0f9ad570e5a39cec26b630a8791a3803fa5ec3f759048fae4b93897c8c15,7496f71aedbf9b76ed7dda421e2c813d2d009b5fe9488857b70b3e64beec6ea0,b544b40b6778279eecec99fcdc923beb39c9b7f43c5c8d6485855ef4b4af11e3,3b54499d49ce1e6e0aa6747a99c421101a8668a3b50e9955c7bff4b24c5c3aad,176bf83882cf2c1ac075bb4b9e47c604179df24f00b25e0a03fe38bba7e19543,81447ce64e6a5844f62400d2126cf3137b977e84be1fa8f155e850e8a8aa225d,62aecffa6cf8fbf36e1136bdbcc617a6db09113f51226063f0e47076f825e89d,6cef5f8129116b6b7d0fe3e5187293c233601e3cdbf0a149d170c0a8428c4010,10cc2075ea7507200f6fa6efe80cdcf741775d5ac83c1ff47c9dfd908094c85e
"","","","","","","1082","イ","","",""
"","","","","","","1107","オ","","",""
"","","","","ツ","","1176","","","",""
"","","ホ","","","","1189","ー","ル","",""
"","","","","","","1192","ゥー","","",""
"","","","","","","1245","イ","","",""
"ゃさ","","","","","","1250","","ちそ","",""
"ア","ナイト","イ","トメア","ナ","ナイア","2013","ト","メ","イトメ","ナメア"
"ル","ランド","ソ","ンドル","ン","ランル","2014","ラ","","ラドソ","ドソル"
"う","そるの","","るのと","る","そるう","2015","と","","そのと","そのう"
"の","るなう","な","のとう","る","るなと","2016","と","う","なのと","るのう"
"","ひくう","","くうて","く","ひくて","2017","う","い","ひうて","ひてい"
"ん","ふゃ","","","ふ","ふゃ","2019","ゃ","し","しん","ふん"
"ぎ","むしわ","わ","ぎしゅ","ゅ","ぎゅわ","2020","し","む","むぎし","むゅわ"
"","","","S","","E","2031","","","",""
"","AE","","","","","2032","","","",""
"","","","","","A","2033","","","","R"
"","","","","","E","2034","","","","I"
"","","","","","UA","2036","","","","R"
"","Y","","","","E","2037","","","E","L"
"","I","","","","E","2038","","","V","L"
"","","","","","L","2040","","","","I"
"","","","","","","2041","","","","A"
"","","","Y","","","2042","","","",""
"","","","K","","","2043","","","","A"
"","","","","","","2045","","","","A"
"","","","Q","","","2046","","","","R"
"","","","","","A","2047","","","","R"
"","","","KQ","","","2048","","","","A"
"","","","","","B","2049","","","",""
"","T","","","","U","2050","","","","A"
"","P","","","","EI","2052","","","","C"
"","T","","","","I","2053","","","","A"
"","S","","","","","2054","","","",""
"","","","","","","2055","","","","R"
"","","","","","V","2056","","","",""
"","","","","","","2058","","","","WU"
"","","","R","","","2059","","","",""
"","","","R","","","2060","","","",""
"","","","","","","2062","","","","S"
"","S","","","","A","2063","","","S","E"
"","A","","","","","2064","","","","A"
"","S","","","","A","2065","","","",""
"","","","C","","","2066","","","",""
"","","","","","B","2067","","","",""
"","","","L","","I","2068","","","",""
"","","","C","","","2069","","","","E"
"","","","","","E","2070","","","D",""
"","I","","","","A","2071","","","N",""
"","A","","","","","2074","","","","C"
"","A","","","","","2077","","","","A"
"し","","","","ち","","2092","","","",""
"","ト","","フ","","ン","2130","","","ム","ァ"
"聞聴","","視","","か","","2200","聴言","わ","",""
"ビブ","","","","ー","","2201","","","",""
"ル","","","","","","2202","","","",""
"","","麦","","","","2216","飯","鯉","",""
"","","し","","","","2261","ゅ","う","",""
"","","","","ぅ","","2264","","","",""
"","","","","","","2266","ー","","",""
"き","","ひ","","ん","","2295","ふ","く","",""
"だ","","","","","","2313","","","",""
"","","","ル","","","3020","","","","ナ"
"","","フ","","","","3066","ェ","","",""
"","","く","","","","3068","","","",""
"","","","","","","3073","","が","",""
"生","","","","","","3084","","","",""
"ア","","","","","","3158","","","",""
"","","","","","","3165","","ひ","",""
"か","","","","","","3187","","","",""
"シス","","","","オ","","3191","","デ","",""
"さ","","","","ま","","3193","","","",""
"","","","ブ","","","3195","","","",""
"","","","","","","3222","","ス","",""
"ず","","","","","","3238","","","",""
"帰","","","","","","3271","","","",""
"","","","","","","3277","ク","","",""
"","","","","","","3318","","ア","",""
"し","","","","ち","","4029","","","",""
"","","","","X","","4049","","","",""
"た","","","","","","4052","","","",""
"さ","","","","","","4077","","","",""
"","","","","帯","","4154","","","",""
"","","","","","そ","4157","","","",""
"","","","","","い","4167","","","",""
"","","","二","","","4171","","","",""
"","倍","","","","","4194","","","","小"
"","約","","","","","4195","","","","大"
"","","高","","","","4196","","底","",""
"","","","半","","","4197","","","",""
"く","","","","","","4203","","","",""
"","","","","","","4220","","ウ","",""
"","","","","","","4222","ィ","","",""
"","","セ","","","","4247","","","",""
"","","","","","","5010","","ー","",""
"","","","","","","5011","","ワ","",""
"","ラモ","","","","","5030","","","テカ",""
"","オモ","","","","","5031","","","レカ",""
"","","","","","","5051","","ー","",""
"ら","","","","","","5066","お","か","",""
"","","","","","","5100","","ぶ","",""
"","じ","","み","","","5109","","","つ","つ"
"","タ","","カ","","ン","5140","","","ー","ウ"
"","","","","ロ","","5147","","","",""
"","","","","","","5160","","と","",""
"","戌酉子","","卯辰戌","","戌卯辰","5193","牛","虎","卯戌子","戌酉卯"
"","","","","ト","","6060","","","",""
"","","","","","","6065","","ほ","",""
"ィ","","","","","","6157","","","",""
"","","","","","","6188","","","ト",""
"","","イ","","","","6203","ン","ド","",""
"ジ","","","","ラ","","6216","","ク","",""
"","","","チ","","ウ","6227","","","","ョ"
