9c523b76657cb67e272fa119bfa9ffa90286d86f94ec59ae36ac9e3f57833601,ab436ea4acc7e0b83307b07d7440f6039328ab72f4428155199954f497992743,9658afd7062b50f9fc3cc38382477cf949ddd40a546cf5da3e49e61c946f90f2,9cd8d6986aa0c5e83f4a67fd6dcf322323cbf5fffce73742e18c732a3a3abdfd,c070b1993f7ae10bda63469db3e1905c00b46cff75aa1935d6e9729ae25a6b03,57c2957dd8a60a70a594f15f41af9eb2543fba54cebbf27bb497ec0644c728c2,9c1a32eed888365a3cc1409a85db0fe887dbae11ebd5e272d7843a1b6ccb8913,5f9eb20f3f4ec16da0dda1a74ed00d0c3d569f542acdba8204ab6e9d9a54cfea,233f4c4f278b9f7cec977e02ada91bac95c1d1dffd69969cf240f77e3437567c,10f92f15f261d427cfb74dc7769258475328a4e8c15a55106718088c6df5239b,ca4d898e7737e008b400853b5b65e1559ae5a8c64727fae8605fa03f221e14bb,61eca3c9e876933795178dbae33f746b08d22641b28867ccd5a480ff16d9d3e2,b4802cf83d7a4f344b54cf7e92af3221dbde18385b49c654ed5eea8f8068924a,2f290e6222879ea4332b926bf5a69e2409288edb0009e9344a8e4f9d1464fab6,821dfe929b25b833cdbd0ba131129e7e3e8e5855e745f090091da17bd2cdd6c5,fb08775ab81697a14e41e4ccc757ef320450fb3b1c2591fd353da3d9b440eac2,0c2101936472c346a8f0501dd6ed5f1ad61eb676b3b535975593a03ee392d810,49a48bc4d27d7f557e131b479b2581c19c8ecd343f4bd316420359f0bde1c64f,220df88890e665328b1737a0f370e775bcb086a35fa74786264867db04a4fcd0,b40dee3aec5821228c3aafb4e48790e335c8d6f18163f9ab7561cea976a3f7a8,2d064b8118655532f0f56dd9705c98ca636f88fef2f4e523266310959185d517,1ab94ee77b92fc8417a91297487a56e3339dd713132d7e18bf576d7670be0360,313196786a57667f456c5268c705c1a45c9ec79108c75b8f3ff5b4d8e8ce8b96,9e11065e26d3a74e501b2736a7abf1bb9eb920f2672b3e66a713c582e6dfd9b4,53cbbc3502293abe00619c4134fc1b89f55344a0f5b4f3115b17e8f94155c5bb,8e312600e339e68f3a76cc542cf7e5b4e48c1d2c40cbd644992c89636fac2b2c,d81054cd180b705011ed57559884913d6244234f1579bb026ea68b1d9a6573e4
"","1","129001","4","","","192501","4","3","","","0","2","","0","0","","1","2","3","106901","","","","","",""
"","2","129001","2","","","192501","4","2","","","","","","2","0","","0","","2","106901","","","","","",""
"","3","129001","4","","","192501","4","3","","","0","2","3","0","0","","1","1","4","106901","","0","2","","",""
"","4","129001","2","","","192501","4","1","","","","","","1","0","","0","","2","106901","","","","","",""
"","5","129001","2","","","192501","4","1","","","","","","1","0","","0","","2","106901","190901","","","","",""
"","6","129001","2","","","190901","4","1","","","","","","1","0","","0","","2","106901","192501","","","","",""
"","7","129001","2","","","","4","1","","","","","","1","0","","0","","2","106901","118301","","","118401","",""
"","8","129001","2","","","","4","2","","","","","","2","0","","0","","2","106901","118301","","","118401","",""
"","9","129001","4","","","","4","3","","","0","2","","0","0","","1","2","3","106901","120401","","","120501","","120601"
"","10","129001","2","","","","4","2","","","","","","2","0","","0","","2","106901","121701","","","121801","",""
"","11","","2","","","","4","2","","","","","","2","0","","0","","2","","124301","","","124401","",""
"","12","","2","","","","4","2","","","","","","2","0","","0","","2","","128101","","","128201","",""
