926923c14d9461b441625e2dc879d151c6d2b9c34a3166cdb0b6f5725c74932c,20d5c19d2470585e815e2381b3cb9b43c2f43436b31595a2f8cf2a013b82c0f3,ad90f951a15d9f5577bb5dacf85f2080e37658341350decdb7887c942e6edf34,d6dae3e6f2c14e3f38d4222b8d505ff6cd889b3233eba1604162e1032629e9b4,ac38b4ab7b65b634ab301d5606af9f291ed9d4831320a2e9b828dc3ae8a9cc63
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001001","100100101"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001001","100100102"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001001","100100103"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001001","100100104"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001001","100100105"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001001","100100106"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001002","100100201"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001002","100100202"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001002","100100203"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001002","100100204"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001002","100100205"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001002","100100206"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001003","100100301"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001003","100100302"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001003","100100303"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001003","100100304"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001003","100100305"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001003","100100306"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001004","100100401"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001004","100100402"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001004","100100403"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001004","100100404"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001004","100100405"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001004","100100406"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001005","100100501"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001005","100100502"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001005","100100503"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001005","100100504"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001005","100100505"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001005","100100506"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001006","100100601"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001006","100100602"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001006","100100603"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001006","100100604"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001006","100100605"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001006","100100606"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001007","100100701"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001007","100100702"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001007","100100703"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001007","100100704"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001007","100100705"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001007","100100706"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001008","100100801"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001008","100100802"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001008","100100803"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001008","100100804"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001008","100100805"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001008","100100806"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001009","100100901"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001009","100100902"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001009","100100903"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001009","100100904"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001009","100100905"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","81001009","100100906"
"12","火属性ボーナス特大アップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","81001010","100101001"
"11","深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81001010","100101002"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","81001010","100101003"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","81001010","100101004"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","81001010","100101005"
