713f4c509d721b632c792dde198a249133028a94cd5ed30ff42bf32d4cbba60b,8a4f79db6ab270b981f333ad91ca8c43212e9defdbd3356cbb928366c9b5da02,ef67e992c2b3e84c282e64de875bb29a3986f4b2a0a5574b71182ec851c8ff62,2c9043af504b15e9a102ba17bf3491468a2098b832b7975df7e42f96389dac94,25231a06e3e5d0b22b110664476feb7a769b3031e82e337ba78aac0f7e225140,90948a109347fe44a0353678e39e06c27250734b11747ac7c88391ae53845060
"1001","99001001","11001001","15","1","1"
"0","99001001","91002","8","10","2"
"1001","99001002","11001002","15","1","3"
"0","99001002","91002","8","10","4"
"1002","99001003","11001003","15","1","5"
"0","99001003","91002","8","20","6"
"1003","99001004","11001004","15","1","7"
"0","99001004","91002","8","30","8"
"1001","99001005","11001005","15","1","9"
"0","99001005","91002","8","10","10"
"1001","99001006","11001006","15","1","11"
"0","99001006","91002","8","10","12"
"1002","99001007","11001007","15","1","13"
"0","99001007","91002","8","20","14"
"1003","99001008","11001008","15","1","15"
"0","99001008","91002","8","30","16"
"1001","99001009","11001009","15","1","17"
"0","99001009","91002","8","10","18"
"1001","99001010","11001010","15","1","19"
"0","99001010","91002","8","10","20"
"1002","99001011","11001011","15","1","21"
"0","99001011","91002","8","20","22"
"1003","99001012","11001012","15","1","23"
"0","99001012","91002","8","30","24"
"1001","99001017","11001017","15","1","33"
"0","99001017","91002","8","30","34"
"1001","99001018","11001018","15","1","35"
"0","99001018","91002","8","30","36"
"1002","99001019","11001019","15","1","37"
"0","99001019","91002","8","30","38"
"1003","99001020","11001020","15","1","39"
"0","99001020","91002","8","30","40"
"1001","99001021","11001021","15","0","41"
"1002","99001022","11001022","15","0","42"
"1001","99001023","11001023","15","1","43"
"0","99001023","91002","8","30","44"
"1001","99001024","11001024","15","1","45"
"0","99001024","91002","8","30","46"
"1002","99001025","11001025","15","1","47"
"0","99001025","91002","8","30","48"
"1003","99001026","11001026","15","1","49"
"0","99001026","91002","8","30","50"
"1001","99001027","11001027","15","1","51"
"0","99001027","91002","8","30","52"
"1001","99001028","11001028","15","1","53"
"0","99001028","91002","8","30","54"
"1002","99001029","11001029","15","1","55"
"0","99001029","91002","8","30","56"
"1003","99001030","11001030","15","1","57"
"0","99001030","91002","8","30","58"
"1001","99001031","11001031","15","1","59"
"0","99001031","91002","8","30","60"
"1001","99001032","11001032","15","1","61"
"0","99001032","91002","8","30","62"
"1002","99001033","11001033","15","1","63"
"0","99001033","91002","8","30","64"
"1003","99001034","11001034","15","1","65"
"0","99001034","91002","8","30","66"
"1001","99001039","11001039","15","0","75"
"1002","99001040","11001040","15","0","76"
"1003","99001041","11001041","15","0","77"
"1001","99001042","11001042","15","1","78"
"0","99001042","91002","8","30","79"
"1001","99001043","11001043","15","1","80"
"0","99001043","91002","8","30","81"
"1002","99001044","11001044","15","1","82"
"0","99001044","91002","8","30","83"
"1003","99001045","11001045","15","1","84"
"0","99001045","91002","8","30","85"
"1001","99001046","11001046","15","1","86"
"1001","99001046","11001050","15","1","87"
"0","99001046","91002","8","30","88"
"1001","99001047","11001047","15","1","89"
"0","99001047","91002","8","30","90"
"1002","99001048","11001048","15","1","91"
"0","99001048","91002","8","30","92"
"1003","99001049","11001049","15","1","93"
"0","99001049","91002","8","30","94"
"1001","99001051","11001051","15","1","95"
"0","99001051","91002","8","30","96"
"1001","99001052","11001052","15","1","97"
"0","99001052","91002","8","30","98"
"1002","99001053","11001053","15","1","99"
"0","99001053","91002","8","30","100"
"1003","99001054","11001054","15","1","101"
"0","99001054","91002","8","30","102"
"1001","99001055","11001055","15","1","103"
"0","99001055","91002","8","30","104"
"1001","99001056","11001056","15","1","105"
"0","99001056","91002","8","30","106"
"1002","99001057","11001057","15","1","107"
"0","99001057","91002","8","30","108"
"1003","99001058","11001058","15","1","109"
"0","99001058","91002","8","30","110"
"1001","99001059","11001059","15","1","111"
"0","99001059","91002","8","30","112"
"1001","99001060","11001060","15","1","113"
"0","99001060","91002","8","30","114"
"1002","99001061","11001061","15","1","115"
"0","99001061","91002","8","30","116"
"1003","99001062","11001062","15","1","117"
"0","99001062","91002","8","30","118"
"1001","99001063","11001063","15","1","119"
"0","99001063","91002","8","30","120"
"1001","99001064","11001064","15","1","121"
"0","99001064","91002","8","30","122"
"1002","99001065","11001065","15","1","123"
"0","99001065","91002","8","30","124"
"1003","99001066","11001066","15","1","125"
"0","99001066","91002","8","30","126"
"1001","99001067","11001067","15","1","127"
"0","99001067","91002","8","30","128"
"1001","99001068","11001068","15","1","129"
"0","99001068","91002","8","30","130"
"1002","99001069","11001069","15","1","131"
"0","99001069","91002","8","30","132"
"1003","99001070","11001070","15","1","133"
"0","99001070","91002","8","30","134"
"1001","99001071","11001071","15","0","135"
"1002","99001072","11001072","15","0","136"
"1003","99001073","11001073","15","0","137"
"1001","99001074","11001074","15","1","138"
"0","99001074","91002","8","30","139"
"1001","99001075","11001075","15","1","140"
"0","99001075","91002","8","30","141"
"1002","99001076","11001076","15","1","142"
"0","99001076","91002","8","30","143"
"1003","99001077","11001077","15","1","144"
"0","99001077","91002","8","30","145"
"1001","99001078","11001078","15","1","146"
"0","99001078","91002","8","30","147"
"1001","99001079","11001079","15","1","148"
"0","99001079","91002","8","30","149"
"1002","99001080","11001080","15","1","150"
"0","99001080","91002","8","30","151"
"1003","99001081","11001081","15","1","152"
"0","99001081","91002","8","30","153"
"1001","99001082","11001082","15","1","154"
"0","99001082","91002","8","30","155"
"1001","99001083","11001083","15","1","156"
"0","99001083","91002","8","30","157"
"1002","99001084","11001084","15","1","158"
"0","99001084","91002","8","30","159"
"1003","99001085","11001085","15","1","160"
"0","99001085","91002","8","30","161"
"1001","99001086","11001086","15","0","162"
"1002","99001087","11001087","15","0","163"
"1002","99001088","11001088","15","0","164"
"1002","99001089","11001089","15","0","165"
"1003","99001090","11001090","15","0","166"
"1001","99001091","11001091","15","1","167"
"0","99001091","91002","8","30","168"
"1001","99001092","11001092","15","1","169"
"0","99001092","91002","8","30","170"
"1002","99001093","11001093","15","1","171"
"0","99001093","91002","8","30","172"
"1003","99001094","11001094","15","1","173"
"0","99001094","91002","8","30","174"
"1001","99001095","11001095","15","1","175"
"0","99001095","91002","8","30","176"
"1001","99001096","11001096","15","1","177"
"0","99001096","91002","8","30","178"
"1002","99001097","11001097","15","1","179"
"0","99001097","91002","8","30","180"
"1003","99001098","11001098","15","1","181"
"0","99001098","91002","8","30","182"
"1001","99001099","11001099","15","1","183"
"0","99001099","91002","8","30","184"
"1001","99001100","11001100","15","1","185"
"0","99001100","91002","8","30","186"
"1002","99001101","11001101","15","1","187"
"0","99001101","91002","8","30","188"
