46029b415c7ae245dbed3f8f104839f4aa2b81674eea58314f161e0fb5f3507c,d168f4168dc7b912ad943a71f3bd787de44ed2f2a2b2002748621c82925b56c7,26ee9569a633ad563a674b7b829bb849308755814e7d19a984f4c848484bce86,f9944f5f45173111d8eccea0f5358c8b113198bbc24aa92b2f2a5ccf6e3b9740,9e913cc8b42b638968da727f06b44449fd49c042546f081075ed29499ad54527,46089943913f98a6c41044b5dd40ea9e6f9d70acbe9ba0260f63ea5a26d715fd,abf70d161df57816d5ad26d610ec629e0b5bcfb4d979b051f76e4dfc101b0c7c,79c9f8aa83639ea8ad75f3cda600765bf130b01cf029afcc92c6f62c1af1f512,c4528e59a08550a7bf75e84b67eb4784f8b2d191b028f076ee875dfb7a10c2c0,de63d4d72ba72b11ae31dd31d9628cf9bccde60705160779a230757a3f39678b,8a0e3cc90664af63a25ba7b5a75cece1681d86669f4b1b7692801d747a3fdef8
"-250","0","1001","55","1.3","2","<weapon>_idle","1000001","-100","1","110010001"
"1","","1001","0","1","100","","100","0","31","110010002"
"1","","1001","0","0","101","","101","0","31","110010003"
"1","","1001","0","1","4","","4","0","31","110010004"
"1","","1001","94.5","1","5","","5","0","31","110010005"
"","","1001","","","0","","0","","91","110010006"
"","","1001","","","0.4","","0","","93","110010007"
"","","1001","0","0.2","1000001","","<weapon>_joy_short","","3","110010008"
"","","1001","","","1.3","","0","","93","110010009"
"","","1001","1","0","1000001","","<weapon>_run","","3","110010010"
"0","","1001","-250","","1000001","","800","1","2","110010011"
"","","1001","","","0.7","","0","","93","110010012"
"","","1001","","","101","","1","","32","110010013"
"","","1001","","","0.7","","0","","93","110010014"
"-250","0","1101","55","1.3","2","<weapon>_run","1000001","-640","1","111010001"
"1","","1101","0","1","100","","100","0","31","111010002"
"1","","1101","0","0","101","","101","0","31","111010003"
"1","","1101","0","1","4","","4","0","31","111010004"
"","","1101","","","4","","0","","35","111010005"
"1","","1101","0","1","5","","5","0","31","111010006"
"1","","1101","0","1","10","","10","0","31","111010007"
"","","1101","","","0","","","","91","111010008"
"","","1101","","","100","","1","","35","111010009"
"0","","1101","-250","","1000001","","640","2.1","2","111010010"
"","","1101","","","1.7","","0","","93","111010011"
"","","1101","","","101","","1","","32","111010012"
"","","1101","","","0.7","","0","","93","111010013"
"-240","0","2001","55","1.3","1","look_loop","1000001","0","1","120010001"
