d4af9356dcf084f72be1db92bbf2675c9983b4a0dd31543f7d11c0c40d45d674,1db362300a48449ac8827eec4f733a9904fdc3c8796424c6ce4af9eb65c263c8,b4d381eb269523c0bc8fbee7f150ab35efdee5f85600546cb3b0702490ef04ae,4ec096c92fd117e40cb40f1587ba6074b07b5b87a05f022cd817884101b48524,de969211b8aa7406db6c7817e717abdf5e832b5c30bb278a8474bf21cbeef074,c0b8ab262b14e488146111c42371c1e4f979ea6c6a7ae8ce23d898d67db3dd69,fd2540f40564999ad4f8c9f8f42c9eda37164435df467102ca32a616b0bfa3e3,59b0127be76907ca2e047e62d2b03904f0cbf7e5bb273544fbf63129e748aa58
"27","106101","0","3","2019/02/28 11:59:59","2019/02/15 23:00:00","1","0"
"28","101401","0","3","2019/03/19 14:59:59","2019/02/28 12:00:00","2","0"
"29","105501","0","1","2019/03/26 14:59:59","2019/03/19 15:00:00","3","0"
"29","106301","0","3","2019/03/26 14:59:59","2019/03/19 15:00:00","4","0"
"29","101501","0","2","2019/03/26 14:59:59","2019/03/19 15:00:00","5","0"
"30","103601","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","6","0"
"30","104901","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","7","0"
"30","104401","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","8","0"
"30","100701","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","9","0"
"30","104601","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","10","0"
"30","102701","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","11","0"
"30","100301","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","12","0"
"30","103401","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","13","0"
"30","100101","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","14","0"
"31","109201","0","3","2019/04/19 14:59:59","2019/03/31 12:00:00","15","0"
"32","109401","0","3","2019/04/30 11:59:59","2019/04/19 15:00:00","16","0"
"33","109501","0","3","2019/05/07 14:59:59","2019/04/30 12:00:00","17","0"
