8f8a9d1b88b102d1e9db035fe46824ac4e533a95b98953178cf6c07dfce03524,3632b5e7ce6df99ec5f81c29de928ea907b27cf8f765a04c7428f6fc232cd007,c54782082d8e740b977160809a06ae274648b4841ae5e12cacc07c71acef8e44,b14b055c24313b06f8beccec95917c743ec583a16d835589698c774dc63ff0f2,24afe3c097dafe1d2fb9424bed3fb2b3ae9a254ed1618999d7509286d8583c50,e488e8f4619cdf4a14d34c1096273278a57f9353f195ba5aecda2f7d771c5357,ee2eefe9bedac53fa2899d4eed9ecdf510c383f0839f94c3c5cc6ea20bfbf501,493168e08fd42c9f3b6a6ebd6018f74bbdab797ca54d60fd41cbf54e68847fd0,c94c7c5ad539e68023638eab543b4e4d4371e4f5f921bc3872f4c058b6db9a3e,854bdc3dee7c7f93bae385ed1f756d8bfd96b0dc668323c4120dd0f538bcf9f5,5e65895774c63f1d23df0dccf1960d52d6a440fc4d8126a6a46d2583f7ea4eb8,0d36f656c0bc951ad05a000edffd41833100eefdcc04440ba26e8b319a398694,10366b9bf7182cbf7cf99b14cdc173882bc956721139e59fedb2bb9d402bf25d,d35bc7a5905619c3029cf6faa2bb5fa461d7918584c0a0c0e70b70667c4b3517,18a3e0323a31b073487f55bc2eb076ccb7f102bc90d7612d942bbdd12ed05393,f99e19aebce153395b4675046cc630116c49171196c7c3c84f46696fcd7ac21c,a74d31a23ea046797eb39058a9b3137691d66744167a5b99dfa7a9c4c0647066,1595ac1a4ddc5ea0981854d61e3c6c30a8208da137f30dca4c74d687e017a57b,b896c2f3d96610f308566d13df2b2b93a669eef3919b051519ec383de88a38dd,4831ee0a1346ce592971b008c595cbeca8110a1d036b99734e8c83e0a1098712,fc2145c8915ed523451b6808d69e233e24560a0e7045aa1eefe268fe8957c693,289b8ec93e1069d1c72496d5d5f620dc6ddaf9ca459072956ad5ab81519baf92
"0.6","101001","10","1","10010101","1","101001","1","bgm_M64","1","-120","250","0.8","1001","210","-30","-30","0","0.7","1","-480","0"
"0.75","101001","10","1","10010102","1","101001","2","bgm_M64","2","-120","0","1.2","1001","200","0","-30","0","1","1","-260","0"
"0.75","101001","0","1","10010103","1","101001","3","bgm_M64","3","0","100","1.1","1001","200","-10","-30","-50","1","1","-40","0"
"0.7","101001","0","1","10010104","1","101001","4","bgm_M64","4","-50","0","1","1001","200","0","-30","0","1","1","240","0"
"1.2","101011","0","1","10010105","1","101011","5","bgm_M55","5","-40","200","1.3","1001","250","0","-30","0","1","1","480","0"
"0.6","101021","10","1","10020101","1","101001","1","bgm_M64","1","-155","250","0.8","1002","210","-30","-30","0","0.7","1","-480","0"
"0.75","101021","10","1","10020102","1","101001","2","bgm_M64","2","-120","250","1.2","1002","200","0","-30","0","1","1","-265","0"
"0.9","101021","0","1","10020103","1","101001","3","bgm_M64","3","30","100","1.4","1002","200","-10","-30","-30","1","1","-30","-15"
"1","101021","0","1","10020104","1","101001","4","bgm_M64","4","-90","100","1.5","1002","200","0","-30","-30","1.25","1","220","0"
"1.4","101031","0","1","10020105","1","101011","5","bgm_M55","5","0","200","1.8","1002","250","0","-30","0","1.6","1","440","0"
"0.6","101041","10","1","10030101","1","101041","1","bgm_M64","1","-155","250","0.8","1003","210","-30","-30","0","0.7","1","-470","0"
"0.75","101041","10","1","10030102","1","101041","2","bgm_M64","2","-95","250","1.2","1003","200","0","-30","0","1","1","-210","0"
"0.75","101041","0","1","10030103","1","101041","3","bgm_M64","3","-120","100","1.1","1003","200","-10","-30","-50","1","1","50","0"
"0.8","101041","0","1","10030104","1","101041","4","bgm_M64","4","35","100","1.5","1003","200","0","-30","-30","1.2","1","195","0"
