bd9f6f58a213c492f068d77dfbfcf387a1faef451d59299dda00b860de6e521d,472623d3625327c7c979175498684b66bb097a00a1a5bf90443310201eaa0d7b,558a8b2b071731f1eff98e7f11190251393476bf43d410a2c6be488cfd1209bd,836d52f01b5d54ac992942eae828fd48eeaa96365f9b8230a3a4668c1689b111,7f297d59ccac2f688c0d9d982a633fa6022a1d77fd59b075566c52bad007469e,4e2de48531f10ddbdf6fe2a00a1d87c7717aae56f576a4e1c014655340aca4b6,e3ae3eb116c794461dc13b1ba37177b54934ff5dfed1523ece0c3d5f58a2eddf,f1d975920ff2b8dc7c5057cf9576c968f2aa643d8685f67f5bbdc8ee312631ae,dc9eb1c7865e5d3b26057b75bcd07707e2e48b4daf367c5361dee9e93f353e33
"6","8","1","-1","53003","5","22","7","10001"
"6","4","1","-1","53002","5","22","7","10002"
"5","6","1","5","53003","4","22","6","10101"
"5","5","1","5","53002","4","22","6","10102"
"4","5","1","4","53003","3","22","5","10201"
"4","5","1","4","53002","3","22","5","10202"
"3","4","1","3","53003","3","22","4","10301"
"3","3","1","3","53002","3","22","4","10302"
"2","3","1","2","53003","2","22","3","10401"
"2","2","1","2","53002","2","22","3","10402"
"1","2","1","1","53003","1","22","2","10501"
"1","1","1","1","53002","1","22","2","10502"
"0","2","1","0","53002","1","22","1","10601"
"6","8","2","-1","53003","5","22","7","10701"
"6","4","2","-1","53002","5","22","7","10702"
"5","6","2","5","53003","4","22","6","10801"
"5","5","2","5","53002","4","22","6","10802"
"4","5","2","4","53003","3","22","5","10901"
"4","5","2","4","53002","3","22","5","10902"
"3","4","2","3","53003","3","22","4","11001"
"3","3","2","3","53002","3","22","4","11002"
"2","3","2","2","53003","2","22","3","11101"
"2","2","2","2","53002","2","22","3","11102"
"1","2","2","1","53003","1","22","2","11201"
"1","1","2","1","53002","1","22","2","11202"
"0","2","2","0","53002","1","22","1","11301"
"6","8","3","-1","53003","5","22","7","11401"
"6","4","3","-1","53002","5","22","7","11402"
"5","6","3","5","53003","4","22","6","11501"
"5","5","3","5","53002","4","22","6","11502"
"4","5","3","4","53003","3","22","5","11601"
"4","5","3","4","53002","3","22","5","11602"
"3","4","3","3","53003","3","22","4","11701"
"3","3","3","3","53002","3","22","4","11702"
"2","3","3","2","53003","2","22","3","11801"
"2","2","3","2","53002","2","22","3","11802"
"1","2","3","1","53003","1","22","2","11901"
"1","1","3","1","53002","1","22","2","11902"
"0","2","3","0","53002","1","22","1","12001"
"6","8","4","-1","53003","5","22","7","12101"
"6","4","4","-1","53002","5","22","7","12102"
"5","6","4","5","53003","4","22","6","12201"
"5","5","4","5","53002","4","22","6","12202"
"4","5","4","4","53003","3","22","5","12301"
"4","5","4","4","53002","3","22","5","12302"
"3","4","4","3","53003","3","22","4","12401"
"3","3","4","3","53002","3","22","4","12402"
"2","3","4","2","53003","2","22","3","12501"
"2","2","4","2","53002","2","22","3","12502"
"1","2","4","1","53003","1","22","2","12601"
"1","1","4","1","53002","1","22","2","12602"
"0","2","4","0","53002","1","22","1","12701"
"6","8","5","-1","53003","5","22","7","12801"
"6","4","5","-1","53002","5","22","7","12802"
"5","6","5","5","53003","4","22","6","12901"
"5","5","5","5","53002","4","22","6","12902"
"4","5","5","4","53003","3","22","5","13001"
"4","5","5","4","53002","3","22","5","13002"
"3","4","5","3","53003","3","22","4","13101"
"3","3","5","3","53002","3","22","4","13102"
"2","3","5","2","53003","2","22","3","13201"
"2","2","5","2","53002","2","22","3","13202"
"1","2","5","1","53003","1","22","2","13301"
"1","1","5","1","53002","1","22","2","13302"
"0","2","5","0","53002","1","22","1","13401"
"6","8","6","-1","53003","5","22","7","13501"
"6","4","6","-1","53002","5","22","7","13502"
"5","6","6","5","53003","4","22","6","13601"
"5","5","6","5","53002","4","22","6","13702"
"4","5","6","4","53003","3","22","5","13801"
"4","5","6","4","53002","3","22","5","13902"
"3","4","6","3","53003","3","22","4","14001"
"3","3","6","3","53002","3","22","4","14002"
"2","3","6","2","53003","2","22","3","14101"
"2","2","6","2","53002","2","22","3","14102"
"1","2","6","1","53003","1","22","2","14201"
"1","1","6","1","53002","1","22","2","14202"
"0","2","6","0","53002","1","22","1","14301"
"6","8","7","-1","53003","5","22","7","14401"
"6","4","7","-1","53002","5","22","7","14402"
"5","6","7","5","53003","4","22","6","14501"
"5","5","7","5","53002","4","22","6","14502"
"4","5","7","4","53003","3","22","5","14601"
"4","5","7","4","53002","3","22","5","14701"
"3","4","7","3","53003","3","22","4","14801"
"3","3","7","3","53002","3","22","4","14802"
"2","3","7","2","53003","2","22","3","14901"
"2","2","7","2","53002","2","22","3","14902"
"1","2","7","1","53003","1","22","2","15001"
"1","1","7","1","53002","1","22","2","15002"
"0","2","7","0","53002","1","22","1","15101"
"6","8","8","-1","53003","5","22","7","15201"
"6","4","8","-1","53002","5","22","7","15202"
"5","6","8","5","53003","4","22","6","15301"
"5","5","8","5","53002","4","22","6","15302"
"4","5","8","4","53003","3","22","5","15401"
"4","5","8","4","53002","3","22","5","15402"
"3","4","8","3","53003","3","22","4","15501"
"3","3","8","3","53002","3","22","4","15502"
"2","3","8","2","53003","2","22","3","15601"
"2","2","8","2","53002","2","22","3","15602"
"1","2","8","1","53003","1","22","2","15701"
"1","1","8","1","53002","1","22","2","15702"
"0","2","8","0","53002","1","22","1","15901"
