ccf45ca90e684c21276b090435bd0d744ffb3e623be55c3fbd2f19802f7eea3d,5a0a039237d7707238d1e74830280dc5074c6cf4d570959aa5c42bcc31b23197,778118de4d99a027cb891297221c91bb944f8d1959d30e0bf91265c64bd8598d,be0a83edcaffeddda713557331378fa9f5b688efb6a393aff5b6df84be20e1f1,497fc75047c82ddfac8f716e45e6314515b9da91d198179752a93be6d2701213,dca3698ead003dbf224959ffa0424d3c028b84763341ed0bce31c7fa58a092a2,d854722957783cff4b09aadeb3b1cbf79fa2a4e3c4eadf2fec41f32d37b51a51,748a46d0b08fde8ce8bcae9783824137db787e55e74ebacb3e5b8f440a1496f2,7129047db7220bad945ffba2ed3e7ece3ffa3e91f1977d81481fb9f7750d1069,123aaffb34cf937678c10db22081fcc6a346711b5c6b2d4a8b3e4faa8d84ba60,1be53dbb6644d5296905561a2f38151f42e6ae6bbd1d8473e75418834d0cc9bb,f4eca1ff71f1f182eb769a94d76e2aae6be65940f06bf0ebdfc9186bb4fe13ee,068b1457f0b0e846bba2a846cc64090f078882a8795d90f7ea65a50273134998,ee316bd1da47f2521e0ba8d9f814a0c65f2591c1722233b1d1734ddab56dad13,e8d86d885e35a6b5dd0fb83a085628372ac1c7dafa4d3916f9540a258eed1ea2,54cd0fdb300bf89ebb44b5a23e1a5c3f2be8eb2c142bb081ee36c8574d3dad11,f2d2fe03fda29de369b57156a6561a3068671b67c1090ec8900ca8247fce2d67,2e0f35a36baf7ba7cf5ff3645d40311ed327099797c135bfcb6c40ef3aad7760,962a6390006fde2711558d780655d3cc8bd6f23aa1fd61972447c797174e9370
"100101","0","65","0","0","1","0","0","10","0","75","2","1","0","0","0","0","0","16"
"100101","0","185","0","0","2","0","0","30","0","125","3","3","0","0","0","0","0","68"
"100101","0","420","0","0","4","0","0","60","3","260","4","7","0","0","0","0","0","158"
"100101","0","810","0","0","7","0","0","100","7","420","5","12","0","0","0","0","0","293"
"100101","0","1340","0","0","11","3","0","130","11","630","6","17","0","0","0","0","0","486"
"100101","0","1660","0","0","15","6","0","155","17","1235","7","26","0","0","0","0","0","731"
"100101","0","2290","0","0","15","9","0","180","24","1795","8","35","0","0","9","0","10","1030"
"100101","0","2540","0","0","16","9","5","205","27","1795","9","46","0","0","23","0","40","1459"
"100101","10","2740","0","0","16","9","10","205","35","1795","10","51","0","0","37","0","100","1941"
"100101","20","3100","0","0","16","9","15","205","44","1795","11","55","0","3","37","0","158","2439"
"100101","20","3470","0","0","18","9","15","205","46","2045","12","66","0","36","37","0","198","2871"
"100101","20","3720","0","0","18","9","15","230","54","2045","13","79","0","56","37","0","251","3345"
"100101","20","3880","0","0","20","9","15","255","68","2045","14","97","0","56","37","0","328","3840"
"100101","20","3880","0","0","20","9","15","255","82","2045","15","111","0","56","37","0","448","4412"
"100101","20","3880","0","0","20","9","15","255","94","2045","16","124","0","59","37","0","586","5015"
"100101","20","3930","0","0","20","9","15","255","103","2045","17","142","0","62","37","0","711","5656"
"100101","20","3980","0","0","20","9","15","255","119","2045","18","157","0","62","37","0","856","6351"
"100101","20","4075","0","0","20","9","15","255","135","2045","19","173","0","62","37","0","984","7154"
"100101","20","4270","0","0","20","9","15","255","147","2045","20","203","0","62","37","0","1065","8017"
"100101","20","4580","0","0","20","9","15","255","157","2045","21","232","0","62","37","0","1160","8971"
"100101","20","4790","0","0","20","9","15","255","176","2045","22","259","0","62","37","0","1262","10078"
"100101","20","4880","0","0","20","9","15","255","199","2045","23","287","0","62","37","0","1343","11352"
"100101","20","4970","0","0","20","9","15","255","221","2045","24","308","0","62","37","0","1416","12783"
"100101","20","5230","0","0","20","9","15","255","247","2045","25","331","0","62","37","0","1471","14334"
"100101","20","6835","0","0","20","9","15","255","280","2045","26","359","0","62","37","0","1495","15835"
"100101","20","8440","0","0","20","9","15","255","313","2045","27","387","0","62","37","0","1513","17449"
