921f3494ee8a736aa9883b4e94a200ad26042bc109221c1e34d4069352b00a5e,26fcde31b7e124ddda74729e474a88e8aa9328da211f903a3b3b4cd2907443a1,939dbab3b5c17e2fc708612dec60ce6ef8f22879dffc1b7554fa9cfe4e9dcb74,cbb84825853e051792f50c972b63c841af8aba477c0c8961b8eca3097bc8533d,5b3249259bc97d0424368cf517b97275393b26052fa55c9dfff6824fd32a3cc6,93c8d819c7745f0c1f4a32cd443377d7e3abf081886e20f78724812dd0f4a962,703c64118475f662a3f3a6cb1df6c8541354581b8323a2a31a1e46998564f1d0,3fc0281943728e2c4dfd203516c6c061b0fe04cdfaa6ad542c4b8ca9ab2dc194,194efee254ebca297bac721f4d86fbd4668dd3b7e2b26fb28107876749af231a,d107e97beb0abb2daade0967200f1c53606125af737b71810edae2629c8a5b71,647b19bffcf32e2dde1cb6895ab3f85c0b090a0de83f5d48ffb8af9cd1f886c8
"61001","382","1","1","5152061","idle_normal","110311","110","1.55","-280","1"
"61002","145","1","0","5152061","idle_normal","131911","106","1.55","-210","1"
"61003","-50","1","0","5152061","joy_idle_normal","102311","107","1.55","-225","1"
"61004","-245","1","0","5152061","wish_idle","102111","108","1.55","-240","1"
"61005","-440","1","0","5152061","idle_normal","107711","109","1.55","-255","1"
"61006","40","1","0","5152061","doya_idle","122811","103","1.45","-105","1"
"61007","-160","1","0","5152061","idle_normal","122911","104","1.45","-120","1"
"61008","-355","1","0","5152061","idle_normal","122711","105","1.45","-135","1"
"61009","","110311","","5152061","","210","","","","13"
"61010","","131911","","5152061","","206","","","","13"
"61011","","107711","","5152061","","209","","","","13"
"61012","","122711","","5152061","","205","","","","13"
"61013","","122811","","5152061","","203","","","","13"
"61014","","122911","","5152061","","204","","","","13"
"61015","","102111","","5152061","","208","","","","13"
"61016","","102311","","5152061","","207","","","","13"
"61017","-110","2","0","5152061","empty","2","210","0.75","160","5"
"61018","352","3","0","5152061","empty","3","210","1","-45","5"
"61019","0","1","","5152061","","1","0","1","1","31"
"61020","0","2","","5152061","","2","0","0","1","31"
"61021","0","3","","5152061","","3","0","1","1","31"
"61022","0","11","","5152061","","11","0","0","1","31"
"61023","","0","","5152061","","0","","","","91"
"61024","","3","","5152061","","telop_1","","","","37"
"61025","","0","","5152061","","0","0","","","102"
"61026","","1","","5152061","","0","","","","93"
"61027","callout_loop","110311","0","5152061","","callout_in","0","0.2","1","3"
"61028","","0.1","","5152061","","0","","","","93"
"61029","0","vo_rag","","5152061","","vo_rag_6001","0","","","21"
"61030","","3","","5152061","","1001_in","0","0","","3"
"61031","","1.9","","5152061","","1","","","","93"
"61032","","3","","5152061","","1001_mid","0","0","","3"
"61033","","","","5152061","","","","","","92"
"61034","","3","","5152061","","1001_out","0","0","","3"
"61035","","0.2","","5152061","","0","","","","93"
"61036","","110311","","5152061","","doya_idle_joy1R","1","0.3","","3"
"61037","gutsB_talk_joy","102311","0","5152061","","gutsB_in_joy","0","0.2","1","3"
"61038","","102111","","5152061","","wish_talk","1","0.2","","3"
"61039","idle_normal_joy","131911","0","5152061","","hello_2","0","0.2","1","3"
"61040","","107711","","5152061","","sad_talk_joy","1","0.2","","3"
