941a94a0b0b724e482289f01c79982686d00e9e334776dbbdf3bf5fb2216fde1,5721ea2651af4375722b9d7d217e5ec0be47e1d2febec577603afad60a214638,eeba1f71f8ee1f07876c791f0c82e59bc457fbac4efea451ac8d61d69ff47078,707b4c082d9a3b8e2ef19f3484d95d5379032ee4b577971c900a5fad612c0e33,eff0195d1a803d97716c03b48f309ea3d0e733a18e9797e55ca9d2eed9ff6f35,b32098d63abbcfefdd5a79cba95462d6882a001464cdc6c2e0c0596760c040fb,cce5f153e7a73472074434111bb54ac8b9d6df00e9507f66e36a2dbfdebf76eb,3df92f76eb445a87b8749a25a77ab69ec083a0c3188a815c7bf912500278a4d6,6c23bb8d8822f8d4c061312d4149ae92eef3a8ceb27eb7256205944075006716,d58a998e1e623323ffb337955464a0b5b0d1b7c787676a1b0ba134b01beaee8a,745de025101d1c53775bcb4ba49f419ac033ebe95250d518b0a17a940fd9bb38,88d45eaaa26ae4dac403093bf13885e4f7cc53c2be6011d450ce3b52e7e95b2f
"1","324","35","0","27","0","0","0","0.05","0","0.025","31"
"2","315","34","0","26","0","0","0","0.05","0","0.025","30"
"3","306","33","0","25","0","0","0","0.05","0","0.025","29"
"4","297","32","0","24","0","0","0","0.05","0","0.025","28"
"5","288","31","0","23","0","0","0","0.05","0","0.025","27"
"6","279","30","0","22","0","0","0","0.05","0","0.025","26"
"7","270","29","0","21","0","0","0","0.05","0","0.025","25"
"8","261","28","0","20","0","0","0","0.05","0","0.025","24"
"9","252","27","0","19","0","0","0","0.05","0","0.025","23"
"10","243","26","0","18","0","0","0","0.05","0","0.025","22"
"11","234","25","0","17","0","0","0","0.05","0","0.025","21"
"12","225","24","0","16","0","0","0","0.05","0","0.025","20"
"13","216","23","0","15","0","0","0","0.05","0","0.025","19"
"14","207","22","0","14","0","0","0","0.05","0","0.025","18"
"15","198","21","0","13","0","0","0","0.05","0","0.025","17"
"16","189","20","0","12","0","0","0","0.05","0","0.025","16"
"17","180","19","0","11","0","0","0","0.05","0","0.025","15"
"18","171","18","0","10","0","0","0","0.05","0","0.025","14"
"19","161","17","0","9","0","0","0","0.05","0","0.025","13"
"20","152","16","0","8","0","0","0","0.05","0","0.025","12"
"21","143","15","0","7","0","0","0","0.05","0","0.025","11"
"22","134","14","0","6","0","0","0","0.05","0","0.025","10"
"23","125","13","0","5","0","0","0","0.05","0","0.025","9"
"24","116","12","0","4","0","0","0","0.05","0","0.025","8"
"25","107","11","0","3","0","0","0","0.05","0","0.025","7"
"26","101","10","0","2","0","0","0","0.05","0","0.025","6"
"27","1","0","0","0","0","0","0","0","0","0","0"
