b094ff24e0e536e873ccb80deaf7527ac927e3261124dd7ead754061ae17ec99,5f10ea47d81cfe07d281663288dadc53d6fc8d0f153d6826673127469e3ca5e1,0dbfec79efdd1840d961eb2291e8c916530fce8de0651bc5eed2e6d3b307c0f3,3ee9bd6acd458267c5c6a554e411ae76d82dd86a6c9ccb782a186d0d9dd00804,0cd6c5951043f1ecbd3d898f83581e6e666d066846dfa3b434fd94ed087028cd
"2","1000","25011","320001011","32000101"
"2","1000","25012","320001012","32000101"
"2","1000","25013","320001021","32000102"
"2","1000","25014","320001022","32000102"
"8","1000","91002","320001031","32000103"
"12","3000000","94002","320001032","32000103"
"2","1000","25015","320001033","32000103"
"2","1000","25021","320001034","32000103"
"2","1000","25013","320001041","32000104"
"2","1000","25014","320001042","32000104"
"2","1000","25012","320001051","32000105"
"2","1000","25015","320001052","32000105"
"8","1000","91002","320001061","32000106"
"12","3000000","94002","320001062","32000106"
"2","1000","25011","320001063","32000106"
"2","1000","25021","320001064","32000106"
"2","1000","25014","320001071","32000107"
"2","1000","25015","320001072","32000107"
"2","1000","25011","320001081","32000108"
"2","1000","25013","320001082","32000108"
"8","1000","91002","320001091","32000109"
"12","3000000","94002","320001092","32000109"
"2","1000","25012","320001093","32000109"
"2","1000","25021","320001094","32000109"
"2","3000","25011","320001101","32000110"
"2","3000","25012","320001102","32000110"
"2","3000","25013","320001103","32000110"
"2","3000","25014","320001104","32000110"
"2","3000","25015","320001105","32000110"
"2","3000","25011","320001111","32000111"
"2","3000","25012","320001112","32000111"
"2","3000","25013","320001113","32000111"
"2","3000","25014","320001114","32000111"
"2","3000","25015","320001115","32000111"
"2","3000","25011","320001121","32000112"
"2","3000","25012","320001122","32000112"
"2","3000","25013","320001123","32000112"
"2","3000","25014","320001124","32000112"
"2","3000","25015","320001125","32000112"
"2","1","21953","320001131","32000113"
"2","2000","25021","320001132","32000113"
