02d02c751dc0447d9be88f3e7d2438ed11d2e301f247a8f8d33657a18cb9702b,e53c939c828f9eca62ea3ceaa828d3a4677fd3200a6a9e6ed20ecf9a90eb8510,59376800b1a28e3542b8ed480ad29db95dd5976dc204456976fe1210a6860634,4365a7102289b36e5a9677284ec6462254072efc7177b34c9d973982cc2e1b66,3ac0c35ac7ef3ff9e3591cbbec05be557ce7443c794ac37de161e0547a2e6a74,237cdc31e1a973ab6d016f0b37574d2775a23e056f0dee7e4a85836e1808f5af
"11101","vo_caravan_105801_start_001","1","vo_caravan","1","1"
"11102","vo_caravan_105801_start_002","1","vo_caravan","1","1"
"12101","vo_caravan_105901_start_001","1","vo_caravan","2","1"
"12102","vo_caravan_105901_start_002","1","vo_caravan","2","1"
"13101","vo_caravan_106001_start_001","1","vo_caravan","3","1"
"13102","vo_caravan_106001_start_002","1","vo_caravan","3","1"
"14101","vo_caravan_106401_start_001","1","vo_caravan","4","1"
"14102","vo_caravan_106401_start_002","1","vo_caravan","4","1"
"21101","vo_caravan_105801_dice_001","1","vo_caravan","1","2"
"21102","vo_caravan_105801_dice_002","1","vo_caravan","1","2"
"22101","vo_caravan_105901_dice_001","1","vo_caravan","2","2"
"22102","vo_caravan_105901_dice_002","1","vo_caravan","2","2"
"23101","vo_caravan_106001_dice_001","1","vo_caravan","3","2"
"23102","vo_caravan_106001_dice_002","1","vo_caravan","3","2"
"24101","vo_caravan_106401_dice_001","1","vo_caravan","4","2"
"24102","vo_caravan_106401_dice_002","1","vo_caravan","4","2"
"31101","vo_caravan_105801_slot_001","1","vo_caravan","1","3"
"32101","vo_caravan_105901_slot_001","1","vo_caravan","2","3"
"33101","vo_caravan_106001_slot_001","1","vo_caravan","3","3"
"34101","vo_caravan_106401_slot_001","1","vo_caravan","4","3"
"41101","vo_caravan_105801_dish_001","1","vo_caravan","1","4"
"41102","vo_caravan_105801_dish_002","1","vo_caravan","1","4"
"42101","vo_caravan_105901_dish_001","1","vo_caravan","2","4"
"42102","vo_caravan_105901_dish_002","1","vo_caravan","2","4"
"42201","se_caravan_food_peko","2","se_caravan","1","4"
"42202","se_caravan_food_coccoro","2","se_caravan","2","4"
"42203","se_caravan_food_kyaru","2","se_caravan","3","4"
"42204","se_caravan_food_coccoro","2","se_caravan","4","4"
"42205","se_caravan_food_onigiri","2","se_caravan","100","4"
"43101","vo_caravan_106001_dish_001","1","vo_caravan","3","4"
"43102","vo_caravan_106001_dish_002","1","vo_caravan","3","4"
"44101","vo_caravan_106401_dish_001","1","vo_caravan","4","4"
"44102","vo_caravan_106401_dish_002","1","vo_caravan","4","4"
"45101","vo_caravan_onigiri_dish_001","1","vo_caravan","100","4"
"61101","vo_caravan_105801_goal_001","1","vo_caravan","0","6"
"61201","vo_caravan_105801_win_001","1","vo_caravan","0","61"
"61301","vo_caravan_105801_lose_001","1","vo_caravan","0","62"
"62101","vo_caravan_105901_goal_001","1","vo_caravan","0","6"
"62201","vo_caravan_105901_win_001","1","vo_caravan","0","61"
"62301","vo_caravan_105901_lose_001","1","vo_caravan","0","62"
"63101","vo_caravan_106001_goal_001","1","vo_caravan","0","6"
"63201","vo_caravan_106001_win_001","1","vo_caravan","0","61"
"63301","vo_caravan_106001_lose_001","1","vo_caravan","0","62"
"64101","vo_caravan_118501_goal_001","1","vo_caravan","0","6"
"65101","vo_caravan_106401_goal_001","1","vo_caravan","0","6"
"65201","vo_caravan_106401_win_001","1","vo_caravan","0","61"
"65301","vo_caravan_106401_lose_001","1","vo_caravan","0","62"
"71101","vo_caravan_105801_appraise_001","1","vo_caravan","0","7"
"72101","vo_caravan_105901_appraise_001","1","vo_caravan","0","7"
"73101","vo_caravan_106001_appraise_001","1","vo_caravan","0","7"
"74101","vo_caravan_106401_appraise_001","1","vo_caravan","0","7"
"81101","vo_caravan_105801_result_001","1","vo_caravan","0","8"
"82101","vo_caravan_105901_result_001","1","vo_caravan","0","8"
"83101","vo_caravan_106001_result_001","1","vo_caravan","0","8"
"84101","vo_caravan_106401_result_001","1","vo_caravan","0","8"
"211101","vo_caravan_319700_dice_001","1","vo_caravan","11","2"
"211102","vo_caravan_319700_dice_002","1","vo_caravan","11","2"
"212101","vo_caravan_319800_dice_001","1","vo_caravan","12","2"
"212102","vo_caravan_319800_dice_002","1","vo_caravan","12","2"
"213101","vo_caravan_319900_dice_001","1","vo_caravan","13","2"
"213102","vo_caravan_319900_dice_002","1","vo_caravan","13","2"
