daea27b2610ef1113c5abde68d678d68309f08a05dbf935c55e43997383c4791,03cc4b996025b155edd99a8e8e5811ea55aae05ab744ad145873283b8599a460,f3661724d81972f84188a1889309b37509a9a11026ef29285ff7449cf376efb6,c532c47385fe8c9f31b85b2cf47de30e8b7681bdbf4ce6dc83e7e6142330aa51,2cf841a44675aee3a5f18f9234c14c10ac86ab634929a3c5c8aed1b6e4a0942b,996f3eae53d81d3a70186f43f10874b09a880de0f39e751cd0f2e5b8cd702a38
"-1480","1","11","2816","1","-1480"
"-1302","1","21","2816","1","-1400"
"-1263","1","31","2816","1","-1302"
"-1224","1","41","2816","1","-1263"
"-1185","1","51","2816","1","-1224"
"-1146","1","61","2816","1","-1185"
"-1146","1","71","2816","1","-1146"
"-1146","1","81","2816","1","-1146"
"-1107","1","91","2816","1","-1146"
"-1068","1","101","2816","1","-1107"
"-1029","1","111","2816","1","-1068"
"-1029","1","121","2816","1","-1029"
"-1029","1","131","2816","1","-1029"
"-1029","1","141","2816","1","-1029"
"-988","1","151","2816","1","-1029"
"-947","1","161","2816","1","-988"
"-906","1","171","2816","1","-947"
"-865","1","181","2816","1","-906"
"-865","1","191","2816","1","-865"
"-865","1","201","2816","1","-865"
"-824","1","211","2816","1","-865"
"-783","1","221","2816","1","-824"
"-742","1","231","2816","1","-783"
"-701","1","241","2816","1","-742"
"-660","1","251","2816","1","-701"
"-619","1","261","2816","1","-660"
"-619","1","271","2816","1","-619"
"-619","1","281","2816","1","-619"
"-619","1","291","2816","1","-619"
"-578","1","301","2816","1","-619"
"-537","1","311","2816","1","-578"
"-496","1","321","2816","1","-537"
"-496","1","331","2816","1","-496"
"-496","1","341","2816","1","-496"
"-496","1","351","2816","1","-496"
"-455","1","361","2816","1","-496"
"-414","1","371","2816","1","-455"
"-373","1","381","2816","1","-414"
"-332","1","391","2816","1","-373"
"-332","1","401","2816","1","-332"
"-332","1","411","2816","1","-332"
"-200","1","421","2816","1","-332"
"-1181","2","431","2816","2","-1246"
"-1152","2","441","2816","2","-1181"
"-1152","2","451","2816","2","-1152"
"-1123","2","461","2816","2","-1152"
"-1094","2","471","2816","2","-1123"
