13d94a2c862605fe5a93c79f2538e60a76658fd7648de82389c0dfc6ef5f4321,d27ee5a325d9f0ded5ee885c040ba90482f0f85247dcda47a782139380619e1a,df192a3a6459564d6edc80e70aab73e0f53ff3a3f7eb33c6f59c3e44882bcf7f,cb71e449a22bfb86ecef647d7ec989e575acd56707bdf0509fb334837df74f36,623f1406ffd57d9554afff50bd3e55b4d9734719bc516b2779658da291235d1b,0a509262e12b71871eaff2af7d7f53ad951919d1707e15238e5df41c20b75300,21c41e2882a70f3809c7baec65ca3d76bfbd632a2aa02a6d800f264299a04123,8c190c7b7345a4ce410d972cdb5b7673e4316503b1319dbc8c1154c119c2a641
"200","平凡な未鑑定トレジャー","53001","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な\n未鑑定トレジャー","1","100","1"
"400","貴重な未鑑定トレジャー","53002","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な\n未鑑定トレジャー","1","200","2"
"800","至高の未鑑定トレジャー","53003","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の\n未鑑定トレジャー","1","400","3"
"200","平凡なジェムストーン","53004","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","0","100","1"
"400","貴重なジェムストーン","53005","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","0","200","2"
"800","至高のジェムストーン","53006","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","0","400","3"
"200","平凡なインゴット","53007","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","0","100","1"
"400","貴重なインゴット","53008","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","0","200","2"
"800","至高のインゴット","53009","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","0","400","3"
"200","平凡なスクロール","53010","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","0","100","1"
"400","貴重なスクロール","53011","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","0","200","2"
"800","至高のスクロール","53012","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","0","400","3"
"200","平凡なティアラ","53013","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","0","100","1"
"400","貴重なティアラ","53014","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","0","200","2"
"800","至高のティアラ","53015","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","0","400","3"
"200","平凡なルーン","53016","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","0","100","1"
"400","貴重なルーン","53017","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","0","200","2"
"800","至高のルーン","53018","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","0","400","3"
"200","平凡なクラウン","53019","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","0","100","1"
"400","貴重なクラウン","53020","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","0","200","2"
"800","至高のクラウン","53021","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","0","400","3"
"200","平凡なアーティファクト","53022","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","0","100","1"
"400","貴重なアーティファクト","53023","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","0","200","2"
"800","至高のアーティファクト","53024","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","0","400","3"
