ec5c511858cbd1030c4e078054bf60de49f142e140630410106249f5286166b8,4959479cc82caae206f34201353f3afb911784e22eec6a7a1844c0c5bedb5f89,0c37757a753e568b3d31b905f10e36f7e9aa366bbe1483cfdb84fd92deef39e3,5b24d28ac7651251cf5949a119b1beff661cf08caaaa5ccf4e5603191cef05d5,6fc0403b4b111fcba768ee013dbf296811af80bbd6a0619e586bb2d408b099f4,18201c3420d4749b019b3ef32f6013a902cd496c793374c58d87697ea7237359,477c600019006d29037bd04a138f4cd3cd6ce48ca23dfb36b2e4fe84f9a6760f,a4b3bb0198f8bd335d8f5ca238dad1cd95fb838e0d932cc2181bd63796b72dff
"1.ジュノー平野","11001","2015/12/17 15:00:00","bgm_M61","1.ジュノー平野","2030/12/17 14:59:59","bgm_M61","101"
"2.パラス高原","11002","2015/12/17 15:00:00","bgm_M61_02","2.パラス高原","2030/12/17 14:59:59","bgm_M61","101"
"3.ヘーベ丘陵","11003","2015/12/17 15:00:00","bgm_M61_03","3.ヘーベ丘陵","2030/12/17 14:59:59","bgm_M61","101"
"4.ベスタ渓谷","11004","2015/12/17 15:00:00","bgm_M61_04","4.ベスタ渓谷","2030/12/17 14:59:59","bgm_M61","101"
"5.ケレス森林","11005","2015/12/17 15:00:00","bgm_M62_01","5.ケレス森林","2030/12/17 14:59:59","bgm_M62","101"
"6.フローラ湖畔","11006","2015/12/17 15:00:00","bgm_M62_02","6.フローラ湖畔","2030/12/17 14:59:59","bgm_M62","101"
"7.メティス大瀑布","11007","2015/12/17 15:00:00","bgm_M62_03","7.メティス大瀑布","2030/12/17 14:59:59","bgm_M62","101"
"8.イリス樹海","11008","2015/12/17 15:00:00","bgm_M42_02","8.イリス樹海","2030/12/17 14:59:59","bgm_M42","101"
"9.フリガ雪原","11009","2015/12/17 15:00:00","bgm_M58","9.フリガ雪原","2030/12/17 14:59:59","bgm_M58","101"
"10.ロレッタ海岸","11010","2015/12/17 15:00:00","bgm_M101","10.ロレッタ海岸","2030/12/17 14:59:59","bgm_M101","101"
"11.ゲヌア砂漠","11011","2015/12/17 15:00:00","bgm_M93","11.ゲヌア砂漠","2030/12/17 14:59:59","bgm_M93","101"
"12.ボノニア砂丘","11012","2015/12/17 15:00:00","bgm_M94","12.ボノニア砂丘","2030/12/17 14:59:59","bgm_M94","101"
"13.ドロテア湿地","11013","2015/12/17 15:00:00","bgm_M118","13.ドロテア湿地","2030/12/17 14:59:59","bgm_M118","101"
"14.ウジェニア熱地","11014","2015/12/17 15:00:00","bgm_M95","14.ウジェニア熱地","2030/12/17 14:59:59","bgm_M95","101"
"15.タリア火山","11015","2015/12/17 15:00:00","bgm_M96","15.タリア火山","2030/12/17 14:59:59","bgm_M96","101"
"16.テミス銀嶺","11016","2015/12/17 15:00:00","bgm_M140","16.テミス銀嶺","2030/12/17 14:59:59","bgm_M140","101"
"17.フィデス氷原","11017","2015/12/17 15:00:00","bgm_M141","17.フィデス氷原","2030/12/17 14:59:59","bgm_M141","101"
"18.ファエトン\n　　　　　原野・北部","11018","2015/12/17 15:00:00","bgm_M179","18.ファエトン原野・北部","2030/12/17 14:59:59","bgm_M179","102"
"19.ファエトン\n　　　　　原野・南部","11019","2015/12/17 15:00:00","bgm_M179","19.ファエトン原野・南部","2030/12/17 14:59:59","bgm_M179","102"
"20.カスタリア\n　　　　　樹林・西部","11020","2015/12/17 15:00:00","bgm_M180","20.カスタリア樹林・西部","2030/12/17 14:59:59","bgm_M180","102"
"21.カスタリア\n　　　　　樹林・東部","11021","2015/12/17 15:00:00","bgm_M180","21.カスタリア樹林・東部","2030/12/17 14:59:59","bgm_M180","102"
"22.マティルド\n　　　　　岩峯・南部","11022","2015/12/17 15:00:00","bgm_M232","22.マティルド岩峯・南部","2030/12/17 14:59:59","bgm_M232","102"
"23.マティルド\n　　　　　岩峯・北部","11023","2015/12/17 15:00:00","bgm_M232","23.マティルド岩峯・北部","2030/12/17 14:59:59","bgm_M232","102"
"24.レディウス\n　　　　　群峰・西麓","11024","2015/12/17 15:00:00","bgm_M233","24.レディウス群峰・西麓","2030/12/17 14:59:59","bgm_M233","102"
"25.レディウス\n　　　　　群峰・東麓","11025","2015/12/17 15:00:00","bgm_M233","25.レディウス群峰・東麓","2030/12/17 14:59:59","bgm_M233","102"
"26.ペテロ大森林・西部","11026","2015/12/17 15:00:00","bgm_M260","26.ペテロ大森林・西部","2030/12/17 14:59:59","bgm_M260","102"
"27.ペテロ大森林・東部","11027","2015/12/17 15:00:00","bgm_M260","27.ペテロ大森林・東部","2030/12/17 14:59:59","bgm_M260","102"
"28.ディズタル\n　　　　　河食岸・北部","11028","2015/12/17 15:00:00","bgm_M278_E28","28.ディズタル河食岸・北部","2030/12/17 14:59:59","bgm_M278","102"
"29.ディズタル\n　　　　　河食岸・南部","11029","2015/12/17 15:00:00","bgm_M278_E29","29.ディズタル河食岸・南部","2030/12/17 14:59:59","bgm_M278","102"
"30.フテラ断崖・北部","11030","2015/12/17 15:00:00","bgm_M293","30.フテラ断崖・北部","2030/12/17 14:59:59","bgm_M293","102"
