2b15aed26420b01dff67d426ccbae6a1c240d15afef9fcd25908f5b7df29c46e,0e2db8f8450a48a39f4a9a9dee570069545a633571a923c7d0bf30de26eff0ba,54c7a67302605edc31a1fdc344a79ebb64dbd0a409b98c8768d0ffd35186de24,6f88a9cc76aeda0cdceddb3618d808b5d2ce8202ddefb519c005232445d10b12,07091230cf5cfa10f6c6a8cb1669aa699f443e64d7c221a95f6ca4b288740532,d2cd85be20f8e4f50d15494c46de3dac0d30455350560977d807be2b0de1ffed,b7676dc8a9d824edda05a1712fbb256a52362abc16b182c6e866bb03627518b1,c507292d5a5bb3b3f92475ecf3fd84b688252825857803713ec87236e312aaaa,7d345253bce26574a3c6e4e06eb8e41418796ac424691f61e61594a4a6d8a81e,08aff255121c6c6be30bf14e946bf0e2f6309e3ce041b5b8fb602fb28772c64e,09449bf32f1feacb43f48770e9a33c88f88cb11bb4133309790b8aec98d2f3ce,19cc10e2284abe6beb1352d42f1d6a783f66bea38bc5533f5ce3ec7980ae3c8b,71bc3c8c18c792e1e3a85ecf5758748f4964ff41690bd65ee3bbd7630572c91e,6bfb375bc8c56667ddc741179ef11f31703ee4230dbe5ee2e901290aff66bf0f,44e53e08ba0e77d8f0ee9036ceb934096a5342772d6f074fad5754e6d6a03e0d,c7c84688bb9b962472e7fa624bbc27c1a6b0b24dddc5a2d7bb5b1cf370709c08,35db199121ca0ebd139f8ff79e4eaee7ff89ccfbea651b7c4556cff922cc44e4,64ea7be6c06c40a9213efd6af2b27f65a42ac500b99b8ee68ec8b30c8c5c1020,c0e0df19ed286125dfe19ed27c63d1372cb4248e6a5c6f763fa842dc664554cd,441edf1fbedc46478b384e6206658dce0ac936b869df97dd28b5e98a18253db1,772701df2c3442148ac7dca88bb69a9af7067df8ed04ab5fd328867f5577bc2c,a73a8916a4f32b78361efd1b75f87602bbc5544cc8193a1cd62e46f4cd45c582,e15ed5dd3ef9acc33fd7ac9dfd0eed379cb92c6df987ead6874f216096e528cf,5ac378ea926b6dd3b140a012f3267f83a23ab01627308d6ab63f2effb786cfea,8e123ee2c64420ed55af845e102c05c9aa7f382691dc5ea7fcc40a8d1030ee4e,b4eb450357f9ddfb69129b2e77e1132adb857e13bedc591f0e6e3afe9efb3a27,90689302a1b07c1d8e6aef95ba0dc5fc39d506189e1223a7ed2c014abac70cdb,f162c6aea319b19449e4b449acc84baa641c3f523e969862c780a5a4f45840c1,c31981a6754ab1545121e2a6a267ad859ddd5dce204e395f4b080309a366f72e,0925f1d008bcabc0ca565b74976918850eb6b6c4977f949c2e4bdef26ead0cf4,8744970f15a456ec79517d9ff6ca8f56535fa2ad7349971cf5db74a556b1c906,b0118a39df73da3e097dad0dea6270107cf54acf72ff70262ee6faa65294f3c7,8c8cbd875b9dbeb8af2db02cc2004a77766e8238dcffe617d805b9f982cc4aff,631ca8dd96baa5ddfd1d34d4c831085ba883460844ae07082a6d513ad1fd28d4
"770","0","200010","0","1","0","1","-50","1","0","1","270","660001001","650001011","20001","1","796","0","81000105","ボスバトル（NORMAL）","340","81000105","bgm_M47","90","0","0","1.5","-76","bgm_M47","0.6","0","2000101","-40","20001101"
"60","0","200010","0","1","0","1","-50","2","0","1","270","660001002","650001021","20001","1","70","0","81000106","ボスバトル（HARD）","341","81000106","bgm_M47","90","0","0","1.5","-180","bgm_M47","0.6","0","2000102","-210","20001201"
"470","0","200010","0","1","0","1","-50","3","0","1","270","660001003","650001031","20001","1","520","0","81000106","ボスバトル（VERYHARD）","344","81000106","bgm_M47","90","0","0","1.5","10","bgm_M47","0.6","0","2000103","-40","20001201"
"750","0","510021","0","1","0","1","0","1","0","1","40","660002001","650002011","20002","1","850","0","81000205","ボスバトル（NORMAL）","5002301","81000205","bgm_M102","90","0","0","1.3","20","bgm_M102","0.6","0","2000201","-30","20002101"
"140","0","510022","0","1","0","1","0","2","0","1","40","660002002","650002021","20002","1","-250","0","81000207","ボスバトル（HARD）","5002302","81000207","bgm_M102","90","0","0","1.3","125","bgm_M102","0.6","0","2000202","20","20002201"
"450","0","510022","0","1","0","1","0","3","345","1","40","660002003","650002031","20002","1","500","0","81000207","ボスバトル（VERYHARD）","344","81000207","bgm_M102","90","0","0","1.3","10","bgm_M102","0.6","0","2000203","-40","20002201"
"730","0","510031","0","1","0","1","30","1","0","1","20","660003001","650003011","20003","1","830","0","81000305","ボスバトル（NORMAL）","5003302","81000305","bgm_M109","90","0","0","1.1","10","bgm_M109","0.6","0","2000301","-40","20003101"
"180","0","510032","0","1","0","1","30","2","0","1","20","660003002","650003021","20003","1","210","0","81000306","ボスバトル（HARD）","5003301","81000306","bgm_M109","90","0","0","1.1","90","bgm_M109","0.6","0","2000302","20","20003201"
"450","0","510032","0","1","0","1","30","3","345","1","20","660003003","650003031","20003","1","500","0","81000306","ボスバトル（VERY HARD）","344","81000306","bgm_M109","90","0","0","1.1","10","bgm_M109","0.6","0","2000303","-40","20003201"
"770","0","510041","0","1","0","1","30","1","0","1","20","660004001","650004011","20004","1","870","0","81000405","ボスバトル（NORMAL）","5004301","81000405","bgm_M116","90","0","0","1.1","10","bgm_M116","0.6","0","2000401","-40","20004101"
"450","0","510042","0","1","0","1","30","2","0","1","20","660004002","650004021","20004","1","-30","0","81000406","ボスバトル（HARD）","5004302","81000406","bgm_M116","90","0","0","1.1","10","bgm_M116","0.6","0","2000402","-40","20004201"
"450","0","510042","0","1","0","1","30","3","0","1","20","660004003","650004031","20004","1","500","0","81000406","ボスバトル（VERYHARD）","5004308","81000406","bgm_M116","90","0","0","1.1","-10","bgm_M116","0.6","0","2000403","-40","20004201"
"770","0","510051","0","1","0","1","90","1","0","1","90","660005001","650005011","20005","1","870","0","81000505","ボスバトル（NORMAL）","5005301","81000505","bgm_M124","90","0","0","1.3","10","bgm_M124","0.6","0","2000501","-40","20005101"
"450","0","510052","0","1","0","1","90","2","0","1","90","660005002","650005021","20005","1","380","0","81000506","ボスバトル（HARD）","5005302","81000506","bgm_M124","90","0","0","1.3","-100","bgm_M124","0.6","0","2000502","-40","20005201"
"450","0","510052","0","1","0","1","90","3","0","1","90","660005003","650005031","20005","1","520","0","81000506","ボスバトル（VERYHARD）","5005308","81000506","bgm_M124","90","0","0","1.3","58","bgm_M124","0.6","0","2000503","-40","20005201"
"770","0","510061","0","1","0","1","0","1","0","0.8","120","660006001","650006011","20006","1","888","0","81000605","ボスバトル（NORMAL）","5006301","81000605","bgm_M131","90","0","0","1.5","14","bgm_M131","0.6","0","2000601","-40","20006101"
"450","0","510062","0","1","0","1","0","2","0","0.8","120","660006002","650006021","20006","1","42","0","81000606","ボスバトル（HARD）","5006302","81000606","bgm_M131","90","0","0","1.5","14","bgm_M131","0.6","0","2000602","-40","20006201"
"450","0","510062","0","1","0","1","0","3","0","0.8","120","660006003","650006031","20006","1","500","0","81000606","ボスバトル（VERY HARD）","5006308","81000606","bgm_M131","90","0","0","1.5","-60","bgm_M131","0.6","0","2000603","-40","20006201"
"770","0","510071","0","1","0","1","-50","1","0","1","140","660007001","650007011","20007","1","482","0","81000705","ボスバトル（NORMAL）","5007301","81000705","bgm_M138","90","0","0","1.3","10","bgm_M138","0.6","0","2000701","-40","20007103"
"450","0","510072","0","1.3","0","1","-50","2","0","1","140","660007002","650007021","20007","1","-373","0","81000706","ボスバトル（HARD）","5007302","81000706","bgm_M138","90","0","0","1.3","-186","bgm_M138","0.6","0","2000702","-40","20007201"
"450","0","510072","0","1.3","0","1","-50","3","0","1","140","660007003","650007031","20007","1","455","0","81000706","ボスバトル（VERYHARD）","5007308","81000706","bgm_M138","90","0","0","1.3","-63","bgm_M138","0.6","0","2000703","-40","20007201"
"770","0","510081","0","1","0","1","-50","1","0","1","100","660008001","650008011","20008","1","1400","0","81000805","ボスバトル（NORMAL）","5008301","81000805","bgm_M165","90","0","0","1.5","-85","bgm_M165","0.6","0","2000801","-40","20008101"
"450","0","510082","0","1","0","1","-50","2","0","0.8","100","660008002","650008021","20008","1","-175","0","81000806","ボスバトル（HARD）","5008302","81000806","bgm_M165","90","0","0","1.5","-160","bgm_M165","0.6","0","2000802","-40","20008201"
"450","0","510082","0","1","0","1","-50","3","0","0.8","100","660008003","650008031","20008","1","450","0","81000806","ボスバトル（VERY HARD）","5008308","81000806","bgm_M165","90","0","0","1.5","-80","bgm_M165","0.6","0","2000803","-40","20008201"
"770","0","510091","0","1.1","0","1","-50","1","0","0.8","250","660009001","650009011","20009","1","885","0","81000905","ボスバトル（NORMAL）","5009301","81000905","bgm_M172","90","0","0","1.5","-56","bgm_M172","0.8","0","2000901","-40","20009101"
"450","0","510092","0","1.1","0","1","-50","2","0","0.8","250","660009002","650009021","20009","1","-404","0","81000906","ボスバトル（HARD）","5009302","81000906","bgm_M172","90","0","0","1.5","37","bgm_M172","0.8","0","2000902","-40","20009201"
