c9534f336d3e8ecc10bc2abd31999c9f8bee904efdb979af9b53b711fcf69c28,d9b211754b690e4b185895bc4cf5db637ab92d6166870216f4a57766a8edd5e3,581b80e1a213d6ae3e448b1a40c6bc52c3ed0e9efbf407844f305edbc6d62dba,2c26f0c907074fdc81418b25d731f4c586f7d32035df05c56c68b48cfb1056ea,97b2c46c301b08776315b825f6ae8177fa26f18064a606527e6778db85ac2f92
"片手剣","red","90009","#D23232","101"
"両手剣","red","90009","#D23232","102"
"短剣","red","90009","#D23232","103"
"槍","red","90009","#D23232","104"
"斧","red","90009","#D23232","105"
"弓","red","90009","#D23232","106"
"拳","red","90009","#D23232","107"
"盾","red","90009","#D23232","108"
"杖","red","90009","#D23232","109"
"本","red","90009","#D23232","110"
"服","blue","90010","#476FD8","201"
"鎧","blue","90010","#476FD8","202"
"白ローブ","blue","90010","#476FD8","203"
"黒ローブ","blue","90010","#476FD8","204"
"指輪","yellow","90011","#E5681E","301"
"腕輪","yellow","90011","#E5681E","302"
"ネックレス","yellow","90011","#E5681E","303"
"宝珠","yellow","90011","#E5681E","304"
"イヤリング","yellow","90011","#E5681E","305"
