62e9e6244b77fe45efbcf8e8d937006f777f3830e93afcc67ff2530d6d2e0c3e,7d14cb6d9d1dea75f824f22a6a77fe502c79e2c191cef7463304d9c32ce34fb9,ad9b2da8b1ba1919aed7c96d9d0600b39d4989903a492b336d6249c52f8a5826,5290166d34e17efcb3b9593c997964c7fcb3567ca28177be2ee02bb9fdfbf2af,a12df295f8b82aa0604464e0b1b13a5c819310c197626fe9696e73f624aad48f,397a30ede40929e0f341bec52eac24a472ebb6a39691e642b19f1df048c72272,ed1ba8bc3eb395b3011915153b2028b932fa399082c7224700c9b94393ad1016,233f339ce6318522495a0af6bc9e1c40a903c3d155fa23e233d52fafd0b787aa
"短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","0","2001","3","101"
"中時間、スピードとジャンプ小アップ！","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","0","3","5","102"
"短時間、スピード中アップ！","0","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","6","0","1","4","103"
"中時間、障害物バリアを展開！","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","0","2001","5","104"
"中時間、スピード小アップ！","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","3","0","1","6","105"
"中時間、対戦相手のスピード小ダウン！","0","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","4","0","1001","6","106"
"中時間、スピードとジャンプ特大アップ！","16","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","17","0","3","5","107"
"ラウンド中、スピード中アップ！","0","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","8","0","1","40","108"
"短時間、スピード特大アップ！","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","30","0","1","4","109"
"ラウンド中、対戦相手が大きく減速！","0","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","10","0","1001","40","110"
"ごく短時間、障害物バリアを展開！","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","0","2001","1","111"
"短時間、先頭の対戦相手が大きく減速！","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","15","0","1004","4","112"
"中時間、スピード小アップ！","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","5","0","1","6","113"
"中時間、ジャンプ小アップ！","0","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","5","0","2","5","114"
"長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","0","2002","7","115"
"累積で、スピード小アップ！","0","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","3","0","1","25","116"
"累積で、対戦相手が小さく減速！","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","3","0","1001","25","117"
"長時間、スピードとジャンプ特大アップ！","20","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","30","0","3","7","118"
"短時間、先頭の対戦相手が大きく減速！","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","15","0","1004","4","119"
"長時間、バリアで能力ダウンを防ぐ！","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","0","2002","7","120"
"長時間、ジャンプ特大アップ！","0","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","30","0","2","12","121"
"累積で、先頭の対戦相手が大きく減速！","0","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","15","0","1004","30","122"
"短時間大きく加速した後、ごく短時間減速！","2","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","11","8","4","4","123"
"長時間、スピード中アップ！","0","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","9","0","1","8","124"
"短時間、障害物バリアを展開！","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","0","2001","4","125"
"累積で、対戦相手が小さく減速！","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","3","0","1001","30","126"
"長時間、スピード特大アップ！","0","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","22","0","1","10","127"
"短時間、ジャンプ特大アップ！","0","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","30","0","2","4","128"
"短時間、対戦相手のスピード特大ダウン！","0","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","20","0","1001","3","129"
"短時間、スピード特大アップ！","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","30","0","1","4","130"
