999b04f4366713d7245fdb1b16fc22cfd43a83b2b1b5117a2136352db9150c91,900f3a14049d23e151422930e2b3d660e219d95103ab6ab2b97acace1f3a26c6,acd6437c7265f5eaf96cb1d38ee0b934f0a10e551716a4f9002caf266c575466,87c40a52345c8640eef44e552a552a1efe353bc74ca6e7e1f8cf4a1092fb908a,823e8c9d06bf79ebae24a1223e89651ecbd8ff12a98df2534a0e2854fad74d63
"25","101","1","1","13000001"
"26","102","1","1","40001"
"28","103","1","1000","99012"
"25","201","2","1","13000002"
"26","202","2","1","40002"
"28","203","2","1000","99012"
"25","301","3","1","13000004"
"26","302","3","1","40006"
"28","303","3","1000","99012"
"25","401","4","1","13000011"
"26","402","4","1","40008"
"28","403","4","1000","99012"
"25","501","5","1","13000007"
"26","502","5","1","40007"
"28","503","5","1000","99012"
"25","601","6","1","13000005"
"26","602","6","1","40011"
"28","603","6","1000","99012"
"25","701","7","1","13000009"
"26","702","7","1","40003"
"28","703","7","1000","99012"
"25","801","8","1","13000010"
"26","802","8","1","40012"
"28","803","8","1000","99012"
"25","901","9","1","13000013"
"26","902","9","1","40010"
"28","903","9","1000","99012"
"25","1001","10","1","13000006"
"26","1002","10","1","40013"
"28","1003","10","1000","99012"
"25","1101","11","1","13000008"
"26","1102","11","1","40004"
"28","1103","11","1000","99012"
"25","1301","13","1","13000012"
"26","1302","13","1","40009"
"28","1303","13","1000","99012"
"25","1401","14","1","13000014"
"26","1402","14","1","40014"
"28","1403","14","1000","99012"
"25","1501","15","1","13000003"
"26","1502","15","1","40005"
"28","1503","15","1000","99012"
