9c3ab16df7a1bd95ea8ad19a46349066854d1a6cc72d6b38cf2439030196d6d6,182c4c7bd6a5ea420aa3ad37232bea929b535e94f62a295d7f9cd94bfb3374bf,a74c88d412046016d4aa426757e80a5b547e3b4316ca08b3d85a4db40547f27d,6197d73e48c5efb283a803302a52bbd8541bca4405cc3ec35581974ce1346e9a,7b18f699991e2c68fe19af693ed5c8c1b6712acd63075bf2546dad3998e5da3b,82842308103ddbaaea9a892e8de900430a71d0747dfa33c26db33d7bdaaa06ad,e8f97a7941720e71369bc6876333faaae6a75f5fb92edac992c5859b4aea364c,4f05798d8fb8537f86de767590cf862c92330f701167ba0e7fd757c11d9bc727,319d9aa2e6076585e125d8bbf9cca378051bc62da1c6fa9a9a881e1fb9660898,962efc0c6909c5884d918d8191568b70542526e62f684cff7a4d95abe318dd8c,fa31626b699ce1f9d1a81dc85ff0664550f53732fcc95a42b923a3a34f25c0e1,b10b260f337f85893ca9fdeef61a49455c366fa2056a1bdd31d4b603ac568464,b6c1189d4f1229b8f47e9b5d8d2a30a319d0d561b3a33ff766031f6ea75f66d2
"1201","8","11120101","0","1","1","0","0","8","0","0","vo_minigame_1012_correct_107","それでいいのよ！"
"1201","8","11120102","0","1","1","0","0","8","0","0","vo_minigame_1012_correct_108","うん、OK！"
"1201","1","11120103","0","1","1","0","0","1","0","0","vo_minigame_1012_correct_109","いい調子ね！"
"1202","1","11120201","-1","1","1","0","0","1","0","13333","vo_minigame_1012_correct_115","じっくりでいいわ！"
"1202","9","11120202","-1","1","1","0","0","9","0","13333","vo_minigame_1012_correct_117","正解すりゃいいのよ！"
"1203","1","11120301","0","1","1","0","0","1","0","0","vo_minigame_1012_correct_118","すごいわね！"
"1203","5","11120302","0","1","1","0.01","8","5","0","0","vo_minigame_1012_correct_119","これ分かるの！？"
"1204","1","11120401","0","1","1","0","0","1","0","0","vo_minigame_1012_correct_125","これは大丈夫ね！"
"1205","7","11120501","0","1","1","0.01","4","7","0","0","vo_minigame_1012_correct_123","復習バッチリね！"
"1206","8","11120601","-1","1","1","0","0","8","0","3","vo_minigame_1012_correct_128","連続で正解よ！"
"1207","2","11120701","-1","1","1","0","0","2","0","3","vo_minigame_1012_correct_131","巻き返すわよ！"
"1301","2","11130101","0","1","1","0","0","2","0","0","vo_minigame_1012_incorrect_107","切り替えて！"
"1301","9","11130102","0","1","1","0","0","9","0","0","vo_minigame_1012_incorrect_108","こんなこともあるわ！"
"1301","4","11130103","0","1","1","0","0","4","0","0","vo_minigame_1012_incorrect_109","それじゃダメよ！"
"1302","4","11130201","-1","1","1","0","0","4","0","20000","vo_minigame_1012_incorrect_116","タイムアップよ！"
"1302","5","11130202","-1","1","1","0","0","5","0","20000","vo_minigame_1012_incorrect_117","いや答えなさいよ！"
"1303","3","11130301","0","1","1","0.01","6","3","0","0","vo_minigame_1012_incorrect_118","難しいわね…"
"1303","4","11130302","0","1","1","0","0","4","0","0","vo_minigame_1012_incorrect_119","難易度高すぎね…"
"1304","2","11130401","0","1","1","0","0","2","0","0","vo_minigame_1012_incorrect_123","忘れちゃダメよ？"
"1305","1","11130501","0","1","1","0","0","1","0","0","vo_minigame_1012_incorrect_126","全部が間違いじゃないわ！"
"3001","7","11300101","10","1","1","3.18","4","8","1","10","vo_minigame_1012_result_1000","フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪"
"3001","8","11300102","10","1","1","3.33","10","7","1","10","vo_minigame_1012_result_1001","すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪"
"3001","8","11300103","10","1","1","5.41","10","1","1","10","vo_minigame_1012_result_1002","全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！"
"3001","5","11300104","10","1","1","8.11","10","8","2","10","vo_minigame_1012_result_1003","へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！"
"3001","10","11300105","10","1","1","1.31","0","5","2","10","vo_minigame_1012_result_1004","まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！"
"3001","9","11300106","10","1","1","4.93","0","8","2","10","vo_minigame_1012_result_1005","ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！"
"3001","5","11300107","10","1","1","2.99","4","8","3","10","vo_minigame_1012_result_1006","すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪"
"3001","8","11300108","10","1","1","8.37","4","7","3","10","vo_minigame_1012_result_1007","満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪"
"3001","7","11300109","10","1","1","5.32","8","5","3","10","vo_minigame_1012_result_1008","全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？"
"3001","7","11300110","9","1","1","4.77","4","1","1","7","vo_minigame_1012_result_1009","お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！"
"3001","8","11300111","9","1","1","2.97","4","7","1","7","vo_minigame_1012_result_1010","うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！"
"3001","5","11300112","9","1","1","3.47","0","1","1","7","vo_minigame_1012_result_1011","あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！"
"3001","8","11300113","9","1","1","5.32","4","7","2","7","vo_minigame_1012_result_1012","すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！"
"3001","8","11300114","9","1","1","6.49","10","7","2","7","vo_minigame_1012_result_1013","うん、かなりいい感じよ！\nあんたには赤点の心配なんて\nまーったくなさそうね♪\nでも勉強はやめさせないけど！"
"3001","5","11300115","9","1","1","3.56","0","1","2","7","vo_minigame_1012_result_1014","あーあとちょっとで\n全問正解だったのに！\n難しい問題だけどあんたなら\n次は満点狙えるわ！"
"3001","8","11300116","9","1","1","5.67","10","1","3","7","vo_minigame_1012_result_1015","うん、ほとんど正解よ！\nこんな難しい問題なのに、\nすごいじゃない！\nやっぱりあんた只者じゃないわ！"
"3001","7","11300117","9","1","1","2.85","10","1","3","7","vo_minigame_1012_result_1016","着実に成長してるって感じね？\nあんたならこの難問でも、\nいつか満点取れちゃうかも…！"
"3001","5","11300118","9","1","1","3.88","0","1","3","7","vo_minigame_1012_result_1017","うわー惜しいわね！\nもうちょっとで満点よ？\nま、あたしでも悩む難問だから、\nこの点数は胸を張っていいわ！"
"3001","3","11300119","6","1","1","4.12","0","1","1","4","vo_minigame_1012_result_1018","正解率は半分くらいか～\n悪くはないんだけど、あんたなら\nこんなもんじゃないでしょ？"
"3001","9","11300120","6","1","1","4.34","0","1","1","4","vo_minigame_1012_result_1019","んーはっきり言っちゃうと\n中途半端な点数ね…\nまあいいわ！こっからガンガン\n点数上げていくわよ！"
"3001","3","11300121","6","1","1","3.15","0","1","1","4","vo_minigame_1012_result_1020","う～ん、正直物足りない点数ね！\nあんたには期待してんだから、\nもっと頑張んなさい！"
"3001","9","11300122","6","1","1","5.3","0","1","2","4","vo_minigame_1012_result_1021","半分くらいの正解率か\n難しい問題だから仕方ないわね…\nでもあんたはもっとできる！\nだってあたしがついてんのよ！"
"3001","8","11300123","6","1","1","2.55","0","1","2","4","vo_minigame_1012_result_1022","うん、そこそこできんじゃない！\n頑張って勉強して\nさらに上を目指しましょ！"
"3001","1","11300124","6","1","1","4.19","0","7","2","4","vo_minigame_1012_result_1023","難問なのにこの正解率は\nよくやってる方よね！\nでもこんなところで\n満足してんじゃないわよ！？"
"3001","7","11300125","6","1","1","3.43","0","1","3","4","vo_minigame_1012_result_1024","難問なのに半分くらい正解\nできてんじゃない♪\nこの調子でもっと学力\n上げていきましょ！"
"3001","1","11300126","6","1","1","0","0","1","3","4","vo_minigame_1012_result_1025","よし、平均点ってとこね！\nちゃんと勉強してるみたいで\n安心したわ～♪"
