40c36b0a3a9d9dcb941bbbbbc245ebb1322fe7731cabd0b613920bcc8517a29b,d728b692023cc5a1715b5e02c358a8f8daa801b3d3fae0b7ed015aa665f655ff,894a7b5bc8778597fa0c9f27c451074a44428457c2b284300b5a397b07132902,d358a36c0c8b1a34d4f38141ba554538c70729cd607eda22e9e6a3bed20ec89e,fabc0aac96cdca2822c6cb0cf2cec075b330f96e49c99aeddda2910d1686052c,59f48edd754f554d97028995381f5a42f165626329824727ab7983cbe3f8e9ab,b01b64a2ce6846adf66032a17133e7224c0e962899c6431ec102a13868473b09,3c5b9e045c66fcf7e4d3607bc81c55f910cac429964028a76ce99dc9cc9a9627,5962fc05a0529e3412c34104f77a86fc0eef2d910a00ff845be64bb0a9a1e097,569c0bae5a552bad6bf3fa60ca9e99c8c53ff8e69f44248d07f29acc45d1871e,2ab5345394debdc9d2cd0d2a764a0a642c49ca167b1a717b6ddcf4b37fe4de09,1494eaee9b54802538a16d5adb6a8381943aadfa157eabb5c8562f5187328e26
"0","0","100580101","1","0","0","1005801","1","0","0.8","0","4"
"0","0","100580102","2","vo_ske_0101","vo_ske","1005801","0","0","0","0","2"
"60","1","100580103","3","0","0","1005801","0","0","0","0.705","1"
"0","0","100580104","4","0","0","1005801","1","0","1.549","0","4"
"304","1","100580105","5","0","0","1005801","0","60","0","1.807","1"
"0","0","100580106","6","0","0","1005801","1","0","3.027","0","4"
"140","2","100580107","7","0","0","1005801","0","0","0","1.141","1"
"0","0","100580108","8","0","0","1005801","1","0","1.9","0","4"
"380","2","100580109","9","0","0","1005801","0","140","0","1.78","1"
"0","0","100580110","10","0","0","1005801","1","0","4.544","0","4"
"0","0","100580111","11","vo_ske_0102","vo_ske","1005801","0","0","0","0","2"
"195","3","100580112","12","0","0","1005801","0","0","0","1.322","1"
"0","0","100580113","13","0","0","1005801","1","0","2.917","0","4"
"0","0","100580114","14","vo_ske_0103","vo_ske","1005801","0","0","0","0","2"
"228","4","100580115","15","0","0","1005801","0","0","0","1.932","1"
"0","0","100580116","16","0","0","1005801","1","0","2.582","0","4"
"367","4","100580117","17","0","0","1005801","0","228","0","0.996","1"
"0","0","100580118","18","0","0","1005801","1","0","3.856","0","4"
"0","0","100580119","19","vo_ske_0104","vo_ske","1005801","0","0","0","0","2"
"102","5","100580120","20","0","0","1005801","0","0","0","0.67","1"
"0","0","100580121","21","0","0","1005801","1","0","1.785","0","4"
"364","5","100580122","22","0","0","1005801","0","102","0","2.253","1"
"0","0","100580123","23","0","0","1005801","1","0","2.253","0","4"
"120","6","100580124","24","0","0","1005801","0","0","0","0.962","1"
"0","0","100580125","25","0","0","1005801","1","0","2.244","0","4"
"334","6","100580126","26","0","0","1005801","0","120","0","1.707","1"
"0","0","100580127","27","0","0","1005801","1","0","4.225","0","4"
"0","0","100580128","28","vo_ske_0105","vo_ske","1005801","0","0","0","0","2"
