759f10ab461da35e8469e44d6f800d0af81b2219d8d3c2e8513409b8ea1934f8,73d50ba0a867ed65ed8c486cc2f44d5892fd55326af22539729a881c5070f265,6273fbeffd0162c1dddacbff31c622c221d41d4a7437a16e71c9bbd2b53e50c0
"15","2","10000101"
"15","1","10000201"
"25","1","10000401"
"50","3","10000601"
"15","2","10000801"
"15","1","10000901"
"25","3","10001001"
"10","2","10001101"
"25","3","10001501"
"15","1","10001502"
"15","1","20101001"
"50","3","20103001"
"25","2","20105001"
"25","1","20106001"
"25","3","20107001"
"25","2","20108001"
"25","3","20112001"
"50","1","20112002"
"30","1","20115001"
"75","3","20117001"
"50","2","20119001"
"50","1","20120001"
"30","3","20121001"
"50","2","20122001"
"30","3","20126001"
"50","1","20126002"
"50","2","20129001"
"50","1","20131001"
"100","3","20133001"
"50","2","20135001"
"50","1","20136001"
"50","3","20137001"
"50","2","20138001"
"50","3","20142001"
"50","1","20142002"
"100","1","20145001"
"100","3","20146001"
"75","2","20147001"
"200","1","20150001"
